,Assembly District Number,child,poverty_base,poverty_reform,deep_poverty_base,deep_poverty_reform,pct_change,pct_change_deep
0,1,0,0.16699584364490133,0.16234572307887557,0.07366425534615141,0.07136001649850879,0.027845726363787484,0.031280284268332154
1,1,1,0.11513446570488899,0.09106268504925077,0.03906435818153485,0.02140625128150451,0.2090753668613763,0.4520260340121771
2,10,0,0.14672401846535946,0.14261610589685675,0.05911929594068048,0.057686250866126144,0.027997546764796103,0.024239887362532773
3,10,1,0.17113299996643958,0.1586485216632547,0.06509044534684699,0.0543343289592912,0.07295190469186646,0.1652487754575921
4,11,0,0.15104743930685424,0.14575619799262246,0.04420691430042035,0.0416779617397272,0.03503032781298978,0.0572071722424901
5,11,1,0.22166254603650093,0.200252367225089,0.04006073227530597,0.03513649373698411,0.09658906835747681,0.12291933418693973
6,12,0,0.17047931131106198,0.14382841931566986,0.0458723808337744,0.04149802297705408,0.15632918616596267,0.09535929413760924
7,12,1,0.20931583099579243,0.14335334852734924,0.0416812762973352,0.023010168302945302,0.31513374862587024,0.4479495268138801
8,13,0,0.16086908865045244,0.1488557892557454,0.04017586379081465,0.03675601943757688,0.07467748773544902,0.08512186249545292
9,13,1,0.19757988751236988,0.1609211960266062,0.05566759780035325,0.03142263030652253,0.1855385785836556,0.43553105310531054
10,14,0,0.13216546406031815,0.12906174091166922,0.04640885851959755,0.04321656525073824,0.02348361707588331,0.06878629146871315
11,14,1,0.13721732994832558,0.1255681071396454,0.0503600605980949,0.030603421440380744,0.08489614841701958,0.39230769230769236
12,15,0,0.24303330989400213,0.24051683725291037,0.11342683022111102,0.10909706487486001,0.010354435127387695,0.038172320762298415
13,15,1,0.23498112575529187,0.2215823445290457,0.05583684407168348,0.03283989744778985,0.057020669992872454,0.41185971389017073
14,16,0,0.09855894438335552,0.09429437467446032,0.034293795937264886,0.03400442733954511,0.043269230769230886,0.008437928488556037
15,16,1,0.07029147849175586,0.06549079572798502,0.030653248462003485,0.029977596813769068,0.06829679595278235,0.02204176334106733
16,17,0,0.18782806844668473,0.18608231793977753,0.06898201663792614,0.06824297436091793,0.00929440696134686,0.01071354989355124
17,17,1,0.30659961315280465,0.28075822050290133,0.08832495164410058,0.08233655705996132,0.08428383970929655,0.06779957953749118
18,18,0,0.22636177292262163,0.2132827692718209,0.06937329942630274,0.06588219597886336,0.057779206629873785,0.050323445422227414
19,18,1,0.31746482164616335,0.2545360463369444,0.09030362716787127,0.07478842911749486,0.19822282980177716,0.17181146025878005
20,19,0,0.147675625435675,0.14463016032840215,0.06640848888544652,0.06640848888544652,0.02062266605127335,0.0
21,19,1,0.08135529411764705,0.05985882352941176,0.01052235294117647,0.01052235294117647,0.2642295233688107,0.0
22,2,0,0.15857450242065627,0.15222969338353953,0.06237493275954815,0.060742334588488434,0.040011533634112445,0.026173946789702973
23,2,1,0.18493829384740113,0.14098955049094677,0.053981623277182235,0.044511755697684896,0.23764003896736471,0.17542761785565283
24,20,0,0.1451726384364821,0.1336069489685125,0.038727470141150924,0.03852768729641694,0.07966852151020164,0.005158685656611016
25,20,1,0.14635698848328743,0.12190247801758593,0.019081031471119402,0.018148444207596884,0.16708809547891165,0.048875096974398916
26,21,0,0.16473177024053418,0.15742290542440512,0.05752467160321902,0.0532710238659543,0.04436827702061943,0.07394475481067658
27,21,1,0.20162592664039464,0.17715435279852287,0.05780031416209662,0.04050486400088186,0.12137116614728564,0.29922761514255747
28,22,0,0.12257358530763235,0.12003883231894795,0.048613027710394184,0.04650194403691491,0.020679439067746407,0.043426294820717186
29,22,1,0.1354149371514518,0.1243395286603053,0.04534666809911221,0.04134233169578763,0.08178867652362061,0.08830497523153141
30,23,0,0.14251928793607338,0.13463496230120817,0.05089258585206787,0.04950491948089374,0.055321113015956866,0.02726657229026898
31,23,1,0.1387711678126154,0.111189266182496,0.032452916454182565,0.028566655529568993,0.19875815751124623,0.11975074505554052
32,24,0,0.12257195008065201,0.12081670770014433,0.048261736989557685,0.047030732659818324,0.014320098353275282,0.02550683847134868
33,24,1,0.12733740833138626,0.12022249187889568,0.023764122430829294,0.019867499755047896,0.05587451908848763,0.16397082143989858
34,25,0,0.12572277591467626,0.12048026295469656,0.046717699211428515,0.045713087425609145,0.04169899146625279,0.0215038797452939
35,25,1,0.15193108501778277,0.13192024258455012,0.02037424266795346,0.017824483644010746,0.13170999490256044,0.1251461988304094
36,26,0,0.1742133175180286,0.16329087267820153,0.06653601849703034,0.06418091333384905,0.06269580876729906,0.0353959436765276
37,26,1,0.20911218974835621,0.16104972058705405,0.05697843872996202,0.044401987446498446,0.22984059044640162,0.2207229886214883
38,27,0,0.20792848653096507,0.1965311312991946,0.0784038300100571,0.07361839535212321,0.05481382287690122,0.061035725644015736
39,27,1,0.2301614096587195,0.19463260805539792,0.055354821098907415,0.045161661075633394,0.1543647202022409,0.18414222683623147
40,28,0,0.12891091146011932,0.12814621768054318,0.04954392702832453,0.04954392702832453,0.005931955417231745,0.0
41,28,1,0.11899482631189948,0.1172279194382853,0.031469419807834444,0.031469419807834444,0.014848602484471958,0.0
