,Senate District Number,poverty_base,poverty_reform,deep_poverty_base,deep_poverty_reform,pct_change,pct_change_deep
0,05,0.12892895796837867,0.1221449851042701,0.05359673298148913,0.0522243174185198,0.05261791432280412,0.025606328718642633
1,1,0.16892615357918916,0.15984361238711653,0.07261476656977266,0.06645455651480142,0.05376634108829645,0.08483412322274882
2,10,0.1674280128697295,0.151910847908526,0.055987898527206155,0.052556002434401505,0.09267962209691234,0.061297104965227285
3,11,0.1537323708578962,0.14557604815470276,0.061010033016121165,0.05566580151873371,0.05305533673667731,0.08759594501408165
4,12,0.18733906461677774,0.16817630168268682,0.05732484723035059,0.05037908800618032,0.10228919938983583,0.12116489724359601
5,13,0.15727528503208144,0.14579240479237357,0.06232270491766731,0.057717157214644654,0.07301134591722759,0.0738983923933807
6,14,0.17718141527034484,0.15978669779011817,0.06467769271868896,0.05704098748346749,0.09817461641609346,0.11807324773375548
7,15,0.1705358917341953,0.1601105457163535,0.05852435718115923,0.055957581643711306,0.061132855446589585,0.04385824400433141
8,16,0.20421143356733365,0.18482798927215194,0.07225756750907415,0.06820888222344472,0.09491850655262406,0.05603129783079117
9,17,0.1567455628277321,0.14269065792583352,0.05586483669039184,0.051230765517121364,0.08966700331635757,0.08295148518831147
10,18,0.2109937331197913,0.19369209447394234,0.062009591859454975,0.057262752255296694,0.08200072291258997,0.07655008623370745
11,19,0.19791616258091904,0.18357126180621883,0.061761222540592166,0.05628483497824472,0.07247968325393954,0.08867032317483879
12,2,0.1686694683048526,0.15777382466890208,0.06472559603935758,0.06157938821382492,0.06459760468478964,0.048608402518526855
13,20,0.21816171111166965,0.1971815132974393,0.06637300145011316,0.056864761376066685,0.09616810258465243,0.14325463466034444
14,21,0.19512757693883725,0.17754629546942527,0.06632388279281766,0.060731021651414724,0.09010146974214125,0.0843265036046502
15,22,0.254996019593799,0.23505795427078738,0.07921451839302464,0.07220002261846421,0.07818971196010172,0.08855063335432836
16,23,0.19160919812190247,0.17567794357893904,0.07403716687456771,0.06678328200460995,0.08314451863019597,0.09797626214205558
17,24,0.2715349369254069,0.2563302218158455,0.0904037107378772,0.08403341408146542,0.05599542836632572,0.07046499092147074
18,25,0.18701919391438618,0.17531442779933107,0.06440056554063829,0.05830106105152979,0.06258590826999996,0.0947119708950315
19,26,0.17529278903775194,0.16172026470289083,0.0701511419532691,0.06544512636931107,0.07742773909506377,0.06708394835671987
20,27,0.1817265792698094,0.16592620400993732,0.06540407995307716,0.060674945722436674,0.08694586847647234,0.07230641015106871
21,28,0.1783673627270747,0.16247707113089965,0.06116943848955502,0.05384889442642709,0.08908743927827913,0.11967649603940618
22,29,0.1969984702341655,0.17999969762041007,0.06343236570337386,0.0575300077381686,0.08628885591623914,0.09304962694921735
23,3,0.1965718326293788,0.1846771407046846,0.08252128384693379,0.07457701363412364,0.060510663026277674,0.09626934825136424
