Assembly District Number,poverty_base,poverty_reform,deep_poverty_base,deep_poverty_reform,pct_change,pct_change_deep,child_poverty_base,child_poverty_reform,child_deep_poverty_base,child_deep_poverty_reform,child_pct_change,child_pct_change_deep
32,0.1866878993,0.1599385328,0.07421601492,0.05769981473,0.1432838793,0.2225422668,0.2170600128,0.1639862236,0.08069776184,0.04749616475,0.2445120524,0.4114314491
33,0.2364024173,0.2081381738,0.08384937529,0.07458229648,0.1195598753,0.1105205468,0.268802971,0.2011778476,0.08251061718,0.06057764786,0.2515787794,0.2658199643
34,0.2044649003,0.1759292825,0.06182643805,0.05987885975,0.1395624273,0.03150073589,0.2389167733,0.1894746841,0.05832566789,0.05497620381,0.2069427298,0.05742693066
35,0.1757425558,0.1581282394,0.0709897509,0.06727728303,0.1002279517,0.05229582895,0.1692302533,0.1277247423,0.04481432628,0.03360236088,0.2452605852,0.2501870791
36,0.2993330213,0.2776667502,0.1094159999,0.09982721104,0.07238182748,0.08763607614,0.3751609605,0.3322303472,0.1519779611,0.1298219874,0.1144325179,0.1457841224
37,0.2032493921,0.1880227164,0.05734576452,0.04629794621,0.07491621771,0.1926527339,0.2475760313,0.2158988257,0.08305931948,0.05208069858,0.127949404,0.3729698376
38,0.141150213,0.1320068664,0.04053475212,0.03903394214,0.06477742031,0.03702526617,0.1463551967,0.1235580092,0.03328938695,0.03186112942,0.1557661631,0.04290429043
39,0.250673715,0.2354601408,0.07291832246,0.06840286121,0.06069074339,0.06192491952,0.2904117549,0.2528722477,0.07180399165,0.05894160423,0.129263043,0.1791319274
40,0.2066134475,0.181961538,0.07425713381,0.06126175318,0.1193141577,0.1750051472,0.2628929666,0.213349807,0.09673729007,0.0687396086,0.1884537279,0.2894197414
41,0.1709496953,0.163725401,0.05871728979,0.05366483217,0.04225976675,0.08604718717,0.1800362249,0.1614796496,0.06141695258,0.04594298055,0.1030713422,0.251949525
42,0.1422997126,0.1323638579,0.04807088338,0.04227814049,0.06982343499,0.1205041906,0.1330349372,0.1169961457,0.04526917817,0.03020017406,0.1205607477,0.3328755836
43,0.2420774266,0.2359647982,0.07026735782,0.06034388438,0.02525071633,0.1412245138,0.2689696845,0.2514720629,0.07824432388,0.04462472037,0.06505425171,0.4296746632
44,0.2207309217,0.2101195885,0.0611417592,0.0602331005,0.04807361432,0.01486150732,0.2825272361,0.2661392917,0.05478453959,0.0525061874,0.05800483032,0.04158750264
45,0.2101489133,0.1983476813,0.06482637131,0.05856941584,0.05615652174,0.09651867512,0.2116190546,0.1835276248,0.06547041707,0.04770967919,0.1327452761,0.271278826
46,0.3485148263,0.3136379371,0.08948516732,0.07680728153,0.1000728996,0.1416758349,0.4237968625,0.3582690774,0.09723477798,0.06532837011,0.1546207416,0.3281378179
47,0.231397258,0.2151704178,0.06086263512,0.04522602526,0.0701254645,0.2569164123,0.2780493127,0.2442832206,0.08536984508,0.05118917739,0.1214392215,0.4003833866
48,0.278435535,0.2616377918,0.07487034821,0.06528656371,0.06032902087,0.1280050745,0.3378603984,0.3009678906,0.08599375224,0.07158293645,0.1091945312,0.1675797999
49,0.3061607176,0.279325493,0.09318653373,0.09028313319,0.08765077628,0.03115686806,0.3416040697,0.2742485526,0.0588581852,0.05236622367,0.1971742231,0.1102983638
50,0.1378509115,0.1348757704,0.05467370128,0.05317719394,0.02158230981,0.02737161198,0.1108821914,0.1021112942,0.03996939016,0.03405344949,0.07910104406,0.148011782
51,0.3224621904,0.3056568563,0.08363205163,0.07796353174,0.05211567328,0.06777927572,0.3731059845,0.3315883606,0.07578071621,0.06305011856,0.1112756847,0.1679925749
52,0.2271042029,0.1983499219,0.06099548713,0.05141929418,0.1266127207,0.1569983847,0.2807316036,0.2302620816,0.07336485293,0.05105846939,0.1797785548,0.3040472739
