,st,upper_leg_district,poverty_base,poverty_reform,deep_poverty_base,deep_poverty_reform,pct_chg,pct_chg_deep
0,1.0,001,0.12958701980532694,0.1220272153000525,0.05216207310724409,0.04623514438439172,0.0385726264790832,0.11362525240641291
1,1.0,002,0.1395469467940676,0.11823295490663167,0.0397426280633017,0.03686797415378341,0.04203789814591652,0.07233175181418725
2,1.0,003,0.13978996899099536,0.1312087639697053,0.046652956021043836,0.044330190494252304,0.040786323982703376,0.04978817474596459
3,1.0,004,0.14686871065868629,0.1373856183359404,0.04981079160887189,0.04504694200159142,0.0615436198038242,0.09563890581558177
4,1.0,005,0.1936400693746291,0.18336362537719028,0.07635406369557013,0.0666843476983181,0.06281961878196164,0.12664310881744253
5,1.0,006,0.15026728119708072,0.14428014569344927,0.06327333938555117,0.057250549979277816,0.1079961108116582,0.09518684274863315
6,1.0,007,0.15504930663142774,0.13330595109089174,0.05743900663480595,0.05375192509954994,0.058925628790712115,0.06419124826963454
7,1.0,008,0.17801350965813958,0.14721396476353846,0.06750778916352797,0.06367297549934799,0.061176909446983146,0.05680549921270112
8,1.0,009,0.15953946906027608,0.13755677902344046,0.062095265827676785,0.05123662994921258,0.06569989363890824,0.17487059172270017
9,1.0,010,0.16611299803914764,0.13699950419661266,0.056778014053985734,0.05266360777612775,0.15102212089279737,0.07246477965830089
10,1.0,011,0.15370914080733467,0.1377397767666892,0.04686833176284001,0.04143751509015607,0.08573803288391114,0.11587390607723345
11,1.0,012,0.15633984605782988,0.1395709263403038,0.04842101848731085,0.04178265429401202,0.06949033082243053,0.13709674849236123
12,1.0,013,0.17753466667484005,0.1618959580157779,0.07743474412496543,0.07160640152426685,0.046961313940504436,0.07526779698907124
13,1.0,014,0.1262447958611511,0.116324328634042,0.048880113361148496,0.046549325070367235,0.0577479227735417,0.04768377424905579
14,1.0,015,0.11505832959994756,0.1035469336697234,0.04382028288863452,0.040468170827455414,0.0636228465836592,0.07649681472158024
15,1.0,016,0.1019938761471564,0.0919568392739763,0.04084820940040367,0.037389519765104455,0.061063828016413746,0.08467175638952334
16,1.0,017,0.1538826395532728,0.13351408148408206,0.044072721420077454,0.040699797579915035,0.04412655378748857,0.07653087287289397
