,Assembly District Number,poverty_base,poverty_reform,deep_poverty_base,deep_poverty_reform,pct_change,pct_change_deep
0,1,0.16070663166403842,0.14956483577453547,0.06025378800367914,0.05868708309789177,0.06933003183586836,0.026001766157701264
1,10,0.12584429162555774,0.12109204965468495,0.05992254340367256,0.054481143883726754,0.037762872749228904,0.09080721896748316
2,11,0.1511862045714307,0.1410404367292727,0.04058862866341503,0.03833421941311262,0.06710776205354409,0.055542878006480764
3,12,0.18130661955418562,0.14212306882682404,0.04306469195203549,0.03546404540841259,0.21611759583687515,0.17649369353642036
4,13,0.171148372433169,0.15223418863675822,0.04451365907468691,0.035262632693039545,0.11051337227174914,0.2078244425183201
5,14,0.11742145209080905,0.11391036009375077,0.039842864642293814,0.036280675672305376,0.029901623038547837,0.08940594512893331
6,15,0.25102470571610824,0.24714074229927246,0.11763822215842809,0.108737825559983,0.01547243489741713,0.07565905396341821
7,16,0.09207062295163271,0.08879736817090357,0.036935704514363885,0.036369497563656955,0.035551565480866465,0.015329528924695017
8,17,0.20359577890396946,0.1986511720587601,0.07154991957567179,0.07011399095714195,0.02428639175049695,0.020068906115417662
9,18,0.2513310407261044,0.23103626679973602,0.07832791813272094,0.07251739784604783,0.08074917394897206,0.07418198294033058
10,19,0.1383027400904496,0.13264964086193137,0.05851024208566108,0.05851024208566108,0.04087481726552284,0.0
11,2,0.19842802659130857,0.17570529223422757,0.0800601661431289,0.07367446852312891,0.11451373451332951,0.07976123367748018
12,20,0.1454412969604169,0.1309519012504869,0.034270862715074346,0.03390485016991041,0.09962366956802807,0.010679992161473653
13,21,0.17536507916336389,0.16310972946097113,0.05760411487464279,0.04959167366934542,0.06988477843400114,0.1390949452610099
14,22,0.1259619102537454,0.12167284658383566,0.04711935398073833,0.044254018063685556,0.03405048130239992,0.06081016981311069
15,23,0.1404939646703252,0.12545851610359868,0.04597988849188719,0.04487231632761609,0.10701846589643778,0.024088187261839943
16,24,0.12361904414918547,0.12068614316067694,0.04287897933058315,0.04106226990969447,0.023725316828765112,0.04236829908852149
17,25,0.11772527844586073,0.10996352881118661,0.03681765633579457,0.03577123670485704,0.06593103653811765,0.028421679571173284
18,26,0.14122545637403375,0.1312417115926606,0.055916080972038686,0.053698120709616305,0.07069366272700393,0.039665874715566894
19,27,0.2129168056757615,0.19610516662556832,0.07323240870124408,0.06723366260357184,0.0789587228534446,0.08191381662925316
20,28,0.12664061425866974,0.12564646283037026,0.0454057512717735,0.0454057512717735,0.007850178508048566,0.0
21,29,0.1260078632531138,0.12447591110838081,0.04027613533395789,0.03563804463010459,0.01215759163898953,0.11515729265967585
22,3,0.17235425779494412,0.15746024034700096,0.06619947214854598,0.06284772273428414,0.08641514076004492,0.05063105951571327
23,30,0.1739078480863935,0.1577875049316314,0.04451118604149713,0.03911392852922897,0.09269474225656497,0.12125620528818028
24,31,0.2540864765259779,0.22056377495145524,0.0777981787514909,0.0612058008782526,0.13193422189510062,0.2132746310969437
25,32,0.18615964762538217,0.16036470658761265,0.07448909391423,0.05676873845661973,0.13856354675572818,0.2378919453365115
26,33,0.23640241734802703,0.2081381738097509,0.08384937528721181,0.07458229648062567,0.11955987529800118,0.11052054681198681
27,34,0.193768198158631,0.16590315732968963,0.058524363166113605,0.05658407345956146,0.1438060584437559,0.03315353814350605
28,35,0.18549901977592748,0.16377009832057426,0.06295423881687327,0.05806616326135085,0.11713766186797399,0.07764489965070155
29,36,0.27748853282057045,0.2562200413483889,0.09321629429406002,0.08503954714106408,0.07664637978367991,0.08771800268311006
30,37,0.19044570780031903,0.17734713720713768,0.05320050795671987,0.03989951591863004,0.06877850251639749,0.25001626016260164
31,38,0.1411502130441644,0.13200686636671938,0.040534752124805555,0.039033942138299964,0.06477742031168,0.037025266168758904
32,39,0.2426254021239516,0.2276376961917348,0.06911530098089286,0.06503482880444798,0.06177302871428083,0.05903862268606677
33,4,0.19270960171799242,0.18675333831746416,0.10048416459893358,0.093310251925674,0.030907974213161157,0.07139346484984076
34,40,0.2066134474888338,0.18196153804151968,0.07425713380873858,0.06126175317513186,0.1193141576549436,0.17500514721021215
35,41,0.16838973796531245,0.16195972086403454,0.055744777295081836,0.04994080326873731,0.03818532636829964,0.10411691117934722
36,42,0.13311172450569647,0.12507348714821784,0.042584299866903576,0.038593592576322826,0.060387147618500274,0.09371311265075698
37,43,0.24207742662678286,0.23596479819655786,0.07026735782100589,0.060343884378219144,0.02525071633237825,0.1412245137787179
38,44,0.20373141901941183,0.19465833625931891,0.060819283742057556,0.06006572094146357,0.044534528860413126,0.012390195251064506
39,45,0.202491793659668,0.19304550713245835,0.06266848599248283,0.057707317343193856,0.04665021903596843,0.07916528651871486
40,46,0.3485148263301141,0.3136379371123511,0.0894851673182397,0.07680728152718981,0.10007289958082737,0.1416758349008056
41,47,0.23139725797559982,0.2151704177752211,0.06086263512379857,0.045226025263056975,0.07012546450351534,0.25691641232647433
42,48,0.26809089123795465,0.2542933277353035,0.07243128305489907,0.06257660610410981,0.0514659913991803,0.13605553477935683
43,49,0.30616071756454044,0.2793254930042966,0.09318653372994014,0.09028313319378649,0.08765077627761576,0.031156868057437025
44,5,0.1432899339993508,0.12226159946698353,0.05284417810494426,0.05055114433394772,0.14675374567806376,0.043392363231437865
45,50,0.1378509114720855,0.13487577039255289,0.05467370128023684,0.05317719394312622,0.02158230981399841,0.027371611982881572
46,51,0.3224621904280549,0.30565685626530853,0.08363205163096303,0.07796353174448895,0.05211567328386006,0.06777927571939935
47,52,0.22710420294418135,0.19834992192971748,0.060995487130719,0.051419294176106856,0.1266127206880941,0.15699838471802793
48,53,0.4109222006119456,0.3801096143402925,0.12223601771245254,0.10948037252608185,0.07498399021947949,0.10435259120087677
49,54,0.25420461227463015,0.24364078905411216,0.11003519324102543,0.10328031431104039,0.041556379036527306,0.061388349772684876
50,55,0.15452255865565453,0.1360002729848664,0.05423080607968796,0.05260864600818692,0.11986784215801198,0.02991215120640841
51,56,0.260112237803938,0.23656913307677316,0.08676504382175758,0.05968405574511532,0.09051133051613923,0.3121186469089446
52,57,0.2174373758084671,0.19562249871036347,0.053796000916247186,0.04979393749778853,0.10032717244214524,0.07439332571745076
53,58,0.2483839790679813,0.23489172016654478,0.0658755911935587,0.05472238248707367,0.05432016570498599,0.16930715162334029
54,59,0.4455050533475915,0.418594067844307,0.12222749310541677,0.1091346192501588,0.06040556734670304,0.10711889381520603
55,6,0.09238248328075052,0.0866144399083991,0.03375113003108074,0.03375113003108074,0.06243654822335025,0.0
56,60,0.1750214320444251,0.1573208025181053,0.04623243851882181,0.042470634900325,0.10113406866552735,0.081367190202726
57,61,0.2181180768324299,0.18806269149186897,0.06955868489276455,0.059173933537591324,0.13779410572949027,0.14929482021091867
58,62,0.1903735946986849,0.17822799355350735,0.05202231927666847,0.0455490473895113,0.06379876980524046,0.12443258926482297
59,63,0.32658419520869075,0.28659178943615177,0.0774865885479976,0.06974881166547428,0.12245664780864063,0.09985956315176142
60,64,0.3207633632923368,0.281878252128666,0.09108547185430464,0.08261515491958372,0.12122678464445369,0.09299306203594768
61,65,0.2003120301818285,0.1860891271664823,0.06816630263145454,0.06655887442203501,0.0710037385295117,0.023580979859068995
62,66,0.16566338911510692,0.15420150640577632,0.046088134132900097,0.04561151046166044,0.06918778355649001,0.010341570128772426
63,67,0.16407397649613592,0.13090989653190266,0.0520414191735326,0.04220356709459028,0.20212882428076157,0.18903888931502646
