,st,lower_leg_district,poverty_base,poverty_reform,deep_poverty_base,deep_poverty_reform,pct_chg,pct_chg_deep
0,1.0,001,0.12939241304662796,0.11481850800712502,0.05687232066000187,0.043602396597717606,0.11263338163614799,0.23332833807882505
1,1.0,002,0.12677686918895437,0.11208771118497377,0.0530201627243205,0.03992300725201575,0.11586623094538777,0.24702216665014207
2,1.0,003,0.13185506099174457,0.11649876570715846,0.05509148265652361,0.04277239874319547,0.11646344985990008,0.22361140632451992
3,1.0,004,0.14385106841785475,0.12325232100408383,0.037728766098608583,0.0318303083592449,0.1431949560078082,0.156338474572621
4,1.0,005,0.1137663099252309,0.09850384648029692,0.03385828594356439,0.021620537195503053,0.13415626695604987,0.36144029170464914
5,1.0,006,0.1311023756650075,0.09697002307111717,0.02875540571082959,0.019538901207349874,0.2603488489110619,0.32051380516633377
6,1.0,007,0.15269247618221915,0.13077102538437085,0.04281767783677047,0.036552966175628566,0.1435660180904252,0.1463113362902172
7,1.0,008,0.15405065879809515,0.13164275906395162,0.03904096915870558,0.035291711706447744,0.1454579935520575,0.09603392367173866
8,1.0,009,0.16049088284548854,0.13596360774671024,0.04330963318083865,0.03617246261890202,0.15282659465704207,0.16479406630242033
9,1.0,010,0.17538087802384297,0.11447163135609026,0.04180687463149707,0.03625174332973678,0.3472969650629308,0.1328760245946508
10,1.0,011,0.17357933635146458,0.14112063902516944,0.04784806668436996,0.03407087505217482,0.1869963211552587,0.28793622369481425
11,1.0,012,0.1726308191988452,0.14479971129556118,0.050003608805485385,0.03604474918801876,0.16121749310142994,0.2791570438799077
12,1.0,013,0.2865678466220664,0.25837374313332906,0.12659963070341454,0.09324047164836284,0.09838543933339639,0.26350123511183327
13,1.0,014,0.25082891717986316,0.2192453038524153,0.10170250780225285,0.07609976330373465,0.1259169544028292,0.2517415258658062
14,1.0,015,0.09811123379698801,0.08108017680848267,0.02606096724326774,0.008136903030605056,0.17358926525932838,0.6877743272285091
15,1.0,016,0.2186870846015191,0.189363898877014,0.09368829208477696,0.06652563059012176,0.13408741434335902,0.28992589031376687
16,1.0,017,0.2533393526195499,0.22863211382475293,0.11179214604189996,0.08278222557084004,0.09752625693293225,0.2594987349127991
17,1.0,018,0.129392413046628,0.11481850800712502,0.05687232066000188,0.043602396597717606,0.11263338163614817,0.23332833807882516
18,1.0,019,0.16162813505817156,0.10589138805864659,0.03411697428541914,0.02836268571063146,0.3448455739433284,0.16866350827737212
19,1.0,020,0.2216721994554549,0.15299161193276645,0.07809702001234535,0.06902143759008975,0.30982950361572,0.11620907456931087
20,1.0,021,0.16481115070217686,0.12137868556302828,0.05264581490349892,0.044925773370178994,0.2635286808817537,0.14664112517720457
21,1.0,022,0.1570762456241058,0.12210721449958889,0.055075019006315507,0.03941530691720424,0.22262456672283976,0.28433421125675057
22,1.0,023,0.19730747482525052,0.1217892419302446,0.06761390295840902,0.06187514286745509,0.3827439024390243,0.08487544483985768
23,1.0,024,0.19730747482525052,0.1217892419302446,0.06761390295840901,0.06187514286745509,0.3827439024390243,0.08487544483985748
24,1.0,025,0.1604711554954074,0.09437159487644571,0.020110689642856287,0.016012431595341145,0.4119092955671615,0.2037850576134232
25,1.0,026,0.20338318264783423,0.15539004964315514,0.08052614396267536,0.056250661702720146,0.23597395015585448,0.30146088047140485
26,1.0,027,0.2021319624052165,0.15628375680724713,0.07907591722404139,0.05425904710211723,0.2268231359969528,0.3138360071323853
27,1.0,028,0.24896425760658125,0.1665503467323998,0.05645724128714195,0.04560236401704705,0.3310270786114757,0.1922672277748555
28,1.0,029,0.22970791118632652,0.1534614559207943,0.05610020488395587,0.045254233058511416,0.3319278594792726,0.19333212504088906
29,1.0,030,0.21482890051897108,0.15124864708594224,0.047179171896199266,0.03581758349442924,0.29595763549240994,0.24081788520508793
30,1.0,031,0.17996997888624966,0.155062351543943,0.06499076273423066,0.035184085510688835,0.13839879015627146,0.4586294416243654
31,1.0,032,0.17551264741678677,0.13599795160701877,0.047106229504229394,0.026028034798077925,0.22513873724400696,0.44746087572682886
32,1.0,033,0.17921967093610916,0.13919260123342722,0.05641029059240692,0.03516003372012984,0.2233408280107342,0.3767088708303421
33,1.0,034,0.1778372357368668,0.13762010739949448,0.045344589518055894,0.03010802630162057,0.2261457122336222,0.3360172267160613
34,1.0,035,0.1795543817624011,0.14010125324407255,0.054274984007939724,0.03246162243604321,0.2197280185038073,0.40190452324602255
35,1.0,036,0.17057092555338263,0.13117633561643433,0.036907028584771025,0.020408616672484687,0.23095723851612213,0.44702628591167837
36,1.0,037,0.17241396760219838,0.13152140949266217,0.04799389321102829,0.02865415026805876,0.2371765969905956,0.4029625781332851
37,1.0,038,0.16172308833405358,0.12141176927863333,0.04871979762775169,0.03626775547262169,0.24926137307094703,0.2555848497210729
38,1.0,039,0.183375629906162,0.14013551296165716,0.05913200733605252,0.038666400805972084,0.23580078207028876,0.34610031778174805
39,1.0,040,0.1680070403466017,0.12837801245599786,0.033793663688058494,0.014080693203357704,0.23587718591344978,0.5833333333333334
40,1.0,041,0.07854204277766219,0.06117326496781944,0.019449272833432882,0.017482869472426728,0.22113987866359047,0.10110420979986197
41,1.0,042,0.16221446811859427,0.12551061827845755,0.03817472019424085,0.018650869756469974,0.22626742402103553,0.5114340154539312
42,1.0,043,0.07854204277766219,0.061173264967819434,0.019449272833432882,0.017482869472426728,0.22113987866359058,0.10110420979986197
43,1.0,044,0.18801588677985595,0.1274574194026903,0.045883265875448775,0.042447680108512846,0.3220922891908191,0.07487666148834979
