,index,poverty_base,poverty_reform,deep_poverty_base,deep_poverty_reform,pct_change,pct_change_deep
2364,"(100700.0, 0)",0.1336459554513482,0.12661195779601406,0.04572098475967175,0.044548651817116064,0.052631578947368564,0.02564102564102561
2365,"(100700.0, 1)",0.11981566820276497,0.0967741935483871,0.04608294930875576,0.03225806451612903,0.1923076923076923,0.30000000000000004
2366,"(100800.0, 0)",0.13919821826280623,0.13474387527839643,0.060133630289532294,0.052338530066815145,0.03200000000000003,0.12962962962962962
2367,"(100800.0, 1)",0.14410480349344978,0.1222707423580786,0.06550218340611354,0.048034934497816595,0.15151515151515157,0.26666666666666666
2368,"(100900.0, 0)",0.13850063532401524,0.12706480304955528,0.05717916137229987,0.05590851334180432,0.08256880733944945,0.02222222222222217
2369,"(100900.0, 1)",0.2087378640776699,0.1650485436893204,0.07281553398058252,0.06310679611650485,0.20930232558139528,0.13333333333333328
2370,"(101000.0, 0)",0.1510464058234759,0.13830755232029118,0.06824385805277525,0.06551410373066424,0.08433734939759034,0.03999999999999994
2371,"(101000.0, 1)",0.22336769759450173,0.17869415807560138,0.09278350515463918,0.07216494845360824,0.2,0.22222222222222232
2372,"(101100.0, 0)",0.15837696335078533,0.14921465968586387,0.06806282722513089,0.06806282722513089,0.05785123966942147,0.0
2373,"(101100.0, 1)",0.16939890710382513,0.12568306010928962,0.03825136612021858,0.03825136612021858,0.25806451612903225,0.0
2374,"(101200.0, 0)",0.0903183885640026,0.08641975308641975,0.04093567251461988,0.0396361273554256,0.04316546762589928,0.031746031746031744
2375,"(101200.0, 1)",0.09803921568627451,0.07598039215686274,0.03676470588235294,0.03431372549019608,0.22500000000000006,0.06666666666666661
2376,"(101301.0, 0)",0.24951267056530213,0.24171539961013644,0.08771929824561403,0.08382066276803118,0.03125,0.044444444444444446
2377,"(101301.0, 1)",0.30851063829787234,0.2553191489361702,0.09574468085106383,0.0425531914893617,0.17241379310344834,0.5555555555555556
2378,"(101302.0, 0)",0.22135007849293564,0.2150706436420722,0.0989010989010989,0.09105180533751962,0.028368794326241193,0.07936507936507933
2379,"(101302.0, 1)",0.30708661417322836,0.2204724409448819,0.14173228346456693,0.08661417322834646,0.2820512820512821,0.3888888888888889
2380,"(101303.0, 0)",0.08272727272727273,0.0809090909090909,0.035454545454545454,0.035454545454545454,0.02197802197802212,0.0
2381,"(101303.0, 1)",0.07166123778501629,0.06514657980456026,0.019543973941368076,0.019543973941368076,0.09090909090909094,0.0
2382,"(101304.0, 0)",0.12946428571428573,0.12678571428571428,0.04732142857142857,0.045535714285714284,0.02068965517241393,0.037735849056603786
2383,"(101304.0, 1)",0.20945945945945946,0.1891891891891892,0.08783783783783784,0.07432432432432433,0.09677419354838704,0.15384615384615385
2384,"(101305.0, 0)",0.13784461152882205,0.13032581453634084,0.06892230576441102,0.06641604010025062,0.05454545454545454,0.03636363636363636
2385,"(101305.0, 1)",0.09392265193370165,0.06629834254143646,0.011049723756906077,0.0055248618784530384,0.29411764705882354,0.5
2386,"(101400.0, 0)",0.2174863387978142,0.20765027322404372,0.08633879781420765,0.08196721311475409,0.04522613065326628,0.05063291139240518
2387,"(101400.0, 1)",0.3055555555555556,0.2824074074074074,0.13425925925925927,0.09259259259259259,0.07575757575757591,0.310344827586207
2388,"(101500.0, 0)",0.09036144578313253,0.08313253012048193,0.04216867469879518,0.04096385542168675,0.08000000000000002,0.028571428571428466
2389,"(101500.0, 1)",0.0881057268722467,0.06607929515418502,0.030837004405286344,0.022026431718061675,0.25000000000000006,0.2857142857142857
2390,"(101600.0, 0)",0.2803149606299213,0.2803149606299213,0.15905511811023623,0.15433070866141732,0.0,0.02970297029702979
2391,"(101600.0, 1)",0.27906976744186046,0.27906976744186046,0.11627906976744186,0.07751937984496124,0.0,0.3333333333333333
2392,"(101700.0, 0)",0.18437118437118438,0.18437118437118438,0.08302808302808302,0.08180708180708181,0.0,0.014705882352941124
2393,"(101700.0, 1)",0.23728813559322035,0.23728813559322035,0.13559322033898305,0.12429378531073447,0.0,0.08333333333333329
2394,"(101800.0, 0)",0.11814345991561181,0.10443037974683544,0.03481012658227848,0.03375527426160337,0.11607142857142856,0.03030303030303033
2395,"(101800.0, 1)",0.16818181818181818,0.08181818181818182,0.004545454545454545,0.0,0.5135135135135135,1.0
2396,"(101900.0, 0)",0.2088050314465409,0.2037735849056604,0.11823899371069183,0.11572327044025157,0.02409638554216867,0.021276595744680847
2397,"(101900.0, 1)",0.16666666666666666,0.13513513513513514,0.07657657657657657,0.05855855855855856,0.1891891891891891,0.2352941176470588
2398,"(102000.0, 0)",0.14655172413793102,0.13401253918495298,0.06896551724137931,0.06347962382445141,0.08556149732620309,0.07954545454545456
2399,"(102000.0, 1)",0.21282798833819241,0.16909620991253643,0.11078717201166181,0.061224489795918366,0.20547945205479454,0.44736842105263164
2400,"(102100.0, 0)",0.13725490196078433,0.1319073083778966,0.06417112299465241,0.059714795008912656,0.03896103896103911,0.06944444444444453
2401,"(102100.0, 1)",0.15772870662460567,0.13249211356466878,0.0694006309148265,0.056782334384858045,0.1599999999999999,0.1818181818181818
2402,"(102200.0, 0)",0.16296296296296298,0.1574074074074074,0.08333333333333333,0.07407407407407407,0.03409090909090914,0.1111111111111111
2403,"(102200.0, 1)",0.23773584905660378,0.20754716981132076,0.1320754716981132,0.0830188679245283,0.12698412698412695,0.37142857142857144
2404,"(102300.0, 0)",0.1394169835234474,0.13307984790874525,0.0614702154626109,0.056400506970849175,0.04545454545454538,0.08247422680412378
2405,"(102300.0, 1)",0.23036649214659685,0.18586387434554974,0.10209424083769633,0.06282722513089005,0.19318181818181815,0.38461538461538464
2406,"(102400.0, 0)",0.19904761904761906,0.18666666666666668,0.08476190476190476,0.08190476190476191,0.06220095693779904,0.03370786516853924
2407,"(102400.0, 1)",0.3064516129032258,0.24596774193548387,0.12903225806451613,0.0967741935483871,0.19736842105263158,0.25
2408,"(102500.0, 0)",0.12640449438202248,0.12134831460674157,0.05365168539325843,0.05252808988764045,0.04000000000000003,0.020942408376963453
2409,"(102500.0, 1)",0.15184381778741865,0.13232104121475055,0.06182212581344902,0.0509761388286334,0.12857142857142848,0.1754385964912281
2410,"(102600.0, 0)",0.11102106969205834,0.1085899513776337,0.04213938411669368,0.041329011345218804,0.0218978102189781,0.01923076923076912
