,Senate District Number,child,poverty_base,poverty_reform,deep_poverty_base,deep_poverty_reform,pct_change,pct_change_deep
1,05,1,0.14373817137636233,0.11446844612673758,0.03752528878157019,0.03351171441623703,0.2036322360953462,0.10695652173913042
3,1,1,0.1594527656563274,0.13207290409790703,0.053816215627750005,0.03385967140537255,0.17171142467000466,0.3708277140930546
5,10,1,0.19341473071449208,0.15597264876780345,0.05296037495585922,0.044384757787503615,0.19358443800208022,0.16192515962175702
7,11,1,0.17617991494132415,0.15061356795554526,0.056801241352977254,0.037817396002161,0.14511499221857177,0.3342153252047055
9,12,1,0.2259780965716776,0.18760907666199914,0.05670966365904096,0.039951037213572335,0.16979088014182062,0.2955162376949995
11,13,1,0.1728240215106176,0.1430428329974776,0.04860694181076759,0.037140292580858006,0.17232088602515452,0.23590558884676532
13,14,1,0.20659165908118243,0.16697913792691432,0.05849548889984771,0.04033812069718385,0.19174308067636914,0.31040629874470765
15,15,1,0.17872146498577657,0.15260569913610544,0.04793285602420424,0.0427172983266451,0.14612551352882838,0.10880965855498957
17,16,1,0.2221329981612085,0.17896406985856048,0.05777451915989728,0.04875513038350829,0.19433820575959204,0.15611361042100325
19,17,1,0.16512645232052442,0.13001568697470953,0.044999936231810124,0.030777079161830912,0.21262956269212352,0.31606393832898766
21,18,1,0.2514936352343352,0.21166781476060811,0.06086933291607592,0.04899085404831917,0.15835717049705228,0.1951471832972821
23,19,1,0.24339022172483737,0.20929993083242016,0.06720524119279103,0.05131029819775711,0.14006434050977484,0.23651344319167392
25,2,1,0.17787972798748533,0.14621270651495327,0.050379243617680335,0.04152902989697873,0.1780249038539118,0.17567182603741333
27,20,1,0.24938791840071667,0.20726844181202245,0.06685279165742565,0.0441003161515614,0.16889140764636648,0.3403369544005725
29,21,1,0.24328917580361842,0.20072968785340292,0.07937997670579332,0.06519841295005696,0.17493375038012074,0.17865416877479828
31,22,1,0.29789478886115983,0.24897333893405155,0.0710162832645598,0.05541993032047639,0.16422391984140805,0.21961657562367348
33,23,1,0.20458372116119705,0.1656869923111923,0.06491487803920391,0.04684652640963399,0.190126216442006,0.2783391446666192
35,24,1,0.2931282457028487,0.24807646532273475,0.06385632243637668,0.045507729340650865,0.1536930713452433,0.2873418386097548
37,25,1,0.21070666659428824,0.17992231987275875,0.06798911066839651,0.05176910925701754,0.14610048755981783,0.23856763608056047
39,26,1,0.1928327273518974,0.1554889879576398,0.05669629764339604,0.042415285332090207,0.1936587212507222,0.2518861531511181
41,27,1,0.19913455271894404,0.15670109057247822,0.0673605899879695,0.05496424031731933,0.21308939893698842,0.18402970747233863
43,28,1,0.19635105667529398,0.15873226137344013,0.06120293192579157,0.04195113004137031,0.19158947213645056,0.3145568566513125
45,29,1,0.2310385176275739,0.1929205342166494,0.07153630517443123,0.054509158191840726,0.16498540504129006,0.23802105715513538
47,3,1,0.20770449334753488,0.18072906323903742,0.06246050945065261,0.038411893199501744,0.1298740805927664,0.3850211351566169
49,30,1,0.3132203972055963,0.27084321244413245,0.08105787074202546,0.06379260774920563,0.13529509935985323,0.21299921691464369
51,31,1,0.22396321292260166,0.18516960166656382,0.06536288716472839,0.04426155626990405,0.1732142111635286,0.32283351929734216
53,32,1,0.2640662448470904,0.2266848816029144,0.06283433994823123,0.04302080337455661,0.14156055146625038,0.31532974787351714
55,33,1,0.2583219297142561,0.20775051593671176,0.0767033308430295,0.05939152754251392,0.19576895323399035,0.22569819472303662
57,34,1,0.3152317923805318,0.2682303505786691,0.07787353709067765,0.06382246353280424,0.14910121040432658,0.180434510654268
59,35,1,0.31326861462310307,0.25313521222237145,0.07301958828156475,0.060724951876650744,0.19195476212348556,0.1683744964091784
61,36,1,0.21992428221849256,0.1772097164747031,0.04654209319308675,0.03083481736768606,0.19422396341552212,0.3374853760924919
63,37,1,0.20472827153227388,0.1624372880405841,0.05709801283668264,0.04839821743882956,0.20657129166951874,0.15236599253877872
65,38,1,0.22524498597432127,0.18909951435315053,0.05681635628931206,0.040600323764566314,0.16047181456590315,0.2854113425044859
67,39,1,0.1975650596010858,0.15253230850938274,0.07027469609347338,0.056012480821432786,0.22793884294435013,0.2029495119135089
69,4,1,0.20829785206385706,0.16572647707115826,0.06829619200157398,0.05893221104925159,0.2043774075003321,0.13710839034929778
71,40,1,0.3012978496680237,0.25740047542282574,0.08510615044126889,0.05784311046749911,0.1456942832269298,0.3203415949659689
73,41,1,0.14373817137636233,0.11446844612673758,0.03752528878157019,0.03351171441623703,0.2036322360953462,0.10695652173913042
75,42,1,0.16131922544136285,0.11504612573314864,0.040396121312151846,0.03458987886468803,0.28684181678664084,0.14373267182255942
77,43,1,0.20481088688032267,0.18220726275624938,0.0722793680270431,0.02830530851480552,0.11036339165545088,0.6083902047370534
79,45,1,0.31574608408903543,0.24985278530208457,0.11877281827817689,0.09462960782004476,0.20869078701976865,0.20327218641546843
81,46,1,0.11107581533248624,0.056040872511647605,0.026736552308343924,0.026736552308343924,0.4954718779790277,0.0
83,47,1,0.1257051825436263,0.08221040016369004,0.031568793662856975,0.029771126245944288,0.3460062783397279,0.05694444444444441
85,48,1,0.28594018618832917,0.24126634013428913,0.10915858444970644,0.04550909857601609,0.15623493377952982,0.5830918951043755
87,49,1,0.14964060325268355,0.13008827623024272,0.04689317241510801,0.03750309824782169,0.13066190991909274,0.20024395202276885
89,5,1,0.18357999445445722,0.14771073062525994,0.05140544849577152,0.03610841536115347,0.19538765068486685,0.297576104911843
91,50,1,0.2889674126423243,0.22945762521734253,0.09795838241067924,0.07856581973189747,0.20593944099378877,0.1979673632980247
93,53,1,0.12924852924852925,0.09228549228549228,0.013830613830613831,0.013275613275613276,0.2859841978701478,0.04012841091492783
95,57,1,0.31935223310151895,0.2718729683405898,0.12959278157568116,0.05252270533304439,0.14867365823565706,0.594709638187899
97,58,1,0.27492713606381347,0.18407731247123793,0.10289154778340236,0.07466635987114588,0.3304505509834007,0.27431979127841966
99,6,1,0.22877221461500508,0.18879393654510365,0.08209955300705671,0.06586941733258202,0.17475145807011505,0.19768847795163588
101,65,1,0.0362238864800946,0.0362238864800946,0.01600315333070556,0.013756405202995665,0.0,0.1403940886699508
103,67,1,0.13267696361906156,0.12700387965741894,0.05058194861283947,0.046263084693653464,0.042758620689655094,0.08538350217076701
105,7,1,0.19150295092570135,0.1629557765381195,0.05962486862317083,0.04313000242541838,0.1490691096381982,0.2766440677966102
107,8,1,0.2386665160173881,0.18704455848859128,0.062261761050421915,0.041624395668436794,0.21629325466432786,0.33146131805157597
109,9,1,0.2403880650879409,0.20042670176518665,0.06860557684346838,0.047707804821093075,0.1662368857960366,0.3046074821301482
