,Assembly District Number,poverty_base,poverty_reform,deep_poverty_base,deep_poverty_reform,pct_change,pct_change_deep,child_child,child_poverty_base,child_poverty_reform,child_deep_poverty_base,child_deep_poverty_reform,child_pct_change,child_pct_change_deep
0,1,0.15689818991879786,0.14846658096660093,0.06692749295369801,0.061633783924051645,0.053739364084191735,0.07909618000047723,0,0.16699584364490133,0.16234572307887557,0.07366425534615141,0.07136001649850879,0.027845726363787484,0.031280284268332154
1,1,0.15689818991879786,0.14846658096660093,0.06692749295369801,0.061633783924051645,0.053739364084191735,0.07909618000047723,1,0.11513446570488899,0.09106268504925077,0.03906435818153485,0.02140625128150451,0.2090753668613763,0.4520260340121771
2,10,0.15188505861315318,0.14600600323578666,0.06038183701853481,0.05697751979790525,0.03870726608033449,0.05637982195845699,0,0.14672401846535946,0.14261610589685675,0.05911929594068048,0.057686250866126144,0.027997546764796103,0.024239887362532773
3,10,0.15188505861315318,0.14600600323578666,0.06038183701853481,0.05697751979790525,0.03870726608033449,0.05637982195845699,1,0.17113299996643958,0.1586485216632547,0.06509044534684699,0.0543343289592912,0.07295190469186646,0.1652487754575921
4,11,0.16874688224796994,0.1594154825637307,0.04316768748939322,0.04003836442085667,0.05529820497973377,0.07249225637360021,0,0.15104743930685424,0.14575619799262246,0.04420691430042035,0.0416779617397272,0.03503032781298978,0.0572071722424901
5,11,0.16874688224796994,0.1594154825637307,0.04316768748939322,0.04003836442085667,0.05529820497973377,0.07249225637360021,1,0.22166254603650093,0.200252367225089,0.04006073227530597,0.03513649373698411,0.09658906835747681,0.12291933418693973
6,12,0.18065798240172767,0.14370390791922255,0.044773933420635466,0.036652537505456384,0.20455268010427932,0.18138669745365912,0,0.17047931131106198,0.14382841931566986,0.0458723808337744,0.04149802297705408,0.15632918616596267,0.09535929413760924
7,12,0.18065798240172767,0.14370390791922255,0.044773933420635466,0.036652537505456384,0.20455268010427932,0.18138669745365912,1,0.20931583099579243,0.14335334852734924,0.0416812762973352,0.023010168302945302,0.31513374862587024,0.4479495268138801
8,13,0.171148372433169,0.15223418863675822,0.04451365907468691,0.035262632693039545,0.11051337227174914,0.2078244425183201,0,0.16086908865045244,0.1488557892557454,0.04017586379081465,0.03675601943757688,0.07467748773544902,0.08512186249545292
9,13,0.171148372433169,0.15223418863675822,0.04451365907468691,0.035262632693039545,0.11051337227174914,0.2078244425183201,1,0.19757988751236988,0.1609211960266062,0.05566759780035325,0.03142263030652253,0.1855385785836556,0.43553105310531054
10,14,0.13324703944835103,0.12831377404430017,0.04725478812580345,0.04051616381225452,0.03702345226186501,0.14260193687905473,0,0.13216546406031815,0.12906174091166922,0.04640885851959755,0.04321656525073824,0.02348361707588331,0.06878629146871315
11,14,0.13324703944835103,0.12831377404430017,0.04725478812580345,0.04051616381225452,0.03702345226186501,0.14260193687905473,1,0.13721732994832558,0.1255681071396454,0.0503600605980949,0.030603421440380744,0.08489614841701958,0.39230769230769236
12,15,0.24140906196806092,0.23669746228511285,0.10181005470445302,0.0937148351719747,0.01951707878957513,0.07951296712272814,0,0.24303330989400213,0.24051683725291037,0.11342683022111102,0.10909706487486001,0.010354435127387695,0.038172320762298415
13,15,0.24140906196806092,0.23669746228511285,0.10181005470445302,0.0937148351719747,0.01951707878957513,0.07951296712272814,1,0.23498112575529187,0.2215823445290457,0.05583684407168348,0.03283989744778985,0.057020669992872454,0.41185971389017073
14,16,0.09194988179931103,0.08755996641049589,0.03344261931618199,0.03306293597762917,0.04774247995659777,0.011353277533769753,0,0.09855894438335552,0.09429437467446032,0.034293795937264886,0.03400442733954511,0.043269230769230886,0.008437928488556037
15,16,0.09194988179931103,0.08755996641049589,0.03344261931618199,0.03306293597762917,0.04774247995659777,0.011353277533769753,1,0.07029147849175586,0.06549079572798502,0.030653248462003485,0.029977596813769068,0.06829679595278235,0.02204176334106733
16,17,0.20359577890396946,0.1986511720587601,0.07154991957567179,0.07011399095714195,0.02428639175049695,0.020068906115417662,0,0.18782806844668473,0.18608231793977753,0.06898201663792614,0.06824297436091793,0.00929440696134686,0.01071354989355124
17,17,0.20359577890396946,0.1986511720587601,0.07154991957567179,0.07011399095714195,0.02428639175049695,0.020068906115417662,1,0.30659961315280465,0.28075822050290133,0.08832495164410058,0.08233655705996132,0.08428383970929655,0.06779957953749118
18,18,0.24412534336635724,0.2213264681759598,0.07345436319373022,0.06761876244906462,0.09339003839590439,0.0794452567681331,0,0.22636177292262163,0.2132827692718209,0.06937329942630274,0.06588219597886336,0.057779206629873785,0.050323445422227414
19,18,0.24412534336635724,0.2213264681759598,0.07345436319373022,0.06761876244906462,0.09339003839590439,0.0794452567681331,1,0.31746482164616335,0.2545360463369444,0.09030362716787127,0.07478842911749486,0.19822282980177716,0.17181146025878005
20,19,0.1383027400904496,0.13264964086193137,0.05851024208566108,0.05851024208566108,0.04087481726552284,0.0,0,0.147675625435675,0.14463016032840215,0.06640848888544652,0.06640848888544652,0.02062266605127335,0.0
21,19,0.1383027400904496,0.13264964086193137,0.05851024208566108,0.05851024208566108,0.04087481726552284,0.0,1,0.08135529411764705,0.05985882352941176,0.01052235294117647,0.01052235294117647,0.2642295233688107,0.0
22,2,0.163657600389051,0.15006252605252188,0.06075665207725441,0.05761298110323746,0.08307022896712751,0.05174200464534572,0,0.15857450242065627,0.15222969338353953,0.06237493275954815,0.060742334588488434,0.040011533634112445,0.026173946789702973
23,2,0.163657600389051,0.15006252605252188,0.06075665207725441,0.05761298110323746,0.08307022896712751,0.05174200464534572,1,0.18493829384740113,0.14098955049094677,0.053981623277182235,0.044511755697684896,0.23764003896736471,0.17542761785565283
24,20,0.1454412969604169,0.1309519012504869,0.034270862715074346,0.03390485016991041,0.09962366956802807,0.010679992161473653,0,0.1451726384364821,0.1336069489685125,0.038727470141150924,0.03852768729641694,0.07966852151020164,0.005158685656611016
25,20,0.1454412969604169,0.1309519012504869,0.034270862715074346,0.03390485016991041,0.09962366956802807,0.010679992161473653,1,0.14635698848328743,0.12190247801758593,0.019081031471119402,0.018148444207596884,0.16708809547891165,0.048875096974398916
26,21,0.17536507916336389,0.16310972946097113,0.05760411487464279,0.04959167366934542,0.06988477843400114,0.1390949452610099,0,0.16473177024053418,0.15742290542440512,0.05752467160321902,0.0532710238659543,0.04436827702061943,0.07394475481067658
27,21,0.17536507916336389,0.16310972946097113,0.05760411487464279,0.04959167366934542,0.06988477843400114,0.1390949452610099,1,0.20162592664039464,0.17715435279852287,0.05780031416209662,0.04050486400088186,0.12137116614728564,0.29922761514255747
28,22,0.12512440658302407,0.12089312771245152,0.04796419418485315,0.045477032556208496,0.03381657492828915,0.05185454839623022,0,0.12257358530763235,0.12003883231894795,0.048613027710394184,0.04650194403691491,0.020679439067746407,0.043426294820717186
29,22,0.12512440658302407,0.12089312771245152,0.04796419418485315,0.045477032556208496,0.03381657492828915,0.05185454839623022,1,0.1354149371514518,0.1243395286603053,0.04534666809911221,0.04134233169578763,0.08178867652362061,0.08830497523153141
30,23,0.1415347306426468,0.12847623996766558,0.0460488480859172,0.044004850164559156,0.09226350744929085,0.044387601564851,0,0.14251928793607338,0.13463496230120817,0.05089258585206787,0.04950491948089374,0.055321113015956866,0.02726657229026898
