,st,lower_leg_district,poverty_base,poverty_reform,deep_poverty_base,deep_poverty_reform,pct_chg,pct_chg_deep,child_poverty_base,child_poverty_reform,child_deep_poverty_base,child_deep_poverty_reform,child_pct_chg,child_pct_chg_deep
3586,42.0,043,0.14813800114041664,0.1364448767106966,0.04807614106134679,0.0392589248016678,0.07893399627173577,0.18340108138937194,0.15394760891884426,0.1240896007603615,0.0435468001473763,0.023241798970413816,0.19394915171578173,0.4662799817264154
3587,42.0,044,0.0722624624431598,0.06938465580159783,0.0269923577553878,0.02554899762899811,0.039824364466206665,0.053472917759530905,0.05373813926534662,0.046035030647349054,0.01551431154784537,0.010703056590104659,0.14334527996887608,0.3101172064840285
3588,42.0,045,0.07466349402092201,0.06925220631356288,0.025249325875071466,0.02442038560839315,0.07247568277266522,0.03283019399328691,0.06322596917986874,0.04601317512344282,0.010757732221990574,0.007918393824495731,0.2722424706129535,0.2639346601034341
3589,42.0,046,0.0819584186569731,0.0760387532768879,0.02945601126554454,0.028327616897555207,0.07222766711570212,0.03830777893914114,0.07562824477954895,0.05924323213103383,0.024595716204584,0.02030615728446873,0.21665202856784907,0.1744026839647713
3590,42.0,047,0.11723728633225866,0.10785766923411849,0.03568443611338012,0.033295583468966,0.08000540946979683,0.06694382494441042,0.12793504246285675,0.10834119412597472,0.020670321978041094,0.014392859236486347,0.15315466317659365,0.30369448275762445
3591,42.0,048,0.09380563927711125,0.08398868886225315,0.02647644094818056,0.02647644094818056,0.10465202828433207,0.0,0.09762120811844568,0.06889422359035619,0.01781509516316146,0.01781509516316146,0.29426991410754205,0.0
3592,42.0,049,0.14449016009839333,0.13595230761303065,0.0545212689715318,0.048871880061887044,0.05908950809901979,0.10361807449116003,0.18207821360632895,0.15950633190718433,0.07384642325896376,0.05837727307688208,0.1239680533550667,0.2094773111466029
3593,42.0,050,0.14585314345161124,0.1367861778188558,0.05318431183149383,0.047140628785235957,0.06216503407596101,0.11363657511272003,0.18341662250272428,0.1584493879962436,0.07119721971984141,0.05444095757378182,0.13612307415654123,0.23534995063002326
3594,42.0,051,0.14726462343040203,0.13623928251681158,0.04544823021165543,0.037912403724524264,0.0748675456247717,0.16581121975567187,0.17577856258644692,0.14058762671123637,0.05223090903175372,0.03002670825704929,0.20020038483306998,0.42511610818807327
3595,42.0,052,0.14846854394633913,0.13734376244676832,0.04498532284783675,0.03692079026974882,0.07493022564828024,0.17927030568095026,0.1803500831396632,0.14505695219236403,0.05414751152665446,0.030506898940703842,0.19569234642363953,0.4365964735851873
3596,42.0,053,0.11625492931445455,0.10661599130024056,0.030602941661082853,0.02975438557948966,0.08291208012472237,0.02772792534099054,0.13217108199648175,0.10942053719116761,0.02548113529550766,0.02437839682831413,0.17212951926897097,0.043276661514683096
3597,42.0,054,0.07463879895695588,0.06961523533056446,0.028021631061349698,0.02577355326258079,0.06730499012033277,0.08022651478948652,0.08620872514606596,0.07123584147704803,0.025391696404067764,0.01687441816233682,0.1736817664760607,0.33543557335406987
3598,42.0,055,0.10347963241202,0.09894088834009913,0.03945608283240143,0.034647380174417,0.04386123110535574,0.12187481150651658,0.09897041209559929,0.08743756910110981,0.03484692804827272,0.01919210770317282,0.11652819009533341,0.4492453487840766
3599,42.0,056,0.10573176541073508,0.0982350084261333,0.043615629478488835,0.03897593092296166,0.07090354497987629,0.10637697107674372,0.11360000216554218,0.08604224168327931,0.033682666461560054,0.01948517465076456,0.2425859151138454,0.4215073597869163
3600,42.0,057,0.11661078114623173,0.1081583637488233,0.0493143373428629,0.043458073520886625,0.07248401317892697,0.1187537770458114,0.11853065931604095,0.0877623815353898,0.0391958933848395,0.02215928992070941,0.2595807528465104,0.43465276570834954
3601,42.0,058,0.11808666689550479,0.10960456440749053,0.049996352102510355,0.04394506698401817,0.07182946822878906,0.12103453280121101,0.1186787096093524,0.08799510574186943,0.04007703870497269,0.022545031984231922,0.2585434571077015,0.4374576387692393
3602,42.0,059,0.11142811665679571,0.10678241946941963,0.042944711308578826,0.037229481607574465,0.0416923244039479,0.1330834351158547,0.0989347674344707,0.08675647951445903,0.03915146773970921,0.021419453709154084,0.12309411782948744,0.4529080275723739
3603,42.0,060,0.1232734297698136,0.11328860128012495,0.05075997159562672,0.047346243945502395,0.08099740964726262,0.06725235540554245,0.12115426956875332,0.09482408198810888,0.03136506366901411,0.0206870361602317,0.21732777288300545,0.34044335511205576
3604,42.0,061,0.09217464921139255,0.08501009039676345,0.0275908664186726,0.025904054137634653,0.07772808332796541,0.06113661874338119,0.09300635528748727,0.07552128407695412,0.01694740111386491,0.014190129265386512,0.18799867123580885,0.16269585111918047
3605,42.0,062,0.131767420396862,0.12048223350253806,0.05453161052145824,0.05101292108906322,0.08564474329340899,0.06452568333756462,0.1357677226912992,0.10571071179427967,0.03419451059632917,0.022563806499723366,0.2213855421686745,0.34013366162504394
3606,42.0,063,0.13870979546257092,0.1276651911020487,0.055936546887414194,0.04852782959485211,0.07962382414082993,0.13244859943667814,0.16352488687271607,0.1327055682099184,0.059169634967002664,0.03546228021417274,0.1884686744152081,0.400667585089056
3607,42.0,064,0.13577501044826773,0.12549791658954165,0.05422378622899881,0.04592254664150024,0.07569208667188283,0.15309221588549038,0.16210199135571393,0.1330531050584579,0.0632619262858654,0.03735943599246113,0.1792012920650162,0.4094483335261901
3608,42.0,065,0.12391874775583901,0.11311765895129107,0.0425127792165798,0.03948068984353853,0.08716266908885865,0.0713218337854226,0.13956054814952645,0.10894972137946872,0.050717696100760566,0.04216649780508531,0.21933724950163574,0.16860383954915142
3609,42.0,066,0.1384710116891718,0.1274181324652647,0.0558882239426477,0.04861330459708308,0.0798208887844171,0.1301690916682218,0.1626085226573056,0.13181437052640305,0.05834511593115558,0.035036455022950684,0.18937600334639687,0.39949635091492475
3610,42.0,067,0.14578729408129204,0.1343475352778416,0.04366909882674875,0.04132300292143831,0.0784688327987729,0.053724394785847444,0.1867931964951642,0.14934966497892854,0.033876037150451246,0.027044234908892465,0.200454471676676,0.20167064439140805
3611,42.0,068,0.11666587493068563,0.10007582257436903,0.0443283713269957,0.043662886357191254,0.14220141379107812,0.015012619455278065,0.11391378217068442,0.06962804521151944,0.03360178414123626,0.03159533826394394,0.3887653988418081,0.05971248041052693
