,st,upper_leg_district,poverty_base,poverty_reform,deep_poverty_base,deep_poverty_reform,pct_chg,pct_chg_deep,child_poverty_base,child_poverty_reform,child_deep_poverty_base,child_deep_poverty_reform,child_pct_chg,child_pct_chg_deep
372,15.0,025,0.1105974015083522,0.09989210402445765,0.03444704984412187,0.03159526551555968,0.09679519896392953,0.08278747647380384,0.11632369706520788,0.08777712260884407,0.03178777909905075,0.02483319942489656,0.2454063546515495,0.21878155288809933
373,16.0,001,0.13290707635429114,0.1233740616334904,0.06329606167857707,0.0631128970445682,0.07172691614544677,0.0028937761552843325,0.07699171802236413,0.05595214857365942,0.02011934971138563,0.01992415158528764,0.273270554147048,0.009702009702009743
374,16.0,002,0.11275722512837405,0.10781180933072368,0.04131064963354094,0.036600538060149124,0.04385897038544552,0.11401688463324437,0.0981868989927744,0.08742990630564114,0.04436521224489664,0.02931173569680337,0.10955629312546952,0.33930811521869547
375,16.0,003,0.11212811363482919,0.10732593022028523,0.040624228912475684,0.03577277861065841,0.042827648293302815,0.1194225818358215,0.0987633522359031,0.08828601862458542,0.04502463601246945,0.029567053323663064,0.10608523682237765,0.3433138845259171
376,16.0,004,0.11127744953006935,0.10666894028647611,0.03969607313378629,0.03465350919930197,0.04141458366502128,0.127029288702929,0.09953569631310591,0.08943305576391725,0.04590814572869093,0.029909133204834834,0.10149766288276263,0.34850051706308177
377,16.0,005,0.13290707635429114,0.12337406163349039,0.06329606167857707,0.06311289704456818,0.07172691614544686,0.002893776155284552,0.07699171802236413,0.05595214857365941,0.02011934971138563,0.019924151585287635,0.2732705541470481,0.009702009702009915
378,16.0,006,0.13443554204451774,0.12691609130255563,0.050494641384995875,0.04720025247320692,0.05593350261102886,0.0652423469387755,0.13219967932905774,0.1089202022693636,0.05192402565367538,0.04335224469659596,0.1760932944606415,0.1650831353919239
379,16.0,007,0.1337998833242774,0.12544303105600374,0.05581849948211161,0.0538180073554714,0.0624578442121656,0.035839231530781494,0.10968079741176419,0.08731496059169619,0.03895115498410813,0.03379611456909304,0.20391752565494273,0.13234627874624824
380,16.0,008,0.12838595532316213,0.12170561288957032,0.05028141171415824,0.04584688506185363,0.0520332805623218,0.08819415567554428,0.1217154822451155,0.10322246669385124,0.04661526604282664,0.036349533717391296,0.15193642756163334,0.22022254074456968
381,16.0,009,0.11976610035061346,0.11428137544555123,0.04997758784599606,0.043918516836424684,0.04579530342063222,0.12123576328337739,0.10917092390667768,0.0964050084038425,0.04026322552796125,0.027970645405533998,0.11693512380409857,0.3053053986916804
382,16.0,010,0.1383144021306487,0.13236241664968432,0.04752634203691981,0.041958145197385124,0.0430322901250895,0.11716022317074497,0.12719647224658326,0.11573235556088152,0.04362621257370904,0.02837835213833008,0.09012920313919862,0.3495114413064579
383,16.0,011,0.1289001649334556,0.12330605589808365,0.048110296953869335,0.04218129297264219,0.04339877329295816,0.12323773405331881,0.11787652615231087,0.10644503987071594,0.04195877104741326,0.027305527730399348,0.0969784795560064,0.34922956395590804
384,16.0,012,0.12050012707560628,0.11549620408248824,0.045434401136217106,0.039148609391779964,0.041526288100745254,0.13834873107695816,0.10627718678362483,0.0962077771833672,0.04161751704237181,0.024353741802151448,0.0947466705226066,0.4148199236067757
385,16.0,013,0.12229976499768715,0.11720031087797803,0.04564285066011279,0.039429520529988375,0.04169635256294694,0.13612931796028754,0.10838094340058085,0.09817223183935889,0.04182077853431038,0.024757307279228,0.09419286491620679,0.4080141942140856
386,16.0,014,0.11247697336612716,0.10660602683975093,0.046908804830708264,0.041129598679452324,0.052196875064067935,0.12320088248065222,0.10019555396082984,0.08737233196495013,0.038484986199719934,0.025393538770832936,0.12798194619386785,0.34017025135329965
387,16.0,015,0.10831385926271621,0.09928914000557829,0.04552560317715929,0.04467067539625781,0.08332007850674389,0.018779054449308375,0.10038662683633849,0.07948124986443951,0.032360036819070605,0.029900972796431512,0.2082486246497879,0.07599076714244968
388,16.0,016,0.12217014690462764,0.11872318551746479,0.05489521576094345,0.052905134985799504,0.028214432694868844,0.03625235364426492,0.11028512439384196,0.10096673597299029,0.03598273835242564,0.02937635798161612,0.08449361119251714,0.1835985995869648
389,16.0,017,0.12360313403640727,0.11644063565627774,0.05486202618487256,0.052691740115821936,0.05794754668615293,0.039558984965980946,0.09355171675729786,0.07784139127537201,0.02478251725281058,0.019327152857657848,0.16793198485799354,0.22012955098554565
390,16.0,018,0.12310816390756385,0.11516108583004124,0.05423688748321476,0.05179293931331328,0.0645536236206861,0.04506062724668391,0.09115858913751498,0.07415112700806983,0.023680350930908825,0.018049924882192227,0.18657004556958395,0.2377678466482299
391,16.0,019,0.12309756270656368,0.11789160119171699,0.05467410683726693,0.05188044503675562,0.042291345176805044,0.05109661523738142,0.10234066376577157,0.09023206607928282,0.03138584892434764,0.024038663899382338,0.1183165834667817,0.23409228288439599
392,16.0,020,0.09885672246520665,0.08685136410380326,0.0391460635543634,0.03819551716441014,0.12144200274926939,0.024282042781471662,0.09365168920330695,0.06860284296172535,0.03162203617432922,0.028866976262328956,0.26746817334179057,0.08712468409092579
393,16.0,021,0.1012424255015578,0.09164680128202952,0.04076997239851423,0.03800065130224881,0.09477868761036977,0.06792550824406099,0.0919872549364321,0.07210374200356519,0.03408203456048244,0.02620317182989051,0.21615508525183666,0.23117348574393334
394,16.0,022,0.11457204411631235,0.1061758246978582,0.048970720981200005,0.04584971624975166,0.07328331691394445,0.06373205599007835,0.08842191870554504,0.07111798535780978,0.028057212289309384,0.01964700235153129,0.19569732936195733,0.29975215823500145
395,16.0,023,0.12305704824499654,0.111007604727106,0.04275226050373733,0.03691175223358378,0.09791754060199043,0.13661285277869645,0.1252484134758485,0.09722556058378777,0.04698805259505073,0.0298615663521024,0.2237381864917941,0.36448597669170635
396,16.0,024,0.127508719234445,0.11453536720078443,0.04395921508272413,0.04017674291600989,0.10174482271919785,0.08604503423448852,0.13049503674100812,0.1050556486614241,0.041156374887198664,0.0336900004297194,0.19494525397217416,0.18141477421038896
397,16.0,025,0.1208854934016898,0.10726933517382513,0.04221032050670304,0.03717735488699553,0.11263682551734815,0.119235427717453,0.12591256705472623,0.09577745843088147,0.044936216247197326,0.031627586109041775,0.23933360528458558,0.29616712864616435
