,st,upper_leg_district,poverty_base,poverty_reform,deep_poverty_base,deep_poverty_reform,pct_chg,pct_chg_deep
0,1.0,001,0.1233581021727419,0.10537940140068533,0.04308728681300714,0.0308820428223177,0.14574397996882668,0.28326787072155446
1,1.0,002,0.1532768415184551,0.09663598042812806,0.024237836250136254,0.01862559418280529,0.3695330653294241,0.23154880697320554
2,1.0,003,0.1481497569287078,0.12678823538259573,0.0382819952041321,0.03328923588793209,0.14418870465235792,0.13042056166552937
3,1.0,004,0.17090405003349973,0.1450172076706575,0.05110457346578477,0.038670913306726284,0.15147003454726798,0.24329838438790605
4,1.0,005,0.2357744890910323,0.2086526456073447,0.10360388826412538,0.07420757234416059,0.11503298591908254,0.28373757406693556
5,1.0,006,0.15310486974366797,0.13668659809644848,0.06718485156523828,0.05118841687535562,0.10723546334422523,0.23809585519958604
6,1.0,007,0.18707342754342748,0.12934639519506153,0.057204700699860916,0.04972504075700605,0.3085795406991467,0.1307525404616451
7,1.0,008,0.19192379104171625,0.12375967786225849,0.06547942261693053,0.058640997632471235,0.35516239445604597,0.10443624441323546
8,1.0,009,0.20282574817789698,0.15429284755798559,0.07725436523143839,0.054795828677059705,0.23928372534508557,0.2907089649510092
9,1.0,010,0.2341951004215142,0.1600875232324067,0.058223936467384524,0.045475554680092976,0.31643521600462854,0.2189543091857564
10,1.0,011,0.15596469914636776,0.1210889691812919,0.039520044364420685,0.02660250238710022,0.22361297239669684,0.3268605130653633
11,1.0,012,0.1700755619831266,0.13047804365340787,0.037462564840344895,0.017373342866008258,0.2328230926771669,0.5362479066756735
12,1.0,013,0.16958842169199811,0.1295297607506741,0.05307434013340355,0.036917260938158024,0.23621106052910537,0.3044235529755875
13,1.0,014,0.12966725826430103,0.10194545747378878,0.035438325416036434,0.0297019710933802,0.2137918327385843,0.16186866211405232
14,1.0,015,0.11321000039854387,0.08649997974064283,0.030511708544042157,0.022359504276023658,0.23593340309046223,0.26718281790910503
15,1.0,016,0.09491301831701544,0.07268311749492307,0.023475401824859767,0.015734574646754488,0.23421340103043728,0.3297420523770532
16,1.0,017,0.18106336424799954,0.12954135745293688,0.04137245744603872,0.034247876299042836,0.28455235551955066,0.17220589703399505
17,1.0,018,0.24665994255436544,0.18916575637312533,0.06830307713976747,0.03904386801765779,0.23309089261045304,0.4283732204661444
18,1.0,019,0.18182553502136634,0.13984617378347597,0.05426847671681138,0.027331103476701313,0.23087714953214558,0.4963723854029859
19,1.0,020,0.22643546218572225,0.16372804879021727,0.05883408334327031,0.0435903827440213,0.27693283017689335,0.2590964239267382
20,1.0,021,0.18011609848492763,0.14525636130448785,0.07127082635049126,0.0509902322948464,0.1935403746453951,0.28455674073302034
21,1.0,022,0.18828566043884762,0.15351015363113277,0.07297823974249054,0.05413489939801941,0.1846954607518262,0.2582049171227114
22,1.0,023,0.26164006555424046,0.21513016449912198,0.10067765320893791,0.08095965916170247,0.17776291622842658,0.1958527381077743
23,1.0,024,0.2537043956734174,0.2098871861967088,0.08907352416336103,0.07442205060622675,0.17270969767947023,0.16448741300797134
24,1.0,025,0.22746683037076945,0.185686520850884,0.0884388858819364,0.0550020719075374,0.18367649231223657,0.3780781908428411
25,1.0,026,0.2555006326698369,0.2083262617660306,0.10313816542048683,0.06682921715906988,0.18463504536509692,0.35204182771128417
26,1.0,027,0.1771948495751238,0.1371747917643694,0.06203306936769697,0.04658953661093833,0.2258533919395182,0.24895645039290434
27,1.0,028,0.2621278913663348,0.22512321878094757,0.11773842905925222,0.08240356599859773,0.14117029817964558,0.3001132539561243
28,1.0,029,0.2016020473069925,0.17555953314300085,0.07962160323072144,0.05735122261505007,0.1291778258795905,0.27970274036228526
29,1.0,030,0.17376085364220567,0.14472807192647127,0.055613157727016596,0.02940239842502343,0.16708470928392397,0.471304999990319
30,1.0,031,0.22831869980472472,0.17477468722487233,0.08975016281375335,0.059460499885885594,0.2345143548279105,0.33748866830162627
31,1.0,032,0.1246332212123381,0.09654333357188866,0.04287554569526946,0.035182136978458456,0.22538041917886875,0.1794358203972628
32,1.0,033,0.3226136906486636,0.24900116560360314,0.09170446792783299,0.06287453633641414,0.22817545311561743,0.314378701963645
33,1.0,034,0.20264507809818852,0.16473227697896026,0.06048633707773225,0.04320400025604279,0.18708967163198606,0.28572298566335025
34,1.0,035,0.2087138486889793,0.16698972678991147,0.0606902255340277,0.04281842773411875,0.1999106535630234,0.29447571899182706
35,2.0,00A,0.10174671002230204,0.0754098639745314,0.01766288156080287,0.017381977902245528,0.25884715134275915,0.01590361445783111
36,2.0,00B,0.10174671002230204,0.0754098639745314,0.01766288156080287,0.017381977902245528,0.25884715134275915,0.01590361445783111
37,2.0,00C,0.10896995115853046,0.08208929934018948,0.020405556991035415,0.018783869304806737,0.24667948854299082,0.07947284589884605
38,2.0,00D,0.14632777294647797,0.12447624318127916,0.03420033204205866,0.028207763459562024,0.149332757037117,0.17521960240406836
39,2.0,00E,0.13582080033105284,0.11291216038809404,0.03030274575904349,0.025656316164896775,0.1686681265838571,0.15333361640207288
40,2.0,00F,0.15339489129954073,0.11791367225878326,0.03028067184754071,0.024042308563655915,0.23130639319318522,0.20601799442542595
41,2.0,00G,0.18170142912321358,0.09162804171494786,0.014580919273850907,0.007358053302433372,0.4957219535526385,0.49536423841059596
42,2.0,00H,0.17072011575906001,0.08997995793484272,0.015387057929721795,0.008971189287853076,0.47293874810960856,0.4169652620515429
43,2.0,00I,0.13635735011672928,0.08482276818743553,0.017909629938033675,0.014019020269266855,0.3779376900854802,0.21723562587435435
