Assembly District Number,STATEFIP,PUMA,PUMA Description,STATEFIP,STATE_CODE
95,40,01005,Oklahoma County (Southeast)--Oklahoma City (East Central) PUMA,40,
19,47,01602,Knox County (East) PUMA,47,
89,47,01604,Knox County (West)--Farragut Town PUMA,47,
78,26,02400,Berrien County PUMA,26,
28,38,00300,South Central North Dakota--Bismarck City PUMA,38,
46,42,04001,Washington County (North)--Washington City PUMA,42,
122,36,02203,"Chenango, Delaware & Broome (East) Counties PUMA",36,
21,13,03101,Atlanta Regional Commission--Cherokee County (Central)--Woodstock & Canton Cities PUMA,13,
162,13,00402,Coastal Regional Commission (East)--Chatham County (East & Outside Savannah City) PUMA,13,
41,06,07112,San Bernardino County (Southwest)--Upland & Montclair Cities PUMA,06,
41,06,03711,"Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities PUMA",06,
41,06,03718,Los Angeles County (Central)--Pasadena City PUMA,06,
41,06,03709,Los Angeles County (Central)--San Gabriel Valley Region (North) PUMA,06,
51,21,00600,Lake Cumberland Area Development District (West) PUMA,21,
09B,27,00700,"Crow Wing, Morrison, Todd & Wadena Counties PUMA",27,
16A,27,02000,"Brown, Lyon, Redwood, Chippewa, Yellow Medicine, Lac qui Parle & Lincoln Counties PUMA",27,
38,22,01000,Acadiana Regional Development District 1--St. Landry & Evangeline Parishes PUMA,22,
93,01,02500,"Houston, Dale, Geneva & Henry Counties--Dothan City PUMA",01,
78,39,03700,Muskingum & Perry Counties PUMA,39,
28,39,05506,"Hamilton County (North Central)--Sharonville, Blue Ash, Springdale & Reading Cities PUMA",39,
72,55,01601,"Central Sands--Wood, Portage, Juneau & Adams Counties PUMA",55,
36,55,01300,"Marinette, Oconto, Door & Florence Counties PUMA",55,
42,12,09702,Osceola County (East) PUMA,12,
106,12,02102,Collier County (Southwest) PUMA,12,
106,12,02101,Collier County (Northwest) PUMA,12,
100,17,00401,"Cass, Morgan, Scott, Greene, Macoupin, Jersey & Calhoun Counties PUMA",17,
63,08,00802,Boulder (Northeast) & Weld (Southwest) Counties--Longmont City & Erie Town PUMA,08,
53,28,01600,Southwest Region PUMA,28,
19,24,01005,"Montgomery County (East Central)--Wheaton, Aspen Hill & Glenmont PUMA",24,
34A,24,00602,Harford County (South & East)--Aberdeen & Havre de Grace Cities PUMA,24,
59,48,02200,"North Central Texas COG (West)--Hood, Erath, Palo Pinto & Somervell Counties PUMA",48,
4,41,00901,Jackson County (Central)--Medford & Central Point Cities PUMA,41,
9,16,00400,"Ada (North), Payette, Canyon (North), Gem & Washington Counties--Eagle City PUMA",16,
35,72,01102,"Humacao, Yabucoa & Naguabo Municipios--Carr 53 PUMA",72,
62,05,00400,"Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties PUMA",05,
18,05,01600,"Garland, Hot Spring, Clark & Montgomery Counties PUMA",05,
55,37,05300,Union (East) & Anson Counties--Monroe City PUMA,37,
144,48,04605,Harris County (Southeast)--Pasadena City (North & Central)--Inside Beltway TX-8 PUMA,48,
144,48,04622,"Harris County (East)--Deer Park, La Porte (North) Cities & Channelview PUMA",48,
104,48,02319,Dallas County (West)--Grand Prairie (Central) & Dallas (Southwest) Cities PUMA,48,
