Assembly District Number,STATEFIP,PUMA,PUMA Description,STATEFIP,STATE_CODE
15,06,01302,"Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cites PUMA",06,
28,56,00100,"Sheridan, Park, Teton, Lincoln & Big Horn Counties PUMA",56,
3,56,00200,"Campbell, Goshen, Platte, Johnson, Washakie, Weston, Crook & Niobrara Counties PUMA",56,
37,47,02401,Rutherford County (North)--Smyrna Town & La Vergne City PUMA,47,
11,47,01400,"Hamblen, Cocke & Grainger Counties PUMA",47,
29,47,02003,Hamilton County (North)--Soddy-Daisy City PUMA,47,
44,47,00500,Sumner County--Hendersonville City PUMA,47,
24,21,01200,Lincoln Trail Area Development District (East) PUMA,21,
19,21,00400,Barren River Area Development District (Outer) PUMA,21,
47,21,01800,KIPDA Area Development District (Northeast) PUMA,21,
96,21,02800,FIVCO Area Development District PUMA,21,
19,08,04106,El Paso County (North Central)--Colorado Springs City (North) & Monument Town PUMA,08,
25,08,00821,Douglas (West) & Jefferson (Southeast) Counties--Highlands Ranch & Chatfield Park PUMA,08,
60,08,00600,"Fremont, Chaffee, Park, Lake, Huerfano, Pueblo (Southwest) & Custer Counties PUMA",08,
30,08,00807,Adams County (West Central)--Commerce City & Brighton Cities PUMA,08,
70,18,03500,"Floyd, Harrison & Washington Counties PUMA",18,
66,18,03600,Clark County--Jeffersonville City PUMA,18,
4,18,00200,Porter County PUMA,18,
76,18,03300,Vanderburgh County--Evansville City PUMA,18,
89,18,02306,Marion County--Warren & Franklin Townships--Indianapolis City (East & Southeast) PUMA,18,
74,18,03400,"Dubois, Knox, Spencer, Perry, Pike & Crawford Counties PUMA",18,
118,23,00200,"Northwest Maine--Oxford, Somerset, Franklin & Piscataquis Counties PUMA",23,
6,53,10504,Spokane County (Outer)--Cheney City PUMA,53,
6,53,10502,Spokane County (South Central)--Spokane City (South) PUMA,53,
6,53,10501,Spokane County (North Central)--Spokane City (North) PUMA,53,
43,54,00500,"Randolph, Upshur, Barbour, Lewis, Hardy, Grant, Pendleton & Tucker Counties PUMA",54,
11,12,03104,Duval County (East)--Jacksonville City (Beaches) PUMA,12,
64,08,00823,Douglas (Northeast) & Elbert (West) Counties--Parker Town & The Pinery PUMA,08,
64,08,00100,Northeast Colorado--Eastern Plains Region PUMA,08,
59,08,00900,"La Plata, Montezuma, Gunnison, Archuleta, Dolores, Hinsdale & San Juan Counties PUMA",08,
62,08,00800,Southeast Colorado PUMA,08,
33,08,00804,"Broomfield, Jefferson (Northeast), Adams (Northwest) & Boulder (Southeast) Counties PUMA",08,
49,29,00500,"Cole, Callaway, Moniteau & Osage Counties PUMA",29,
4,29,00300,Northeast Missouri PUMA,29,
46,24,00805,"Baltimore City--Irvington, Ten Hills & Cherry Hill PUMA",24,
46,24,00804,"Baltimore City--Inner Harbor, Canton & Bayview PUMA",24,
5,48,01300,"East Texas COG (Northwest)--Van Zandt, Wood, Camp & Rains Counties PUMA",48,
31,48,06900,Coastal Bend COG (Southeast) & Willacy County PUMA,48,
31,48,06400,South Texas Development Council (South) & Coastal Bend COG (West) PUMA,48,
13,40,01302,"Muskogee, Okmulgee, Wagoner (East) & McIntosh Counties PUMA",40,
55,41,00902,Jackson County (Outside Medford & Central Point Cities)--Ashland City PUMA,41,
28,16,01300,"Southeast Idaho--Pocatello, Chubbuck Cities & Fort Hall Reservation PUMA",16,
34,16,01100,"Bingham (Outside Fort Hall AIR), Madison, Jefferson, Fremont & Teton Counties PUMA",16,
11,72,00503,Toa Alta & Vega Alta Municipios PUMA,72,
110,37,03001,Gaston County (Northwest)--Mount Holly City PUMA,37,
1,47,01100,Sullivan County (Southeast)--Bristol City PUMA,47,
41,47,00700,"Putnam, Overton, Jackson, Clay & Pickett Counties PUMA",47,
105,26,00300,Northeast Lower Peninsula PUMA,26,
5,19,02000,Woodbury & Plymouth Counties--Sioux City PUMA,19,
42,53,10100,Whatcom County--Bellingham City PUMA,53,
19,53,11200,"Cowlitz, Pacific & Wahkiakum Counties PUMA",53,
HD-105,45,01101,Horry County (West & North)--Conway City & Red Hill PUMA,45,
10,38,00400,Northeast North Dakota--Grand Forks City PUMA,38,
84,42,00900,Lycoming & Clinton Counties PUMA,42,
2,34,00102,Atlantic County (Outside Somers Point City)--Pleasantville City & Hammonton Town PUMA,34,
11,34,01103,"Monmouth County (East Central)--Long Branch, Asbury Park Cities & Eatontown Borough PUMA",34,
30,34,01203,Ocean County (North Central) PUMA,34,
30,34,01101,Monmouth County (Southeast)--Tinton Falls Borough (South) PUMA,34,
30,34,01106,Monmouth County (Central) PUMA,34,
16,34,00902,Middlesex County (Southwest) PUMA,34,
16,34,01002,Somerset County (South) PUMA,34,
23,13,03102,Atlanta Regional Commission--Cherokee County (Outside Woodstock & Canton Cities) PUMA,13,
56,05,00500,"Craighead (West), Greene, Randolph, Lawrence & Clay Counties PUMA",05,
152,13,00900,Southwest Georgia Regional Commission (North Central)--Dougherty & Lee Counties PUMA,13,
132,13,02200,"Three Rivers Regional Commission (Southwest)--Troup, Meriwether & Heard Counties PUMA",13,
63,13,02400,Atlanta Regional Commission (South Central)--Fayette County PUMA,13,
110,13,06001,Atlanta Regional Commission (Southeast)--Henry County (South)--McDonough City PUMA,13,
171,13,00800,"Southwest Georgia Regional Commission (East)--Colquitt, Thomas & Worth Counties PUMA",13,
174,12,08900,Nassau & Baker Counties PUMA,12,
174,13,00500,Southern Georgia Regional Commission (East & Central) PUMA,13,
164,13,00401,Coastal Regional Commission (East)--Chatham County (West Central)--Savannah City PUMA,13,
164,13,00200,"Coastal Regional Commission (West)--Liberty, Bryan & Long Counties PUMA",13,
129,13,01600,Middle Georgia Regional Commission (North & Outside Bibb County) PUMA,13,
14,13,02900,Northwest Georgia Regional Commission (East Central)--Bartow County PUMA,13,
156,13,01200,Heart of Georgia Altamaha Regional Commission (Southeast) PUMA,13,
16,13,02500,"Northwest Georgia Regional Commission (Southwest)--Floyd, Polk & Haralson Counties PUMA",13,
22,47,01900,"Bradley, McMinn & Polk Counties--Cleveland City PUMA",47,
48,47,02402,Rutherford County (South)--Murfreesboro City PUMA,47,
39,47,02200,"Coffee, Franklin, Lincoln & Moore Counties PUMA",47,
73,47,03000,Madison & Chester Counties--Jackson City PUMA,47,
72,21,02300,Bluegrass Area Development District (Northeast) PUMA,21,
46,47,02300,Wilson County--Lebanon & Mount Juliet Cities PUMA,47,
17,47,01500,Sevier & Jefferson Counties PUMA,47,
75,47,00200,"Land Between the Lakes--Weakley, Henry, Carroll, Humphreys, Benton & Houston Counties PUMA",47,
10,21,01300,Lincoln Trail Area Development District (West) PUMA,21,
52,47,02501,Nashville-Davidson (East) PUMA,47,
64,17,03602,"McHenry County (Southeast)--Algonquin, McHenry & Nunda Townships PUMA",17,
64,17,03306,"Lake County (Northwest)--Avon, Lake Villa, Antioch & Grant Townships PUMA",17,
118,17,00800,South & Southeast Illinois PUMA,17,
115,17,00900,"Jackson, Williamson, Franklin & Perry Counties PUMA",17,
51,17,03308,"Lake County (Southwest)--Ela, Freemont, Wauconda & Cuba Townships PUMA",17,
51,17,03309,"Lake County (East Central)--Warren, Libertyville (North & East) & Shields Townships PUMA",17,
114,17,01105,"St. Clair County (Northwest, Southwest & Southeast) PUMA",17,
114,17,01104,St. Clair County (Central & Northeast) PUMA,17,
106,17,02200,"Livingston, Ford, Iroquois & Vermilion Counties PUMA",17,
73,17,01701,Peoria County--Peoria City PUMA,17,
73,17,02501,"Knox, Stark, Bureau, Marshall & Woodford Counties PUMA",17,
110,17,00600,"Douglas, Edgar, Coles & Cumberland Counties PUMA",17,
94,17,00202,"Henry, Mercer, Henderson, Warren, Hancock, McDonough & Fulton Counties PUMA",17,
87,17,01900,Tazewell County PUMA,17,
89,17,00104,"Jo Daviess, Carroll, Whiteside & Lee Counties PUMA",17,
89,17,02700,Stephenson & Ogle Counties PUMA,17,
89,17,02801,Winnebago County (Southeast & West)--Rockford City PUMA,17,
52,17,03401,Cook County (Northwest)--Palatine & Barrington Townships PUMA,17,
96,17,01602,"Menard, Logan, De Witt, Piatt, Moultrie, Shelby & Christian Counties PUMA",17,
96,17,01500,Macon County--Decatur City PUMA,17,
34,17,03532,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA",17,
108,17,01001,"Monroe, Randolph, Washington, Jefferson & Marion Counties PUMA",17,
108,17,01204,Madison County (East) PUMA,17,
12,02,00101,Anchorage Municipality (North) PUMA,02,
26B,46,00200,Lakota Region PUMA,46,
12,46,00600,Sioux Falls City PUMA,46,
29,46,00100,West South Dakota--Rapid City PUMA,46,
24,22,00700,Kisatchie Delta Regional Planning & Development District 2--Rapides & Vernon Parishes PUMA,22,
103,22,02500,"Regional Planning Commission 9--St. Bernard, Jefferson (South) & Plaquemines Parishes PUMA",22,
103,22,02400,Regional Planning Commission 6--New Orleans City (Northeast) PUMA,22,
74,22,02200,Regional Planning Commission 1--St. Tammany Parish (Northwest) PUMA,22,
74,22,01800,Capital Region Planning Commission 7--Tangipahoa & Washington Parishes PUMA,22,
58,22,01600,Capital Region Planning Commission 5--Ascension Parish PUMA,22,
19,32,00404,"Clark County (East)--Mesquite City, Sunrise Manor (North), Moapa Valley & Nellis AFB PUMA",32,
36,32,00407,Clark County (West)--Las Vegas City (Southwest) PUMA,32,
36,32,00402,Clark County (North)--Las Vegas (Northeast) & North Las Vegas (Outer) Cities PUMA,32,
25,32,00102,Washoe County (South) PUMA,32,
23,32,00412,Clark County (South)--Henderson (East) & Boulder Cities PUMA,32,
39,32,00200,"Carson City, Lyon, Douglas & Storey Counties PUMA",32,
41,32,00413,Clark County (Central)--Paradise (South) & Enterprise PUMA,32,
31,06,01901,"Fresno County (West)--Selma, Kerman & Coalinga Cities PUMA",06,
31,06,01905,Fresno County (Central)--Fresno City (Southeast) PUMA,06,
31,06,01904,Fresno County (Central)--Fresno City (Southwest) PUMA,06,
31,06,01903,Fresno County (Central)--Fresno City (East Central) PUMA,06,
50,06,03728,Los Angeles County (Southwest)--Santa Monica City PUMA,06,
50,06,03730,Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire) PUMA,06,
50,06,03731,Los Angeles County (Central)--West Hollywood & Beverly Hills Cities PUMA,06,
50,06,03727,Los Angeles County (Central)--LA City (Central/Pacific Palisades) PUMA,06,
50,06,03726,"Los Angeles County--Calabasas, Agoura Hills, Malibu & Westlake Village Cities PUMA",06,
65,06,05909,Orange County (North Central)--Anaheim City (West) PUMA,06,
65,06,05908,"Orange County (Northwest)--Buena Park, Cypress & Seal Beach Cities PUMA",06,
65,06,05907,Orange County (North Central)--Fullerton & Placentia Cities PUMA,06,
40,06,07107,San Bernardino County (Southwest)--San Bernardino City (East) PUMA,06,
40,06,07108,San Bernardino County (Southwest)--San Bernardino City (West) PUMA,06,
40,06,07111,San Bernardino County (Southwest)--Rancho Cucamonga City PUMA,06,
12,06,09903,"Stanislaus County (Northeast)--Turlock, Riverbank, Oakdale & Waterford Cities PUMA",06,
12,06,07704,"San Joaquin County (North)--Lodi, Ripon & Escalon Cities PUMA",06,
26,26,02908,Oakland County (Southeast) PUMA,26,
110,26,00100,Western Upper Peninsula PUMA,26,
101,26,00500,Northwest Lower Peninsula (West) PUMA,26,
14,26,03207,Wayne County (Southeast)--Downriver Area (North) PUMA,26,
109,26,00200,Eastern Upper Peninsula PUMA,26,
118,36,01600,Fulton & Montgomery Counties PUMA,36,
118,36,00100,St. Lawrence County PUMA,36,
146,36,01202,Erie County (North Central) PUMA,36,
98,36,03003,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",36,
98,36,02903,Orange County (Southeast) PUMA,36,
126,36,00704,Cayuga & Onondaga (South) Counties PUMA,36,
117,36,00401,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,36,
117,36,00500,Jefferson & Lewis Counties PUMA,36,
132,36,02402,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",36,
93,36,03104,Westchester County (Southeast) PUMA,36,
93,36,03102,Westchester County (Northwest) PUMA,36,
93,36,03103,Westchester County (Northeast) PUMA,36,
2,36,03304,Suffolk County (North Central)--Brookhaven Town (North) PUMA,36,
2,36,03305,Suffolk County (East) PUMA,36,
114,36,00300,Warren & Washington Counties PUMA,36,
114,36,00200,"Clinton, Franklin, Essex & Hamilton Counties PUMA",36,
3,36,03307,Suffolk County (Central)--Brookhaven Town (Central) PUMA,36,
3,36,03306,Suffolk County (South Central)--Brookhaven Town (South) PUMA,36,
107,36,01900,Rensselaer County--Troy City PUMA,36,
102,36,02100,Columbia & Greene Counties PUMA,36,
113,36,01801,Saratoga County (South & Central) PUMA,36,
101,36,00403,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",36,
111,36,01700,Schenectady County--Schenectady City PUMA,36,
100,36,02902,Orange County (Northwest) PUMA,36,
100,36,02701,Sullivan & Ulster (West) Counties PUMA,36,
124,36,02401,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,36,
124,36,02202,Broome (Outer West) & Tioga Counties PUMA,36,
15,36,03202,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,36,
128,36,00703,Onondaga County (Central)--Syracuse City (Outer) PUMA,36,
128,36,00701,Onondaga County (Central)--Syracuse City PUMA,36,
27,34,01402,Essex County (South Central)--East Orange City PUMA,34,
27,34,01404,Essex County (Southwest) PUMA,34,
27,34,01504,"Morris County (South)--Morristown Town, Madison & Florham Park Boroughs PUMA",34,
26,34,01403,Essex County (Northwest) PUMA,34,
26,34,01503,Morris County (East)--Lincoln Park Borough PUMA,34,
26,34,01501,Morris County (North)--Dover Town & Kinnelon Borough PUMA,34,
26,34,00503,"Passaic County (North)--Ringwood, Wanaque & Pompton Lakes Boroughs PUMA",34,
7,34,02001,Burlington County (North)--Burlington City PUMA,34,
29,06,08701,Santa Cruz County (North)--Watsonville & Scotts Valley Cities PUMA,06,
29,06,08512,Santa Clara County (Central)--San Jose City (Southwest/Almaden Valley) PUMA,06,
73,06,05901,"Orange County (Southwest)--San Clemente, Laguna Niguel & San Juan Capistrano Cities PUMA",06,
73,06,05915,Orange County (Southeast)--Rancho Santa Margarita City (East) & Ladera Ranch PUMA,06,
73,06,05902,Orange County (South Central)--Mission Viejo & Rancho Santa Margarita (West) Cities PUMA,06,
68,06,05905,"Orange County (Northeast)--Lake Forest, Irvine (North) Cities & Silverado PUMA",06,
68,06,05911,Orange County (Central)--Orange & Villa Park Cities PUMA,06,
68,06,05910,Orange County (North Central)--Anaheim City (East) PUMA,06,
16,06,00110,"Alameda County (East)--Livermore, Pleasanton & Dublin Cities PUMA",06,
16,06,01304,"Contra Costa County--Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town PUMA",06,
118,42,00801,Luzerne County (East)--Kingston Borough PUMA,42,
81,42,02200,Blair & Huntingdon Counties--Altoona City PUMA,42,
90,42,03702,Franklin County (Outside Washington Township & Waynesboro Borough) PUMA,42,
85,42,01100,"Mifflin, Union, Snyder & Juniata Counties PUMA",42,
112,42,00701,"Lackawanna County--Scranton City, Dunmore, Old Forge, Taylor & Moosic Boroughs PUMA",42,
29,42,03002,Bucks County (Central) PUMA,42,
15,42,01502,Beaver County (South) PUMA,42,
72,42,02100,Cambria County PUMA,42,
93,42,03603,York County (South) PUMA,42,
76,42,01200,Centre County PUMA,42,
62,42,01900,Indiana & Armstrong Counties PUMA,42,
HD-025,45,00104,Greenville County (Central)--Greenville & Mauldin Cities PUMA,45,
HD-082,45,01500,Aiken & Edgefield Counties--Aiken & North Augusta Cities PUMA,45,
HD-097,45,01201,Dorchester (North & West) & Berkeley (Southwest) Counties--Summerville Town & Ladson PUMA,45,
HD-090,45,01300,"Orangeburg, Colleton, Barnwell, Hampton, Bamberg & Allendale Counties PUMA",45,
HD-039,45,00601,Lexington (South & West) & Saluda Counties--Lexington Town & Red Bank PUMA,45,
HD-120,45,01400,"Beaufort & Jasper Counties--Hilton Head Island, Bluffton Towns & Beaufort City PUMA",45,
HD-080,45,00605,"Kershaw, Richland (South) & Calhoun Counties PUMA",45,
HD-053,45,00700,"Lancaster, Chesterfield & Marlboro Counties PUMA",45,
HD-014,45,00105,"Greenville (South) & Laurens Counties--Simpsonville, Laurens & Clinton Cities PUMA",45,
HD-011,45,01600,"Greenwood, Abbeville & McCormick Counties PUMA",45,
35,06,08301,Santa Barbara County (Northwest)--Santa Maria City & Orcutt PUMA,06,
35,06,07902,San Luis Obispo County (East)--Inland Region PUMA,06,
35,06,07901,San Luis Obispo County (West)--Coastal Region PUMA,06,
1,06,06103,Placer County (East/High Country Region)--Auburn & Colfax Cities PUMA,06,
1,06,05700,Nevada & Sierra Counties PUMA,06,
1,06,00701,Butte County (Northwest)--Chico City PUMA,06,
1,06,08900,Shasta County--Redding City PUMA,06,
1,06,01500,"Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties PUMA",06,
60,06,06512,"Riverside County (West Central)--Corona City (South), Woodcrest & Home Gardens PUMA",06,
60,06,06513,Riverside County (West Central)--Corona (Northwest) & Norco Cities PUMA,06,
60,06,06511,Riverside County (Northwest)--Riverside City (West) PUMA,06,
60,06,06514,Riverside County (Northwest)--Jurupa Valley & Eastvale Cities PUMA,06,
51,06,03743,Los Angeles County (Central)--East Los Angeles PUMA,06,
51,06,03734,"Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake) PUMA",06,
51,06,03735,"Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park) PUMA",06,
8,06,06702,Sacramento County (Central)--Rancho Cordova City PUMA,06,
8,06,06703,"Sacramento County (North Central)--Arden-Arcade, Carmichael & Fair Oaks (West) PUMA",06,
8,06,06704,"Sacramento County (North Central)--North Highlands, Foothill Farms & McClellan Park PUMA",06,
8,06,06701,Sacramento County (North Central)--Citrus Heights City PUMA,06,
22,06,08105,"San Mateo County (East Central)--Redwood City, San Carlos & Belmont Cities PUMA",06,
22,06,08103,"San Mateo County (Central)--San Mateo (North), Burlingame & Millbrae Cities PUMA",06,
22,06,08101,"San Mateo County (North Central)--Daly City, Pacifica Cities & Colma Town PUMA",06,
22,06,08102,"San Mateo County (North Central)--South San Francisco, San Bruno & Brisbane Cities PUMA",06,
34,06,02905,"Kern County (East)--Ridgecrest, Arvin, Tehachapi & California City Cities PUMA",06,
34,06,02904,Kern County (Central)--Bakersfield City (Southeast) PUMA,06,
34,06,02902,Kern County (Central)--Bakersfield City (West) PUMA,06,
34,06,02903,Kern County (Central)--Bakersfield City (Northeast) PUMA,06,
7,06,06708,"Sacramento County--Sacramento City (Southeast/Fruitridge, Avondale & Depot Park) PUMA",06,
7,06,06707,Sacramento County (West)--Sacramento City (Central/Downtown & Midtown) PUMA,06,
7,06,06706,"Sacramento County (North)--Sacramento City (North), Antelope & Rio Linda PUMA",06,
7,06,06705,Sacramento County (Northwest)--Sacramento City (Northwest/Natomas) PUMA,06,
48,06,03715,Los Angeles County (East Central)--West Covina City PUMA,06,
48,06,03738,Los Angeles County (Central)--El Monte & South El Monte Cities PUMA,06,
48,06,03710,"Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities PUMA",06,
36,06,03701,Los Angeles County (North/Unincorporated)--Castaic PUMA,06,
36,06,03704,Los Angeles County (North Central)--Palmdale City PUMA,06,
36,06,03703,Los Angeles County (North Central)--Lancaster City PUMA,06,
57,06,03755,Los Angeles County (Southeast)--Norwalk City PUMA,06,
57,06,03754,Los Angeles County (Southeast)--La Mirada & Santa Fe Springs Cities PUMA,06,
57,06,03739,Los Angeles County (Southeast)--Whittier City & Hacienda Heights PUMA,06,
57,06,03716,Los Angeles County (East Central)--La Puente & Industry Cities PUMA,06,
39,06,03721,Los Angeles County (North)--LA City (Northeast/North Hollywood & Valley Village) PUMA,06,
39,06,03708,"Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga) PUMA",06,
39,06,03707,Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities PUMA,06,
39,06,03706,Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar) PUMA,06,
11,06,09502,Solano County (Central)--Fairfield & Suisun City Cities PUMA,06,
11,06,01309,Contra Costa County (East)--Brentwood & Oakley Cities PUMA,06,
11,06,01308,Contra Costa County (Northeast)--Antioch City PUMA,06,
76,06,07304,San Diego County (Northwest)--Carlsbad City PUMA,06,
76,06,07303,San Diego County (Northwest)--Vista City PUMA,06,
76,06,07301,San Diego County (Northwest)--Oceanside City & Camp Pendleton PUMA,06,
18,06,00105,"Alameda County (West)--San Leandro, Alameda & Oakland (Southwest) Cities PUMA",06,
18,06,00104,Alameda County (North Central)--Oakland City (South Central) PUMA,06,
18,06,00103,Alameda County (Northeast)--Oakland (East) & Piedmont Cities PUMA,06,
18,06,00102,Alameda County (Northwest)--Oakland (Northwest) & Emeryville Cities PUMA,06,
21,54,01300,"Logan, Mingo, Wyoming & McDowell Counties PUMA",54,
40,54,01000,Kanawha & Clay Counties--Charleston City PUMA,54,
28,54,01200,"Raleigh, Mercer & Fayette Counties PUMA",54,
83,26,01600,"Tuscola, Sanilac & Huron Counties PUMA",26,
64,22,01502,Capital Region Planning Commission 4--East Baton Rouge Parish (North) PUMA,22,
50,22,01300,"Acadiana Regional Development District 5--Iberia, St. Mary & St. Martin Parishes PUMA",22,
51,22,02100,South Central Planning & Development Commission 3--Terrebonne Parish PUMA,22,
7,22,00101,Coordinating & Development Corporation 2--Shreveport City (South) PUMA,22,
39,22,01200,Acadiana Regional Development District 3--Lafayette Parish (North) PUMA,22,
67,49,49001,"Utah County (West)--Saratoga Springs, Payson & Lehi (Southwest) Cities PUMA",49,
53,49,05001,"Cache, Summit, Morgan & Rich Counties PUMA",49,
73,49,21001,Southwest & South Central Utah (Outside Washington County)--Cedar City PUMA,49,
46,49,35008,"Salt Lake County (Southeast)--Sandy (North), Cottonwood Heights & Midvale Cities PUMA",49,
27,72,00403,"Juana Díaz, Coamo, Villalba & Santa Isabel Municipios--Carr 52-Carr 150 PUMA",72,
7,48,01600,East Texas COG (Central)--Gregg County--Longview City PUMA,48,
55,48,03502,"Central Texas COG--Bell County (North, East & South)--Temple & Belton Cities PUMA",48,
81,48,03100,Permian Basin Regional Planning Commission (Central)--Ector County--Odessa City PUMA,48,
93,48,02509,Fort Worth (Northeast) & Hurst (South) Cities--North of I-30 PUMA,48,
93,48,02511,Fort Worth City (North)--East of I-35W & West of US-377 PUMA,48,
106,48,02004,"Denton County (East Central)--Frisco (West), The Colony & Little Elm Cities PUMA",48,
73,48,05800,Alamo Area COG (Northeast)--Comal County PUMA,48,
73,48,06000,Alamo Area COG (Northwest) & Blanco County PUMA,48,
107,48,02302,Dallas County (Northeast)--Garland City (South) PUMA,48,
85,48,05000,Houston-Galveston Area Council (West) PUMA,48,
85,48,04905,Fort Bend County (West & South) PUMA,48,
85,48,04903,"Fort Bend County (Central)--Rosenberg City, Pecan Grove & New Territory PUMA",48,
130,48,04631,Harris County (Northwest)--North of US-290 & North of FM-1960 PUMA,48,
130,48,04630,Harris County (Far North)--Tomball City & The Woodlands (Southwest) PUMA,48,
69,48,00600,North Texas Regional Planning Commission (Outside Wichita County) & Wise County PUMA,48,
69,48,00700,North Texas Regional Planning Commission--Wichita County--Wichita Falls City PUMA,48,
47,48,05308,"Austin City (Southwest), Lost Creek & Barton Creek PUMA",48,
47,48,05309,"Travis County (West, South & Outside Austin City) PUMA",48,
35,48,06702,Cameron County (West)--Harlingen & San Benito Cities PUMA,48,
35,48,06807,Hidalgo County (North & West) PUMA,48,
1,48,01100,Ark-Tex COG (East)--Bowie & Cass Counties PUMA,48,
1,48,01000,Ark-Tex COG (West) PUMA,48,
113,48,02303,Dallas County (East)--Mesquite City (Central & Southeast) PUMA,48,
113,48,02301,Dallas County (Northeast)--Rowlett & Garland (Northeast) Cities PUMA,48,
74,48,06200,Middle Rio Grande Development Council PUMA,48,
74,48,03200,Rio Grande COG & Permian Basin Regional Planning Commission (West) PUMA,48,
100,48,02314,Dallas City (East Central)--South of I-30 & East of I-35E PUMA,48,
100,48,02306,Dallas (Northeast) & Mesquite (North) Cities--North of I-30 & West of I-635 PUMA,48,
52,48,05202,Capital Area COG--Williamson County (Southeast)--Round Rock City PUMA,48,
14,48,03602,Brazos Valley COG--Brazos County--College Station & Bryan Cities PUMA,48,
57,48,03900,Deep East Texas COG (West) & Walker County PUMA,48,
119,48,05903,San Antonio City (Southeast)--Inside Loop I-410 PUMA,48,
119,48,05916,"Bexar County (Northeast)--San Antonio (Northeast), Universal City & Converse Cities PUMA",48,
109,48,02317,Dallas County (South)--DeSoto & Lancaster Cities PUMA,48,
109,48,02318,Dallas County (Southwest)--Cedar Hill & Duncanville Cities PUMA,48,
109,48,02304,Dallas County (Southeast)--Dallas City (Southeast) PUMA,48,
11,48,04000,Deep East Texas COG (Central)--Angelina & Nacogdoches Counties PUMA,48,
11,48,01700,"East Texas COG (Southeast)--Rusk, Cherokee & Panola Counties PUMA",48,
29,48,04802,Houston-Galveston Area Council--Brazoria County (Central)--Alvin City PUMA,48,
29,48,04801,Houston-Galveston Area Council--Brazoria County (North)--Pearland City PUMA,48,
15,48,04503,Houston-Galveston Area Council--Montgomery County (South)--The Woodlands (North) PUMA,48,
128,48,04623,Harris County (East)--Baytown City PUMA,48,
16,48,04501,Houston-Galveston Area Council--Montgomery County (Northeast)--Conroe City (East) PUMA,48,
99,39,01200,Geauga & Lake (South) Counties PUMA,39,
99,39,01300,Ashtabula County PUMA,39,
61,39,01000,"Lake County (West)--Eastlake, Wickliffe, Willoughby & Willowick Cities PUMA",39,
61,39,01100,"Lake County (East)--Mentor, Painesville Cities & Madison Village PUMA",39,
18,39,04107,"Columbus (East), Whitehall & Bexley Cities PUMA",39,
18,39,04105,Columbus City (Central) PUMA,39,
29,39,05501,Hamilton County (West)--Mack & Dent PUMA,39,
29,39,05502,"Hamilton County (Central)--Forest Park City, White Oak, Bridgetown & Finneytown PUMA",39,
6,51,51020,Mount Rogers Planning District Commission PUMA,51,
12,51,51040,New River Valley Planning District Commission PUMA,51,
23,51,51095,"Virginia's Region 2000 (North)--Bedford, Amherst, Appomattox Counties & Bedford City PUMA",51,
66,51,04103,Chesterfield County (West)--Brandermill & Woodlake PUMA,51,
26,51,51110,Central Shenandoah Planning District Commission (Northeast) PUMA,51,
75,51,51135,Crater Planning District Commission PUMA,51,
87,51,10702,Loudoun County (East Central)--Ashburn (Southwest/Belmont Ridge) & Dulles Airport PUMA,51,
87,51,10701,Loudoun County (Northeast)--Sterling & Ashburn (Northeast/Ashburn Village) PUMA,51,
19,51,51045,Roanoke Valley-Alleghany Regional Commission (Outside Roanoke & Salem Cities) PUMA,51,
62,51,04102,Chesterfield County (Central)--Chester & Rockwood PUMA,51,
74,51,51224,"Henrico County (South & East)--Highland Springs, East Highland Park & Glen Allen PUMA",51,
74,51,51215,"Hanover, Powhatan, Goochland, New Kent, King William & Charles City Counties PUMA",51,
96,51,51206,"James City, York Counties, Williamsburg & Poquoson Cities PUMA",51,
59,51,51096,Virginia's Region 2000 (South)--Campbell County & Lynchburg City PUMA,51,
58,51,51089,Thomas Jefferson Planning District Commission (South & East) PUMA,51,
58,51,51090,Thomas Jefferson Planning District Commission (North) PUMA,51,
61,51,51105,Southside Planning District Commission & Commonwealth Regional Council PUMA,51,
18,51,51087,Rappahannock-Rapidan Regional Commission PUMA,51,
29,51,51084,Northern Shenandoah Valley Regional Commission (North) PUMA,51,
16,51,51097,West Piedmont Planning District Commission PUMA,51,
1,53,11704,"Snohomish County (South Central)--Bothell (North), Mill Creek Cities & Silver Firs PUMA",53,
23,53,11801,Kitsap County (North)--Bainbridge Island City & Silverdale PUMA,53,
