,Assembly District Number,child,poverty_base,poverty_reform,deep_poverty_base,deep_poverty_reform,pct_change,pct_change_deep
0,1,0,0.16882338942582578,0.162562960411398,0.06950363018908001,0.06881695536135982,0.03708271132169371,0.009879697302891129
1,1,1,0.12625688064642301,0.09439722198372495,0.02099491523806798,0.01569312078456064,0.2523399794100701,0.25252754742701355
2,10,0,0.1267758937606524,0.12359076394079388,0.06085849167348965,0.05862808352811637,0.02512409674564721,0.03664908682488527
3,10,1,0.12227992825122305,0.11153182501712704,0.05634155146780828,0.038614714184596756,0.08789752650176676,0.3146316851664985
4,11,0,0.13874810589728112,0.13288408707328792,0.042159338696364554,0.04034346395969103,0.042263775682346925,0.043071708257845794
5,11,1,0.18886881746114687,0.1657510114506666,0.035829986713046595,0.032246988041741934,0.122401391194372,0.10000000000000006
6,12,0,0.17322554222016454,0.1432667016021124,0.04549409065239401,0.04138832783015268,0.17294701597744358,0.09024826660702305
7,12,1,0.20416828590756653,0.1388876894511853,0.0361918332685637,0.018704031550009357,0.3197391610856538,0.4831974547623782
8,13,0,0.16086908865045244,0.1488557892557454,0.04017586379081465,0.03675601943757688,0.07467748773544902,0.08512186249545292
9,13,1,0.19757988751236988,0.1609211960266062,0.05566759780035325,0.03142263030652253,0.1855385785836556,0.43553105310531054
10,14,0,0.11812393182957705,0.11569304371717874,0.04012129603901839,0.03833926567309678,0.020579133074451514,0.04441607180856203
11,14,1,0.11487560299846701,0.10744975598779236,0.038833804480823596,0.028820162299762316,0.06464250734573947,0.2578589019266986
12,15,0,0.25608726834918144,0.25404536185681187,0.1318917789559044,0.12705796225008834,0.007973479140655212,0.03664987116014381
13,15,1,0.22963483146067415,0.21796797845976112,0.0574154042521475,0.0313332681163471,0.05080611215076498,0.4542707044481856
14,16,0,0.1007672593261694,0.09761644516541106,0.03977134549652716,0.03934375409218336,0.03126823317243946,0.010751243112485013
15,16,1,0.062415134918392824,0.0587243582149399,0.027266182461064586,0.026227297166759315,0.05913272010512485,0.03810160427807496
16,17,0,0.18782806844668473,0.18608231793977753,0.06898201663792614,0.06824297436091793,0.00929440696134686,0.01071354989355124
17,17,1,0.30659961315280465,0.28075822050290133,0.08832495164410058,0.08233655705996132,0.08428383970929655,0.06779957953749118
18,18,0,0.23411272990928622,0.2226529947284086,0.07377624310486752,0.07027983526206173,0.04894964569127883,0.047392055974386
19,18,1,0.32863687111087014,0.2686750233368967,0.09876377978101436,0.08256348398267224,0.18245623983483125,0.1640307391460968
20,19,0,0.147675625435675,0.14463016032840215,0.06640848888544652,0.06640848888544652,0.02062266605127335,0.0
21,19,1,0.08135529411764705,0.05985882352941176,0.01052235294117647,0.01052235294117647,0.2642295233688107,0.0
22,2,0,0.18989721415556865,0.17879597252973256,0.08054593259304477,0.07707780747198065,0.05845921265986381,0.04305773127721655
23,2,1,0.23278782792490366,0.1632568693273654,0.07810363048613701,0.05996674126569688,0.29868811963814806,0.2322156999303552
24,20,0,0.1451726384364821,0.1336069489685125,0.038727470141150924,0.03852768729641694,0.07966852151020164,0.005158685656611016
25,20,1,0.14635698848328743,0.12190247801758593,0.019081031471119402,0.018148444207596884,0.16708809547891165,0.048875096974398916
26,21,0,0.16473177024053418,0.15742290542440512,0.05752467160321902,0.0532710238659543,0.04436827702061943,0.07394475481067658
27,21,1,0.20162592664039464,0.17715435279852287,0.05780031416209662,0.04050486400088186,0.12137116614728564,0.29922761514255747
28,22,0,0.12252041198242282,0.1199642357116123,0.04786038065401516,0.04544282565602517,0.020863268654183417,0.05051265712796154
29,22,1,0.14027582389705034,0.12877931782016097,0.044037268513180045,0.03930951776942414,0.08195643238799838,0.10735794710657234
30,23,0,0.14122600668815916,0.1323056785910456,0.05071547943215759,0.0499758752122397,0.06316349450289635,0.014583401915923135
31,23,1,0.13830244507087308,0.10496011515624062,0.03180291489234091,0.02959375437333813,0.2410827219833039,0.06946408926606949
32,24,0,0.12257195008065201,0.12081670770014433,0.048261736989557685,0.047030732659818324,0.014320098353275282,0.02550683847134868
33,24,1,0.12733740833138626,0.12022249187889568,0.023764122430829294,0.019867499755047896,0.05587451908848763,0.16397082143989858
34,25,0,0.11324647947083756,0.10847986386840612,0.04150160115408149,0.040741220450109646,0.04209062943681976,0.018321719712663765
35,25,1,0.1341328730253524,0.11539877451180902,0.01965853219565271,0.017564239960077555,0.1396682117589657,0.1065334997919268
36,26,0,0.13566349439161188,0.1317396823702308,0.05886022630816458,0.05772320270785383,0.02892312363747945,0.01931735012974336
37,26,1,0.1643702498334122,0.12916952360718115,0.043664714289853114,0.036948690957903985,0.21415509352761022,0.15380893797603093
38,27,0,0.20792848653096507,0.1965311312991946,0.0784038300100571,0.07361839535212321,0.05481382287690122,0.061035725644015736
39,27,1,0.2301614096587195,0.19463260805539792,0.055354821098907415,0.045161661075633394,0.1543647202022409,0.18414222683623147
40,28,0,0.12891091146011932,0.12814621768054318,0.04954392702832453,0.04954392702832453,0.005931955417231745,0.0
41,28,1,0.11899482631189948,0.1172279194382853,0.031469419807834444,0.031469419807834444,0.014848602484471958,0.0
42,29,0,0.1301540213352511,0.12891545806864038,0.0417066203204283,0.03886991090335211,0.009516135221211771,0.06801580649024072
43,29,1,0.11222185320491532,0.10971438060445035,0.03551976087678512,0.02489206243772833,0.022343888724474733,0.29920523609163163
44,3,0,0.17829247096896017,0.17119628436074333,0.06339413046676048,0.06032801867000229,0.03980082035798502,0.0483658624888917
45,3,1,0.15427979897625227,0.11565110440279265,0.07473824150793214,0.07051708151453696,0.2503807681225044,0.056479252230562216
46,30,0,0.1541125619662287,0.1437915848387404,0.04649700883968379,0.04282144201593774,0.06697038188067989,0.07904953276497786
47,30,1,0.22907565829389637,0.196792966063989,0.03897686364923351,0.02878139788860575,0.14092589527120233,0.26157737709171097
48,31,0,0.23487168749050724,0.21450964316101623,0.07626568792404029,0.06815537588347104,0.08669433317846785,0.10634286874389731
49,31,1,0.29670647763678853,0.2339923430797435,0.08119737093870048,0.045791065181945895,0.21136759485856646,0.4360523665659617
50,32,0,0.17202905198651286,0.15735289170003028,0.07094858789653738,0.0610925430991685,0.0853121034907127,0.13891812493494182
51,32,1,0.21847356549609498,0.16725214016836115,0.0825855410563293,0.04688104004113327,0.23445136353875895,0.4323335605544194
52,33,0,0.22361579352142516,0.21088501182627706,0.08437770565387945,0.08010912098595842,0.056931496182215484,0.05058901086302259
53,33,1,0.2688029709705293,0.20117784763970853,0.08251061717500413,0.06057764785909952,0.25157877938125534,0.26581996434937605
54,34,0,0.17895514148677616,0.15975136755016742,0.05978147874651391,0.05845300144103582,0.1073105459673412,0.022222222222222254
55,34,1,0.22986467552524276,0.18089384733107153,0.05546102214876957,0.052029867121358764,0.21304199125973777,0.06186606186606191
56,35,0,0.18287374431300066,0.16908730266020072,0.06761722408067858,0.06586227322667623,0.07538775839359158,0.025954198473282463
57,35,1,0.19373010796606122,0.14709894191718748,0.048334270940098484,0.03362283547698496,0.2407016985560286,0.3043686224489796
58,36,0,0.2529889490352157,0.23975499950961937,0.08186350966998965,0.07778544107364885,0.05231038579378487,0.0498154625031399
59,36,1,0.3421672457570493,0.299687625283977,0.12318755846585594,0.10419033141788053,0.12414870505528841,0.15421384500644109
60,37,0,0.17952945451242222,0.17070899759276922,0.04474269882363628,0.038965344960712175,0.049130973764768396,0.12912394680743075
61,37,1,0.22536357164649648,0.19858058142406765,0.08025453647339136,0.04288765236593976,0.11884347601856621,0.46560463432295446
62,38,0,0.13955562661191587,0.13459523819541153,0.04275442501146485,0.04123138802522688,0.035544166415435674,0.03562290887620546
63,38,1,0.1463551966600747,0.12355800922874094,0.033289386947923535,0.03186112942210503,0.15576616308529603,0.042904290429042924
64,39,0,0.23270416654383488,0.22345024240296513,0.06881751840466957,0.06671642471036263,0.039766903525238685,0.03053137839048226
65,39,1,0.27903248806345177,0.24300402720205344,0.07020804752000079,0.05886402415337788,0.12911923307369672,0.16157725171592666
66,4,0,0.20671315421547623,0.2019621689290146,0.11614210826745656,0.1122729966569566,0.022983468587147705,0.033313598902389684
67,4,1,0.1430104236470757,0.13277657913798646,0.04491348489132835,0.02601069866712116,0.07156013001083435,0.4208710651142734
68,40,0,0.18402874483146997,0.16936557537101707,0.06523595429963548,0.05826092545380535,0.07967869081474828,0.10692000938306354
69,40,1,0.2628929666407358,0.21334980704403667,0.0967372900745893,0.06873960859683644,0.1884537278793153,0.28941974140649634
70,41,0,0.16488656534560683,0.16109967555401733,0.05448587556899487,0.052129948408433574,0.022966636388186492,0.043239227340267465
71,41,1,0.18103511258529742,0.16506421964726684,0.060289024942647984,0.0420386632961702,0.08821986359417242,0.30271449345613183
72,42,0,0.13586682068040795,0.12980978529013984,0.04370526877913152,0.041923275616877274,0.04458068099286538,0.040772959691878545
73,42,1,0.12471129596035574,0.1106322729082784,0.039166408565992655,0.02844121941507013,0.11289292556588375,0.2738364211477632
74,43,0,0.2369332923455272,0.23299846295727022,0.06874146941284967,0.06335075315093759,0.016607330060305323,0.07842014882655979
75,43,1,0.26896968450284126,0.2514720629451544,0.07824432387956082,0.044624720372322645,0.0650542517088093,0.4296746631613539
76,44,0,0.18750152912680743,0.1801082010128936,0.06354592273628068,0.06316058278080884,0.039430761702821705,0.006063960343624601
77,44,1,0.2559409325456361,0.24146429045761536,0.052048029199234604,0.050109939840525745,0.056562433933616506,0.03723655609110669
78,45,0,0.20543185339309683,0.1992778002063428,0.06364881697945889,0.06097636719356542,0.02995666487503353,0.041987422747479144
79,45,1,0.19057442969635088,0.16778326363343918,0.05869477040994727,0.04445641075849336,0.11959194158012537,0.24258310496842614
