,Assembly District Number,poverty_base,poverty_reform,deep_poverty_base,deep_poverty_reform,pct_change,pct_change_deep
0,1,0.15689818991879786,0.14846658096660093,0.06692749295369801,0.061633783924051645,0.053739364084191735,0.07909618000047723
1,10,0.15188505861315318,0.14600600323578666,0.06038183701853481,0.05697751979790525,0.03870726608033449,0.05637982195845699
2,11,0.16874688224796994,0.1594154825637307,0.04316768748939322,0.04003836442085667,0.05529820497973377,0.07249225637360021
3,12,0.18065798240172767,0.14370390791922255,0.044773933420635466,0.036652537505456384,0.20455268010427932,0.18138669745365912
4,13,0.171148372433169,0.15223418863675822,0.04451365907468691,0.035262632693039545,0.11051337227174914,0.2078244425183201
5,14,0.13324703944835103,0.12831377404430017,0.04725478812580345,0.04051616381225452,0.03702345226186501,0.14260193687905473
6,15,0.24140906196806092,0.23669746228511285,0.10181005470445302,0.0937148351719747,0.01951707878957513,0.07951296712272814
7,16,0.09194988179931103,0.08755996641049589,0.03344261931618199,0.03306293597762917,0.04774247995659777,0.011353277533769753
8,17,0.20359577890396946,0.1986511720587601,0.07154991957567179,0.07011399095714195,0.02428639175049695,0.020068906115417662
9,18,0.24412534336635724,0.2213264681759598,0.07345436319373022,0.06761876244906462,0.09339003839590439,0.0794452567681331
10,19,0.1383027400904496,0.13264964086193137,0.05851024208566108,0.05851024208566108,0.04087481726552284,0.0
11,2,0.163657600389051,0.15006252605252188,0.06075665207725441,0.05761298110323746,0.08307022896712751,0.05174200464534572
12,20,0.1454412969604169,0.1309519012504869,0.034270862715074346,0.03390485016991041,0.09962366956802807,0.010679992161473653
13,21,0.17536507916336389,0.16310972946097113,0.05760411487464279,0.04959167366934542,0.06988477843400114,0.1390949452610099
14,22,0.12512440658302407,0.12089312771245152,0.04796419418485315,0.045477032556208496,0.03381657492828915,0.05185454839623022
15,23,0.1415347306426468,0.12847623996766558,0.0460488480859172,0.044004850164559156,0.09226350744929085,0.044387601564851
16,24,0.12361904414918547,0.12068614316067694,0.04287897933058315,0.04106226990969447,0.023725316828765112,0.04236829908852149
17,25,0.13134113728605326,0.1229326889921356,0.041070365839018574,0.039734515760732135,0.06401991384926538,0.032525886998973984
18,26,0.18372244264975784,0.1626802112352384,0.06393180190912132,0.05879161937636204,0.11453272181142088,0.080401027020418
19,27,0.2129168056757615,0.19610516662556832,0.07323240870124408,0.06723366260357184,0.0789587228534446,0.08191381662925316
20,28,0.12664061425866974,0.12564646283037026,0.0454057512717735,0.0454057512717735,0.007850178508048566,0.0
21,29,0.1260078632531138,0.12447591110838081,0.04027613533395789,0.03563804463010459,0.01215759163898953,0.11515729265967585
22,3,0.1623669760075781,0.15000320688345198,0.05968750154177089,0.05522746671008293,0.0761470677605591,0.07472309472640107
23,30,0.18153289907170322,0.16529187552649358,0.04605411311375597,0.04060985679374797,0.08946600659307846,0.1182143342237514
24,31,0.2637702833793874,0.22859221588570758,0.08109860955964489,0.06441626491857252,0.1333663028411822,0.2057044471126616
25,32,0.18668789927317567,0.15993853284341367,0.07421601492065656,0.05769981473105021,0.1432838793189286,0.22254226675015656
26,33,0.23640241734802703,0.2081381738097509,0.08384937528721181,0.07458229648062567,0.11955987529800118,0.11052054681198681
27,34,0.2044649002948519,0.17592928250745934,0.06182643804514214,0.05987885974941257,0.13956242732245147,0.03150073588757537
28,35,0.1757425557803274,0.15812823938948317,0.07098975090136829,0.06727728303088663,0.10022795169123164,0.05229582895198045
29,36,0.29933302132246764,0.2776667502145999,0.10941599994676592,0.09982721104429741,0.07238182747812154,0.08763607614182323
30,37,0.20324939214006932,0.1880227164297498,0.05734576452397239,0.046297946209425705,0.07491621770669826,0.19265273392472318
31,38,0.1411502130441644,0.13200686636671938,0.040534752124805555,0.039033942138299964,0.06477742031168,0.037025266168758904
32,39,0.2506737149511118,0.23546014084246714,0.07291832245901336,0.06840286120917509,0.06069074338971566,0.06192491952041776
33,4,0.1805606085490413,0.17397866585726374,0.09146530343254757,0.08429086116175655,0.03645281628517477,0.0784389489953632
34,40,0.2066134474888338,0.18196153804151968,0.07425713380873858,0.06126175317513186,0.1193141576549436,0.17500514721021215
35,41,0.1709496952606204,0.1637254010127657,0.05871728979047273,0.05366483216592377,0.04225976675092017,0.08604718716715622
36,42,0.14229971258351257,0.13236385785256105,0.04807088337742924,0.04227814048511842,0.06982343499197428,0.12050419058932231
37,43,0.24207742662678286,0.23596479819655786,0.07026735782100589,0.060343884378219144,0.02525071633237825,0.1412245137787179
38,44,0.2207309216837474,0.21011958848732237,0.06114175919700452,0.06023310049540185,0.04807361431502751,0.014861507315726512
39,45,0.2101489133473798,0.19834768132653305,0.06482637131302868,0.05856941584084235,0.05615652173913039,0.09651867512332628
40,46,0.3485148263301141,0.3136379371123511,0.0894851673182397,0.07680728152718981,0.10007289958082737,0.1416758349008056
41,47,0.23139725797559982,0.2151704177752211,0.06086263512379857,0.045226025263056975,0.07012546450351534,0.25691641232647433
42,48,0.27843553503922797,0.2616377918352615,0.07487034820767083,0.06528656370509679,0.06032902086869013,0.1280050745321915
43,49,0.30616071756454044,0.2793254930042966,0.09318653372994014,0.09028313319378649,0.08765077627761576,0.031156868057437025
44,5,0.15746335343445045,0.13286266340787908,0.05492694358470579,0.05135253493037596,0.15623120865905,0.06507568819695092
45,50,0.1378509114720855,0.13487577039255289,0.05467370128023684,0.05317719394312622,0.02158230981399841,0.027371611982881572
46,51,0.3224621904280549,0.30565685626530853,0.08363205163096303,0.07796353174448895,0.05211567328386006,0.06777927571939935
