Senate District Number,STATEFIP,PUMA,PUMA Description
27,41,00400,Deschutes County PUMA
42,19,02300,"Des Moines, Lee, Henry & Louisa Counties PUMA"
40,20,00100,Northwest Kansas PUMA
16,42,02803,Allentown City PUMA
28,40,01102,"Pottawatomie (North), Logan & Lincoln Counties--Shawnee City PUMA"
21,17,03203,DuPage County (South Central)--Lisle Township PUMA
22,17,03417,Cook County (Northwest)--Hanover & Schaumburg (Northwest) Townships PUMA
9,39,05503,Cincinnati City (West) PUMA
9,39,05504,Cincinnati City (Central) PUMA
D,02,00200,Matanuska-Susitna & Kenai Peninsula Boroughs PUMA
30,06,03751,Los Angeles County (South Central)--LA City (South Central/Watts) PUMA
30,06,03750,Los Angeles County (South Central)--LA City (South Central/Westmont) PUMA
30,06,03745,Los Angeles County (Central)--LA City (Southeast/East Vernon) PUMA
30,06,03747,Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills) PUMA
30,06,03746,Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park) PUMA
30,06,03729,Los Angeles County (West Central)--LA City (West Central/Westwood & West Los Angeles) PUMA
33,06,03766,Los Angeles County (South)--Long Beach City (Southwest & Port) PUMA
33,06,03769,Los Angeles County (Southeast)--Long Beach (Central) & Signal Hill Cities PUMA
33,06,03763,Los Angeles County (South Central)--Long Beach City (North) PUMA
33,06,03756,Los Angeles County (Southeast)--Bellflower & Paramount Cities PUMA
33,06,03752,Los Angeles County (South)--South Gate & Lynwood Cities PUMA
33,06,03742,"Los Angeles County (Central)--Huntington Park City, Florence-Graham & Walnut Park PUMA"
39,13,01003,Atlanta Regional Commission (Central)--Fulton County (Central)--Atlanta City (South) PUMA
39,13,01006,Atlanta Regional Commission (Central)--Fulton County (Central)--Atlanta City (North) PUMA
29,21,01100,Big Sandy Area Development District PUMA
8,22,02302,Regional Planning Commission 5--Jefferson Parish (West Bank) PUMA
09,27,00700,"Crow Wing, Morrison, Todd & Wadena Counties PUMA"
25,22,00900,Imperial Calcasieu Regional Planning & Development District 2 (South) PUMA
35,22,00400,North Delta Regional Planning & Development District 1--Ouachita Parish PUMA
50,37,02400,"Jackson (South), Macon, Cherokee & Clay Counties PUMA"
50,37,02300,"Haywood, Madison, Swain, Graham & Jackson (North) Counties PUMA"
55,36,00906,Monroe County (South) PUMA
55,36,00902,Monroe County (Central)--Rochester City (East) PUMA
16,49,49003,Utah County (Central)--Provo City PUMA
12,51,51225,"Henrico County (West)--Tuckahoe, Short Pump & Wyndham PUMA"
21,51,51044,"Roanoke Valley-Alleghany Regional Commission (Roanoke, Salem Cities & Vinton Town) PUMA"
23,51,51096,Virginia's Region 2000 (South)--Campbell County & Lynchburg City PUMA
23,51,51045,Roanoke Valley-Alleghany Regional Commission (Outside Roanoke & Salem Cities) PUMA
23,51,51095,"Virginia's Region 2000 (North)--Bedford, Amherst, Appomattox Counties & Bedford City PUMA"
6,01,00100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA"
15,29,01808,St. Louis County (South) PUMA
15,29,01806,St. Louis County (Central West) PUMA
7,08,01001,Mesa County (Central)--Greater Grand Junction & Fruita Cities PUMA
25,29,02300,"Dunklin, Stoddard, New Madrid, Pemiscot & Mississippi Counties PUMA"
31,55,00700,West Central Wisconsin--Northern Mississippi Region PUMA
14,54,00300,Monongalia & Preston Counties--Morgantown City PUMA
5,24,00400,Carroll County PUMA
31,06,06512,"Riverside County (West Central)--Corona City (South), Woodcrest & Home Gardens PUMA"
31,06,06508,Riverside County (Northwest)--Moreno Valley City PUMA
31,06,06510,Riverside County (Northwest)--Riverside City (East) PUMA
31,06,06513,Riverside County (West Central)--Corona (Northwest) & Norco Cities PUMA
31,06,06511,Riverside County (Northwest)--Riverside City (West) PUMA
31,06,06514,Riverside County (Northwest)--Jurupa Valley & Eastvale Cities PUMA
20,13,01500,Middle Georgia Regional Commission (South)--Houston & Pulaski Counties PUMA
20,13,01300,Heart of Georgia Altamaha Regional Commission (North & West) PUMA
49,13,03400,Georgia Mountains Regional Commission (South Central)--Hall County PUMA
21,21,00800,Cumberland Valley Area Development District (North) PUMA
21,21,02200,Bluegrass Area Development District (Southeast) PUMA
17,27,01900,"Kandiyohi, McLeod, Meeker, Renville & Sibley Counties PUMA"
19,27,02200,"Blue Earth, Nicollet & Waseca Counties--Mankato City PUMA"
38,22,00101,Coordinating & Development Corporation 2--Shreveport City (South) PUMA
3,37,00600,"Halifax, Hertford, Northampton & Warren (East) Counties PUMA"
34,37,02900,Iredell (South)--Mooresville Town & Statesville City PUMA
42,36,02902,Orange County (Northwest) PUMA
42,36,02701,Sullivan & Ulster (West) Counties PUMA
42,36,02702,Ulster County (East) PUMA
35,36,03105,Westchester County (Central)--White Plains City PUMA
7,36,03204,Nassau County (West Central)--North Hempstead Town (South) PUMA
7,36,03201,Nassau County (Northwest)--North Hempstead Town (North) PUMA
26,51,51110,Central Shenandoah Planning District Commission (Northeast) PUMA
26,51,51085,Northern Shenandoah Valley Regional Commission (South) PUMA
32,51,01301,Arlington County (North) PUMA
32,51,59307,Fairfax County (Northwest)--Reston (North) & Franklin Farm PUMA
22,48,03801,Heart of Texas COG--McLennan County--Waco City (Central) PUMA
22,48,03802,"Heart of Texas COG--McLennan County--Waco (Outer), Hewitt & Robinson Cities PUMA"
22,48,03700,Heart of Texas COG (Outside McLennan County) & Navarro County PUMA
22,48,02101,Ellis County PUMA
22,48,02102,Johnson County PUMA
22,48,02504,Tarrant County (Southeast)--Arlington (Southeast) & Grand Prairie (Southwest) Cities PUMA
17,26,02500,Lenawee & Hillsdale Counties PUMA
17,26,03300,Monroe County PUMA
1,08,00823,Douglas (Northeast) & Elbert (West) Counties--Parker Town & The Pinery PUMA
1,08,00100,Northeast Colorado--Eastern Plains Region PUMA
24,55,01601,"Central Sands--Wood, Portage, Juneau & Adams Counties PUMA"
IV,72,00202,"Mayagüez, Hormigueros, Las Marías & Maricao Municipios--Carr 2 (Suroeste) PUMA"
IV,72,00101,"San Sebastián, Aguada, Moca, Añasco & Rincón Municipios--Carr 2-Carr 111 PUMA"
IV,72,00102,"Aguadilla, Isabela & Quebradillas Municipios--Carr 2 (Noroeste) PUMA"
1,54,00100,"Ohio, Marshall, Hancock & Brooke Counties PUMA"
11,05,02000,Southwest Arkansas PUMA
36,09,00102,Stamford & Greenwich Towns PUMA
11,19,02100,Southwest Iowa--Council Bluffs City PUMA
20,41,01318,"Clackamas County (Northwest)--Oregon City, Milwaukie & Happy Valley Cities PUMA"
38,17,02400,LaSalle County PUMA
38,17,03700,Kendall & Grundy Counties PUMA
22,39,02200,Richland County PUMA
22,39,01900,Medina County PUMA
9,34,00101,Atlantic County (East)--Atlantic City & Ventnor City PUMA
9,34,01201,Ocean County (South) PUMA
9,34,01202,Ocean County (Central)--Beachwood Borough PUMA
5,45,00102,Greenville County (North)--Greer City (North & West) & Taylors (Central & East) PUMA
37,12,08616,"Miami-Dade County (East)--Coral Gables City, Pinecrest Village & Kendall (South) PUMA"
37,12,08615,Miami-Dade County (East Central)--Miami City (West) PUMA
37,12,08613,Miami-Dade County (Northeast Central)--Miami City (Downtown) PUMA
38,12,08611,Miami-Dade County (Northeast Central)--Miami City (North) PUMA
38,12,08612,Miami-Dade County (Northeast)--Miami Beach City & Miami Shores Village PUMA
38,12,08604,Miami-Dade County (Northeast)--Aventura City & Surfside Town PUMA
38,12,08603,Miami-Dade County (Northeast)--Greater North Miami Beach City (West) PUMA
22,06,03716,Los Angeles County (East Central)--La Puente & Industry Cities PUMA
22,06,03715,Los Angeles County (East Central)--West Covina City PUMA
22,06,03738,Los Angeles County (Central)--El Monte & South El Monte Cities PUMA
22,06,03737,Los Angeles County (Central)--Monterey Park & Rosemead Cities PUMA
22,06,03710,"Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities PUMA"
22,06,03736,Los Angeles County (Central)--Alhambra & South Pasadena Cities PUMA
22,06,03717,"Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities PUMA"
15,13,01800,River Valley Regional Commission (Outside Muscogee & Chattahoochee Counties) PUMA
15,13,01700,River Valley Regional Commission (West Central)--Muscogee & Chattahoochee Counties PUMA
19,13,01200,Heart of Georgia Altamaha Regional Commission (Southeast) PUMA
27,21,02300,Bluegrass Area Development District (Northeast) PUMA
27,21,02700,Buffalo Trace & Gateway Area Development Districts PUMA
02,27,00200,"Beltrami, Becker, Hubbard, Clearwater, Mahnomen & Lake of the Woods Counties PUMA"
21,35,00801,Albuquerque City (Far Northeast Heights) PUMA
2,37,04300,Craven County PUMA
2,37,04400,"Carteret, Beaufort & Pamlico Counties PUMA"
42,37,02800,Catawba County--Hickory City PUMA
Essex-Orleans,50,00200,"Northeast Vermont--Washington, Caledonia, Orleans, Lamoille & Essex Counties PUMA"
2,51,51186,Hampton City PUMA
15,01,01303,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities PUMA"
34,01,02702,Mobile City (West) PUMA
34,01,02703,"Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City PUMA"
35,08,00800,Southeast Colorado PUMA
27,04,00120,Phoenix City--Ahwatukee & South Mountain PUMA
27,04,00119,Phoenix City (South) PUMA
27,04,00118,Phoenix City--Downtown & Sky Harbor International Airport PUMA
8,04,00805,"Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities PUMA"
8,04,00803,Pinal County (North)--Apache Junction City PUMA
22,47,00300,Montgomery & Stewart Counties--Clarksville City PUMA
59,17,00800,South & Southeast Illinois PUMA
3,19,02000,Woodbury & Plymouth Counties--Sioux City PUMA
49,42,00101,"Erie City, Lawrence Park Township & Wesleyville Borough PUMA"
9,41,00600,Linn & Benton Counties PUMA
9,41,01105,Marion County (Outside Salem & Keizer Cities)--Woodburn & Silverton Cities PUMA
9,41,01317,Clackamas County (South & East)--Damascus City PUMA
2,53,11507,"Pierce County (Southeast)--Graham, Elk Plain & Prairie Ridge PUMA"
10,19,01500,Polk (Southwest) & Dallas (East) Counties--West Des Moines & Urbandale Cities PUMA
43,42,01804,"Allegheny County (East)--Monroeville Municipality, Plum & Wilkinsburg Boroughs PUMA"
7,42,03208,Philadelphia City (West) PUMA
14,17,03531,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA"
25,17,03007,"Kane County (East)--St. Charles, Batavia (Central) & Geneva (Central) Townships PUMA"
25,17,03009,Kane County (West) PUMA
25,17,03209,DuPage County (Southwest)--Naperville & Winfield (South) Townships PUMA
49,18,03300,Vanderburgh County--Evansville City PUMA
49,18,03200,"Warrick, Gibson & Posey Counties PUMA"
43,18,03000,"Jefferson, Jennings, Decatur & Scott Counties PUMA"
43,18,03100,"Dearborn, Franklin, Ripley, Switzerland & Ohio Counties PUMA"
45,18,03600,Clark County--Jeffersonville City PUMA
48,18,03400,"Dubois, Knox, Spencer, Perry, Pike & Crawford Counties PUMA"
20,53,11402,Thurston County (Outer) PUMA
19,53,11200,"Cowlitz, Pacific & Wahkiakum Counties PUMA"
12,53,10300,Chelan & Douglas Counties PUMA
5,53,11616,"King County (Northeast)--Snoqualmie City, Cottage Lake, Union Hill & Novelty Hill PUMA"
26,53,11502,Pierce County (Northwest)--Peninsula Region & Tacoma City (West) PUMA
7,53,10400,"Stevens, Okanogan, Pend Oreille & Ferry Counties PUMA"
4,53,10503,Spokane County (East Central)--Greater Spokane Valley City PUMA
39,53,11705,Snohomish County (Central & Southeast)--Lake Stevens & Monroe Cities PUMA
39,53,11706,Snohomish County (North)--Marysville & Arlington Cities PUMA
39,53,10200,"Skagit, Island & San Juan Counties PUMA"
41,53,11609,"King County (Central)--Sammamish, Issaquah, Mercer Island & Newcastle Cities PUMA"
41,53,11608,King County (Northwest Central)--Greater Bellevue City PUMA
11,54,00500,"Randolph, Upshur, Barbour, Lewis, Hardy, Grant, Pendleton & Tucker Counties PUMA"
3,54,00700,"Wood, Pleasants & Wirt Counties PUMA"
10,54,01100,"Greenbrier, Nicholas, Summers, Monroe & Pocahontas Counties PUMA"
6,26,03205,Wayne County (Southwest) PUMA
6,26,03204,"Wayne County (Central)--Westland, Garden City, Inkster & Wayne Cities PUMA"
31,26,01701,Genesee (East) & Lapeer Counties PUMA
36,26,01400,Bay & Midland Counties PUMA
36,26,00300,Northeast Lower Peninsula PUMA
25,26,03100,St. Clair County PUMA
25,26,01600,"Tuscola, Sanilac & Huron Counties PUMA"
1,26,03206,Wayne County (Southeast)--Downriver Area (South) PUMA
1,26,03211,Detroit City (South Central & Southeast) PUMA
8,26,03004,Macomb County (Southeast)--Mount Clemens & Fraser Area PUMA
8,26,03002,Macomb County (Central) PUMA
8,26,03001,Macomb County (North) PUMA
6,36,03206,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA
6,36,03205,Nassau County (West Central)--Hempstead Town (Northwest) PUMA
6,36,03207,Nassau County (Central)--Hempstead Town (Northeast) PUMA
56,36,00903,Monroe County (Central)--Rochester City (West) PUMA
56,36,00904,Monroe County (Central)--Greece & Gates Towns PUMA
50,36,00704,Cayuga & Onondaga (South) Counties PUMA
50,36,00702,Onondaga County (North) PUMA
43,36,01900,Rensselaer County--Troy City PUMA
43,36,01802,Saratoga County (Outer) PUMA
40,36,03102,Westchester County (Northwest) PUMA
40,36,03101,Putnam County PUMA
12,36,04109,NYC-Queens Community District 2--Sunnyside & Woodside PUMA
12,36,04101,NYC-Queens Community District 1--Astoria & Long Island City PUMA
45,36,00300,Warren & Washington Counties PUMA
45,36,00200,"Clinton, Franklin, Essex & Hamilton Counties PUMA"
60,36,01206,Erie County (West Central)--Buffalo City (West) PUMA
60,36,01201,Erie County (Northwest) PUMA
54,36,01400,Ontario & Yates Counties PUMA
54,36,00800,Wayne & Seneca Counties PUMA
54,36,00901,Monroe County (East) PUMA
10,36,04114,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA"
10,36,04111,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA
34,36,03709,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA"
34,36,03704,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA"
34,36,03701,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA"
53,36,01500,Madison & Cortland Counties PUMA
53,36,00703,Onondaga County (Central)--Syracuse City (Outer) PUMA
53,36,00701,Onondaga County (Central)--Syracuse City PUMA
14,36,04105,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA"
14,36,04112,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA"
14,36,04106,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA"
9,36,03212,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA
9,36,03211,Nassau County (West Central)--Hempstead Town (West Central) PUMA
57,36,02500,Cattaraugus & Allegany Counties PUMA
57,36,02600,Chautauqua County PUMA
2,36,03303,Suffolk County (Northwest)--Smithtown Town PUMA
2,36,03308,Suffolk County (Central)--Brookhaven Town (West Central) PUMA
11,36,04103,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA"
61,36,01202,Erie County (North Central) PUMA
61,36,01000,Genesee & Orleans Counties PUMA
41,36,02802,Dutchess County (Southwest) PUMA
41,36,02801,Dutchess County (North & East) PUMA
27,34,01402,Essex County (South Central)--East Orange City PUMA
27,34,01404,Essex County (Southwest) PUMA
27,34,01504,"Morris County (South)--Morristown Town, Madison & Florham Park Boroughs PUMA"
26,34,01403,Essex County (Northwest) PUMA
26,34,01503,Morris County (East)--Lincoln Park Borough PUMA
26,34,01501,Morris County (North)--Dover Town & Kinnelon Borough PUMA
26,34,00503,"Passaic County (North)--Ringwood, Wanaque & Pompton Lakes Boroughs PUMA"
7,34,02001,Burlington County (North)--Burlington City PUMA
1,34,02600,Cape May & Atlantic (South Central) Counties--Ocean City & Somers Point City PUMA
1,34,02400,Cumberland County (South)--Vineland & Millville Cities PUMA
13,34,01105,Monmouth County (Northwest)--Keansburg Borough PUMA
13,34,01104,Monmouth County (Northeast)--Red Bank & Tinton Falls (North) Boroughs PUMA
23,34,00800,Hunterdon County PUMA
23,34,01003,Somerset County (Central)--North Plainfield & Somerville Boroughs PUMA
23,34,01001,Somerset County (North & West) PUMA
39,34,00305,"Bergen County (East)--Tenafly, Park Ridge & Cresskill Boroughs PUMA"
39,34,00306,"Bergen County (Northwest)--Ramsey, Oakland & Franklin Lakes Boroughs PUMA"
11,34,01103,"Monmouth County (East Central)--Long Branch, Asbury Park Cities & Eatontown Borough PUMA"
30,34,01203,Ocean County (North Central) PUMA
30,34,01101,Monmouth County (Southeast)--Tinton Falls Borough (South) PUMA
30,34,01106,Monmouth County (Central) PUMA
24,34,01700,Warren County PUMA
24,34,01502,Morris County (West) PUMA
24,34,01600,Sussex County PUMA
14,30,00400,North Central Montana--Great Falls City PUMA
7,30,00200,West Montana--Missoula City PUMA
2,30,00100,Northwest Montana--Kalispell City PUMA
17,37,01208,Wake County (Southwest)--Apex & Holly Springs Towns PUMA
17,37,01205,Wake County (Southeast)--Garner (South) & Fuquay-Varina Towns PUMA
31,37,01900,"Davie, Yadkin & Iredell (North) Counties PUMA"
21,37,05003,Cumberland County (West)--Fayetteville City (West) PUMA
47,37,02600,"Rutherford, Cleveland (West) & Polk Counties--Shelby City PUMA"
45,37,00200,"Wilkesboro High Country--Surry, Wilkes & Alleghany Counties PUMA"
10,37,03900,Sampson & Duplin Counties PUMA
10,37,01100,Johnston County PUMA
8,37,04800,Brunswick County PUMA
8,37,04600,Pender & New Hanover (North) Counties PUMA
30,37,00300,Rockingham & Stokes Counties PUMA
14,37,01204,"Wake County (East)--Raleigh City (East), Knightdale & Garner (North) Towns PUMA"
7,37,04000,Wayne County PUMA
19,10,00300,Sussex County PUMA
29,28,01000,Central Region--Jackson (West & South) & Clinton (South & East) Cities PUMA
14,39,05100,Scioto & Lawrence Counties PUMA
14,39,05700,Clermont (East) & Brown Counties PUMA
14,39,05600,Clermont County (West) PUMA
16,41,01314,Portland City (Northwest & Southwest) PUMA
16,41,00500,"Columbia, Lincoln, Clatsop & Tillamook Counties PUMA"
16,41,01321,"Washington County (West)--Forest Grove, Cornelius Cities, Bethany & Oak Hills PUMA"
13,41,01322,Washington County (Central)--Hillsboro City PUMA
1,53,11704,"Snohomish County (South Central)--Bothell (North), Mill Creek Cities & Silver Firs PUMA"
24,19,01300,Story & Boone Counties--Ames City PUMA
34,42,01200,Centre County PUMA
19,42,03404,Chester County (South) PUMA
30,45,01000,"Georgetown, Marion & Dillon Counties PUMA"
39,45,01201,Dorchester (North & West) & Berkeley (Southwest) Counties--Summerville Town & Ladson PUMA
20,12,05706,Hillsborough County (Northeast) PUMA
20,12,05705,Hillsborough County (North Central)--Tampa City (North) PUMA
20,12,10104,Pasco County (South) PUMA
20,12,10501,Polk County (Northwest) PUMA
20,12,10101,Pasco County (East Central) PUMA
2,06,04101,Marin County (North & West)--Novato & San Rafael (North) Cities PUMA
2,06,09703,Sonoma County (Central)--Santa Rosa City PUMA
2,06,09701,"Sonoma County (North)--Windsor Town, Healdsburg & Sonoma Cities PUMA"
2,06,03300,Lake & Mendocino Counties PUMA
2,06,02300,Humboldt County PUMA
2,06,04102,"Marin County (Southeast)--San Rafael (South), Mill Valley & Sausalito Cities PUMA"
26,06,03760,"Los Angeles County--Redondo Beach, Manhattan Beach & Hermosa Beach Cities PUMA"
26,06,03748,Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities PUMA
26,06,03728,Los Angeles County (Southwest)--Santa Monica City PUMA
26,06,03730,Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire) PUMA
