Senate District Number,STATEFIP,PUMA,PUMA Description
2,08,00600,"Fremont, Chaffee, Park, Lake, Huerfano, Pueblo (Southwest) & Custer Counties PUMA"
18,05,00400,"Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties PUMA"
22,05,00600,"Crittenden, Mississippi & Craighead (East) Counties PUMA"
5,47,01601,"Anderson, Union & Knox (North) Counties--Oak Ridge (East) & Clinton Cities PUMA"
6,47,01602,Knox County (East) PUMA
19,09,01100,New London County (North) PUMA
49,28,02000,South Region--Harrison County--Gulfport & Biloxi Cities PUMA
35,28,01300,Central Region--Rankin & Simpson Counties PUMA
29,17,03415,Cook County (North)--Wheeling Township (North & East) PUMA
18,42,02802,Lehigh County (South--Outside Allentown & Bethlehem Cities)--Emmaus Borough PUMA
18,42,02901,Northampton (South) & Lehigh (East) Counties--Bethlehem (East) & Easton Cities PUMA
29,41,00100,"Umatilla, Union, Baker & Wallowa Counties PUMA"
2,19,00100,"Sioux, Clay, Dickinson, O'Brien, Lyon, Emmet, Palo Alto & Osceola Counties PUMA"
41,19,02200,"Wapello, Mahaska, Washington, Jefferson, Keokuk, Davis & Van Buren Counties PUMA"
13,42,03504,Lancaster County (Southwest)--Columbia Borough PUMA
13,42,03501,"Lancaster County--Lancaster City, East Lampeter, Lancaster & West Lampeter Townships PUMA"
13,42,03503,Lancaster County (East)--Ephrata Borough PUMA
16,17,03528,"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA"
6,39,04604,Montgomery County (Southeast)--Kettering & Centerville Cities PUMA
6,39,04602,"Montgomery County (Northeast)--Huber Heights, Trotwood, Vandalia & Englewood Cities PUMA"
5,39,04601,Montgomery County (West)--Miamisburg & West Carrollton Cities PUMA
5,39,04603,Montgomery County (East Central)--Dayton & Riverside Cities PUMA
5,39,04500,"Darke, Shelby & Preble Counties PUMA"
5,39,04400,Miami County PUMA
38,31,00500,South Central Nebraska PUMA
39,18,02700,"Greene, Daviess, Owen, Orange & Martin Counties PUMA"
40,06,07322,San Diego County (South)--San Diego City (South/Otay Mesa & South Bay) PUMA
40,06,07320,San Diego County (Southwest)--Sweetwater Region--Chula Vista City (East) PUMA
40,06,07319,"San Diego County (South Central)--Lemon Grove City, La Presa & Spring Valley PUMA"
40,06,07321,San Diego County (Southwest)--Chula Vista (West) & National City Cities PUMA
40,06,07318,San Diego County (South)--San Diego City (Southeast/Encanto & Skyline) PUMA
40,06,02500,Imperial County--El Centro City PUMA
40,06,07317,San Diego County (South Central)--San Diego City (Central/Mid-City) PUMA
12,06,05303,Monterey (South & East) & San Benito Counties PUMA
12,06,01901,"Fresno County (West)--Selma, Kerman & Coalinga Cities PUMA"
12,06,05302,Monterey County (Northeast)--Salinas City PUMA
12,06,04701,Merced County (West & South)--Los Banos & Livingston Cities PUMA
12,06,04702,Merced County (Northeast)--Merced & Atwater Cities PUMA
12,06,09901,"Stanislaus County (Southwest)--Ceres, Patterson & Newman Cities PUMA"
34,06,05917,Orange County (Central)--Santa Ana City (East) PUMA
34,06,05916,Orange County (Central)--Santa Ana City (West) PUMA
34,06,05913,Orange County (Northwest)--Garden Grove City (East) PUMA
34,06,05912,"Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities PUMA"
34,06,03765,Los Angeles County (Southeast)--Long Beach City (East) PUMA
8,13,00600,Southern Georgia Regional Commission (South Central)--Lowndes County--Valdosta City PUMA
21,13,03101,Atlanta Regional Commission--Cherokee County (Central)--Woodstock & Canton Cities PUMA
54,13,02700,Northwest Georgia Regional Commission (North Central)--Whitfield County PUMA
22,27,02100,Southwest Minnesota PUMA
33,35,01100,Central Southeast New Mexico PUMA
13,37,04900,"Columbus, Bladen & Robeson (East) Counties PUMA"
13,37,05100,Robeson County (West)--Lumberton City PUMA
12,49,35001,"Salt Lake County (Northwest)--Salt Lake City (West), West Valley City (West) & Magna PUMA"
19,48,06100,Alamo Area COG (Southwest) PUMA
19,48,05907,Bexar County (South)--San Antonio City (Far South) PUMA
19,48,05906,San Antonio City (Southwest)--Inside Loop I-410 PUMA
19,48,06200,Middle Rio Grande Development Council PUMA
19,48,05903,San Antonio City (Southeast)--Inside Loop I-410 PUMA
19,48,05916,"Bexar County (Northeast)--San Antonio (Northeast), Universal City & Converse Cities PUMA"
19,48,03200,Rio Grande COG & Permian Basin Regional Planning Commission (West) PUMA
8,01,00400,DeKalb & Jackson Counties PUMA
23,55,55103,Eau Claire & Chippewa (South) Counties PUMA
23,55,55101,"Barron, Polk, Clark & Chippewa (North) Counties PUMA"
17,54,01000,Kanawha & Clay Counties--Charleston City PUMA
14,05,01200,Saline County PUMA
16,05,01300,"Pope, Johnson, Yell, Conway & Perry Counties PUMA"
16,05,00300,"Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties PUMA"
4,05,00200,Washington County PUMA
13,17,03529,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA"
9,16,00400,"Ada (North), Payette, Canyon (North), Gem & Washington Counties--Eagle City PUMA"
8,39,05501,Hamilton County (West)--Mack & Dent PUMA
8,39,05502,"Hamilton County (Central)--Forest Park City, White Oak, Bridgetown & Finneytown PUMA"
8,39,05506,"Hamilton County (North Central)--Sharonville, Blue Ash, Springdale & Reading Cities PUMA"
11,39,00300,"Lucas (West) & Wood (North Central) Counties--Perrysburg, Sylvania & Maumee Cities PUMA"
11,39,00400,Toledo City (West) PUMA
11,39,00500,Toledo City (East) PUMA
27,42,01100,"Mifflin, Union, Snyder & Juniata Counties PUMA"
27,42,01000,Northumberland & Montour Counties PUMA
27,42,00802,Luzerne County (South Central)--Wilkes-Barre & Hazleton Cities PUMA
27,42,00803,Columbia & Luzerne (West) Counties--Bloomsburg Town & Berwick Borough PUMA
46,42,04002,Washington (South) & Greene Counties PUMA
46,42,04001,Washington County (North)--Washington City PUMA
3,34,02500,Salem & Cumberland (North) Counties--Bridgeton City PUMA
3,34,02202,Gloucester County (South & West)--Glassboro Borough PUMA
21,34,01902,Union County (Northwest)--Summit City & Westfield Town (North) PUMA
8,12,10700,Putnam & St. Johns (South) Counties PUMA
8,12,08302,Marion County (Central)--Ocala City PUMA
8,12,08301,Marion County (North) PUMA
8,12,00101,Alachua County (Central)--Gainesville City (Central) PUMA
8,12,00102,Alachua County (Outer) PUMA
47,13,03600,Northeast Georgia Regional Commission (Central)--Clarke County--Athens City PUMA
47,13,03800,Northeast Georgia Regional Commission (Northwest)--Barrow & Jackson Counties PUMA
2,13,00402,Coastal Regional Commission (East)--Chatham County (East & Outside Savannah City) PUMA
2,13,00401,Coastal Regional Commission (East)--Chatham County (West Central)--Savannah City PUMA
17,21,02600,Northern Kentucky Area Development District (Southeast) PUMA
17,21,02400,Northern Kentucky Area Development District (North Central)--Kenton County PUMA
15,21,00700,Lake Cumberland Area Development District (East) PUMA
15,21,02100,Bluegrass Area Development District (South) PUMA
12,22,02200,Regional Planning Commission 1--St. Tammany Parish (Northwest) PUMA
12,22,01800,Capital Region Planning Commission 7--Tangipahoa & Washington Parishes PUMA
35,35,00900,Southwest New Mexico PUMA
4,37,01000,Wilson & Greene Counties--Wilson City PUMA
19,37,05002,Cumberland County (East)--Hope Mills & Spring Lake Towns PUMA
19,37,05001,Cumberland County (Central)--Fayetteville City (Central & East) PUMA
49,37,02202,Buncombe County (Northwest) PUMA
18,37,01206,Wake County (Northwest)--Raleigh City (Northwest) & Morrisville Town PUMA
18,37,01203,"Wake County (Northeast)--Raleigh City (Northeast), Wake Forest & Rolesville Towns PUMA"
18,37,00500,"Franklin, Vance & Warren (West) Counties PUMA"
25,51,51089,Thomas Jefferson Planning District Commission (South & East) PUMA
25,51,51090,Thomas Jefferson Planning District Commission (North) PUMA
31,51,01302,Arlington County (South) PUMA
31,51,59308,Fairfax County (Northeast)--McLean & Idylwood PUMA
18,51,51135,Crater Planning District Commission PUMA
18,51,51155,Portsmouth & Norfolk (Southwest) Cities PUMA
31,48,03000,Permian Basin Regional Planning Commission (Central)--Midland County--Midland City PUMA
31,48,03100,Permian Basin Regional Planning Commission (Central)--Ector County--Odessa City PUMA
31,48,00300,Panhandle Regional Planning Commission--Randall County--Amarillo City (South) PUMA
31,48,00200,Panhandle Regional Planning Commission--Potter County--Amarillo City (North) PUMA
31,48,00100,Panhandle Regional Planning Commission (Outside Potter & Randall Counties) PUMA
10,48,02505,Tarrant County (Southeast)--Mansfield (North) & Arlington (Southwest) Cities PUMA
10,48,02506,Tarrant County (South Central)--Fort Worth City (Southeast)--South of I-20 PUMA
10,48,02514,Tarrant County (Southwest)--Fort Worth (Southwest) & Benbrook Cities PUMA
10,48,02513,Fort Worth City (South Central) & Edgecliff Village Town PUMA
10,48,02508,"Fort Worth City (East Central)--South of I-30, East of I-35W & Inside Loop I-820 PUMA"
10,48,02507,Tarrant County (East)--Arlington City (West)--South of I-30 & East of Loop I-820 PUMA
30,01,01800,"Chilton, Tallapoosa, Chambers & Coosa Counties PUMA"
12,55,01300,"Marinette, Oconto, Door & Florence Counties PUMA"
12,55,00600,"Oneida, Lincoln, Vilas, Langlade & Forest Counties PUMA"
II,72,00802,Bayamón Municipio (OEste) PUMA
II,72,00801,Bayamón Municipio (Este) PUMA
II,72,00502,Toa Baja & Dorado Municipios PUMA
19,20,00700,Douglas County--Lawrence City PUMA
30,47,03203,Memphis (North) & Bartlett (Southwest) Cities PUMA
31,47,03202,Memphis City (Central Midtown) PUMA
31,47,03205,"Memphis (East), Lakeland Cities & Arlington Town (South) PUMA"
16,10,00200,Kent County--Dover City PUMA
47,28,01900,"South Region--Pearl River, Hancock, George & Stone Counties PUMA"
2,41,00901,Jackson County (Central)--Medford & Central Point Cities PUMA
12,41,01200,Yamhill & Polk Counties PUMA
14,19,01800,South Central Iowa PUMA
22,53,11401,"Thurston County (Central)--Olympia, Lacey & Tumwater Cities PUMA"
37,19,01100,Johnson County--Iowa City PUMA
37,19,00800,"Clinton, Muscatine, Jones & Cedar Counties PUMA"
15,42,02301,Cumberland (West) & Perry Counties--Carlisle Borough PUMA
15,42,02401,Dauphin County (Central)--Harrisburg City & Colonial Park PUMA
15,42,02402,Dauphin County (Outer)--Hershey PUMA
41,17,03204,DuPage County (Southeast)--Downers Grove Township PUMA
1,33,00100,Northern New Hampshire--Grafton & Coos Counties PUMA
33,23,00800,South Maine--York (West) & Cumberland (West) Counties PUMA
28,16,01300,"Southeast Idaho--Pocatello, Chubbuck Cities & Fort Hall Reservation PUMA"
27,18,01500,"Henry, Randolph, Jay & Blackford Counties PUMA"
18,45,00400,"Cherokee, Newberry, Chester & Union Counties PUMA"
18,45,00602,"Lexington County (North & East)--West Columbia, Cayce Cities, Irmo Town & Seven Oaks PUMA"
36,45,00800,"Sumter, Clarendon, Williamsburg & Lee Counties--Sumter City PUMA"
28,45,01102,"Horry County (Southeast)--Myrtle Beach, North Myrtle Beach Cities & Socastee (East) PUMA"
28,45,01101,Horry County (West & North)--Conway City & Red Hill PUMA
12,45,00302,Spartanburg County (Outside Spartanburg City)--Greer City (East) PUMA
35,45,00605,"Kershaw, Richland (South) & Calhoun Counties PUMA"
45,45,01202,Charleston (South & West) & Berkeley (South) Counties--Charleston City PUMA
3,45,00200,Anderson County--Anderson City PUMA
10,45,01600,"Greenwood, Abbeville & McCormick Counties PUMA"
46,45,01400,"Beaufort & Jasper Counties--Hilton Head Island, Bluffton Towns & Beaufort City PUMA"
34,51,59303,Fairfax County (Central) & Fairfax City--Burke PUMA
34,51,59309,Fairfax County (West Central)--Centreville (North & West) & Chantilly (South & West) PUMA
34,51,59305,"Fairfax County (North Central)--Vienna Town, Oakton & Fair Oaks (East) PUMA"
37,51,59301,"Fairfax County (East Central)--Annandale, West Falls Church & Bailey's Crossroads PUMA"
33,51,10702,Loudoun County (East Central)--Ashburn (Southwest/Belmont Ridge) & Dulles Airport PUMA
33,51,10701,Loudoun County (Northeast)--Sterling & Ashburn (Northeast/Ashburn Village) PUMA
36,51,59302,"Fairfax County (Southeast)--Woodlawn, Rose Hill & Mount Vernon PUMA"
4,51,51125,"Middle Peninsula, Northern Neck & Accomack-Northampton Planning District Commissions PUMA"
4,51,51120,George Washington Regional Commission (South) PUMA
16,27,02000,"Brown, Lyon, Redwood, Chippewa, Yellow Medicine, Lac qui Parle & Lincoln Counties PUMA"
56,13,01005,Atlanta Regional Commission (Central)--Fulton County (Northwest)--Roswell City PUMA
50,13,03500,Georgia Mountains Regional Commission (Southeast) PUMA
35,13,01004,Atlanta Regional Commission (Central)--Fulton County (South)--Union & Fairburn Cities PUMA
35,13,04400,Atlanta Regional Commission (Southwest)--Douglas County PUMA
23,13,00300,"Coastal Regional Commission (North)--Bulloch, Effingham & Screven Counties PUMA"
23,13,04200,Central Savannah River Area Regional Commission (West & Outside Richmond & Columbia) PUMA
22,13,04000,Central Savannah River Area Regional Commission (East Central)--Richmond County PUMA
34,13,05002,Atlanta Regional Commission (South Central)--Clayton County (North)--Forest Park City PUMA
53,13,02600,"Northwest Georgia Regional Commission--Walker, Catoosa, Chattooga & Dade Counties PUMA"
28,05,00800,"White, Jackson, Prairie & Woodruff Counties PUMA"
14,13,02900,Northwest Georgia Regional Commission (East Central)--Bartow County PUMA
14,13,03102,Atlanta Regional Commission--Cherokee County (Outside Woodstock & Canton Cities) PUMA
12,05,01900,South Central Arkansas PUMA
7,12,08900,Nassau & Baker Counties PUMA
7,13,00500,Southern Georgia Regional Commission (East & Central) PUMA
7,13,00700,Southern Georgia Regional Commission (West) PUMA
9,13,04003,Atlanta Regional Commission--Gwinnett County (Central)--Lawrenceville City PUMA
9,13,04004,Atlanta Regional Commission (Northeast)--Gwinnett County (East) PUMA
33,13,03003,Atlanta Regional Commission (Northwest)--Cobb County (Southwest)--Powder Springs City PUMA
33,13,03001,Atlanta Regional Commission (Northwest)--Cobb County (Central)--Marietta City PUMA
55,13,02001,Atlanta Regional Commission (Central)--DeKalb County (East Central)--Redan PUMA
55,13,04005,Atlanta Regional Commission (Northeast)--Gwinnett County (South)--Snellville City PUMA
28,13,02200,"Three Rivers Regional Commission (Southwest)--Troup, Meriwether & Heard Counties PUMA"
28,13,02100,Three Rivers Regional Commission (North Central)--Coweta County PUMA
11,13,00800,"Southwest Georgia Regional Commission (East)--Colquitt, Thomas & Worth Counties PUMA"
3,13,00100,Coastal Regional Commission (South)--Glynn Camden & McIntosh Counties PUMA
24,13,04100,Central Savannah River Area Regional Commission (East Central)--Columbia County PUMA
24,13,03700,Northeast Georgia Regional Commission (East) PUMA
14,47,02700,"Maury, Bedford & Marshall Counties PUMA"
14,47,02402,Rutherford County (South)--Murfreesboro City PUMA
7,47,01604,Knox County (West)--Farragut Town PUMA
7,47,01603,Knoxville City PUMA
19,47,02503,Nashville-Davidson (Central) PUMA
25,47,00400,"Robertson, Dickson, Cheatham & Hickman Counties PUMA"
28,47,02800,"Lawrence, Giles, Wayne, Lewis & Perry Counties PUMA"
12,47,00900,"Campbell, Claiborne, Scott, Morgan & Hancock Counties PUMA"
23,47,02600,Williamson County--Franklin & Brentwood Cities PUMA
19,21,01705,KIPDA Area Development District (West)--Louisville/Jefferson County (South Central) PUMA
19,21,01702,KIPDA Area Development District (West)--Louisville/Jefferson County (North Central) PUMA
3,47,01200,"Greene, Carter, Unicoi & Johnson Counties PUMA"
3,47,01300,Washington County--Johnson City PUMA
10,47,02001,Chattanooga City (South & Central) PUMA
10,47,02002,Hamilton County (South)--Chattanooga (North) & Red Bank Cities PUMA
15,47,00800,"Cumberland, White, Fentress & Van Buren Counties PUMA"
15,47,00700,"Putnam, Overton, Jackson, Clay & Pickett Counties PUMA"
24,47,00200,"Land Between the Lakes--Weakley, Henry, Carroll, Humphreys, Benton & Houston Counties PUMA"
18,21,02800,FIVCO Area Development District PUMA
3,21,00300,Pennyrile Area Development District (South) PUMA
30,21,00900,Cumberland Valley Area Development District (South) PUMA
30,21,01000,Kentucky River Area Development District PUMA
16,21,00600,Lake Cumberland Area Development District (West) PUMA
6,08,00900,"La Plata, Montezuma, Gunnison, Archuleta, Dolores, Hinsdale & San Juan Counties PUMA"
6,08,01002,"Mesa (Outside Grand Junction City), Montrose, Delta, San Miguel & Ouray Counties PUMA"
26,08,00811,Arapahoe County (Southwest)--Centennial (West & Central) & Greenwood Village Cities PUMA
26,08,00820,"Arapahoe (West) & Jefferson (East) Counties--Littleton, Englewood Cities & Columbine PUMA"
4,08,00822,Douglas County (South)--Castle Rock Town PUMA
12,08,04101,El Paso (Outside Colorado Springs City) & Teller Counties--Fountain City PUMA
18,08,00803,Boulder County (Central)--Boulder City PUMA
29,08,00809,Arapahoe (West) & Adams (South Central) Counties--Aurora City (North Central) PUMA
29,08,00810,Arapahoe (Northwest) & Adams (Southwest) Counties--Aurora City (Northwest) PUMA
8,08,00400,"Eagle, Summit, Grand & Jackson Counties PUMA"
8,08,00200,"Northwest Colorado--Garfield, Routt, Moffat & Rio Blanco Counties PUMA"
15,08,00102,Larimer County (South)--Loveland City PUMA
15,08,00103,Larimer County (North)--Fort Collins City PUMA
36,22,00200,Coordinating & Development Corporation 3--Bossier & Webster Parishes PUMA
28,22,01000,Acadiana Regional Development District 1--St. Landry & Evangeline Parishes PUMA
13,22,01700,Capital Region Planning Commission 6--Livingston & St. Helena Parishes PUMA
17,17,03532,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA"
31,17,03307,"Lake County (Northeast)--Waukegan, Zion, Benton & Newport Townships PUMA"
43,17,03102,Will County (West Central)--Joliet & Troy Townships PUMA
40,17,02300,Kankakee County PUMA
40,17,03108,Will County (South) PUMA
40,17,03414,Cook County (South)--Bloom & Rich Townships PUMA
47,17,00300,"Adams, Pike, Brown, Schuyler & Mason Counties PUMA"
47,17,00202,"Henry, Mercer, Henderson, Warren, Hancock, McDonough & Fulton Counties PUMA"
35,17,02901,Winnebago (Northeast) & Boone Counties PUMA
45,17,02601,DeKalb County PUMA
45,17,00104,"Jo Daviess, Carroll, Whiteside & Lee Counties PUMA"
45,17,02700,Stephenson & Ogle Counties PUMA
45,17,02801,Winnebago County (Southeast & West)--Rockford City PUMA
54,17,01001,"Monroe, Randolph, Washington, Jefferson & Marion Counties PUMA"
54,17,01204,Madison County (East) PUMA
54,17,00501,"Montgomery, Bond, Clinton, Fayette & Effingham Counties PUMA"
30,17,03310,"Lake County--Vernon, Moraine, West Deerfield & Libertyville (Southeast) Townships PUMA"
27,17,03419,Cook County (Northwest)--Elk Grove & Wheeling (Southwest) Townships PUMA
53,17,02000,McLean County PUMA
53,17,02200,"Livingston, Ford, Iroquois & Vermilion Counties PUMA"
48,17,01602,"Menard, Logan, De Witt, Piatt, Moultrie, Shelby & Christian Counties PUMA"
48,17,01500,Macon County--Decatur City PUMA
37,17,01701,Peoria County--Peoria City PUMA
37,17,02501,"Knox, Stark, Bureau, Marshall & Woodford Counties PUMA"
58,17,00900,"Jackson, Williamson, Franklin & Perry Counties PUMA"
55,17,00700,"Clark, Jasper, Crawford, Lawrence, Richland, Clay & Wayne Counties PUMA"
55,17,00600,"Douglas, Edgar, Coles & Cumberland Counties PUMA"
28,17,03418,Cook County (Northwest)--Schaumburg Township (South & Central) PUMA
39,17,03521,"Chicago City (West)--Austin, Belmont Cragin & Montclare PUMA"
44,17,01900,Tazewell County PUMA
15,17,03412,Cook County (South Central)--Bremen & Orland (East) Townships PUMA
15,17,03413,Cook County (Southeast)--Thornton Township PUMA
24,17,03202,DuPage County (Central)--Milton Township PUMA
C,02,00300,"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska PUMA"
T,02,00400,Subsistence Alaska PUMA
N,02,00102,Anchorage Municipality (South) PUMA
22,15,00307,Honolulu County--Central Oahu PUMA
1,06,01700,El Dorado County--El Dorado Hills PUMA
1,06,06712,"Sacramento County (Northeast)--Folsom City, Orangevale & Fair Oaks (East) PUMA"
1,06,06102,"Placer County (Central)--Rocklin, Lincoln Cities & Loomis Town PUMA"
1,06,06103,Placer County (East/High Country Region)--Auburn & Colfax Cities PUMA
1,06,05700,Nevada & Sierra Counties PUMA
1,06,08900,Shasta County--Redding City PUMA
1,06,01500,"Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties PUMA"
35,06,03767,Los Angeles County (South)--LA City (South/San Pedro) PUMA
35,06,03762,Los Angeles County (South Central)--Carson City PUMA
35,06,03761,Los Angeles County (South Central)--Torrance City PUMA
35,06,03757,Los Angeles County (South Central)--Compton City & West Rancho Dominguez PUMA
35,06,03758,"Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens PUMA"
35,06,03759,Los Angeles County (South Central)--Hawthorne City PUMA
35,06,03749,Los Angeles County (Central)--Inglewood City PUMA
13,06,08501,"Santa Clara County (Northwest)--Mountain View, Palo Alto & Los Altos Cities PUMA"
13,06,08502,Santa Clara County (Northwest)--Sunnyvale & San Jose (North) Cities PUMA
13,06,08104,San Mateo County (South & West)--San Mateo (South) & Half Moon Bay Cities PUMA
13,06,08106,"San Mateo County (Southeast)--Menlo Park, East Palo Alto Cities & Atherton Town PUMA"
13,06,08105,"San Mateo County (East Central)--Redwood City, San Carlos & Belmont Cities PUMA"
13,06,08103,"San Mateo County (Central)--San Mateo (North), Burlingame & Millbrae Cities PUMA"
13,06,08101,"San Mateo County (North Central)--Daly City, Pacifica Cities & Colma Town PUMA"
13,06,08102,"San Mateo County (North Central)--South San Francisco, San Bruno & Brisbane Cities PUMA"
39,06,07316,San Diego County (South Central)--San Diego City (Central/Centre City & Balboa Park) PUMA
39,06,07310,San Diego County (West)--San Diego City (Southwest/Central Coastal) PUMA
39,06,07315,San Diego County (West Central)--San Diego City (Central/Clairemont & Kearny Mesa) PUMA
39,06,07314,San Diego County (Central)--San Diego (East Central/Navajo) & La Mesa Cities PUMA
39,06,07312,San Diego County (Central)--San Diego City (Central/Mira Mesa & University Heights) PUMA
39,06,07311,San Diego County (West Central)--San Diego City (Northwest/Del Mar Mesa) PUMA
10,06,08503,Santa Clara County (Northwest)--San Jose (Northwest) & Santa Clara Cities PUMA
10,06,08504,Santa Clara County (North Central)--Milpitas & San Jose (Northeast) Cities PUMA
10,06,00109,Alameda County (South Central)--Fremont City (East) PUMA
10,06,00108,"Alameda County (Southwest)--Union City, Newark & Fremont (West) Cities PUMA"
10,06,00107,Alameda County (Central)--Hayward City PUMA
10,06,00106,"Alameda County (North Central)--Castro Valley, San Lorenzo & Ashland PUMA"
15,06,08512,Santa Clara County (Central)--San Jose City (Southwest/Almaden Valley) PUMA
15,06,08507,"Santa Clara County (Southwest)--Cupertino, Saratoga Cities & Los Gatos Town PUMA"
15,06,08511,Santa Clara County (Central)--San Jose City (South Central/Branham) & Cambrian Park PUMA
15,06,08513,Santa Clara County (Central)--San Jose City (Southeast/Evergreen) PUMA
15,06,08510,Santa Clara County (Central)--San Jose City (Central) PUMA
15,06,08508,Santa Clara County (Central)--San Jose (West Central) & Campbell Cities PUMA
15,06,08514,Santa Clara County (Central)--San Jose City (East Central/East Valley) PUMA
15,06,08509,Santa Clara County (Central)--San Jose City (Northwest) PUMA
15,06,08505,Santa Clara County (North Central)--San Jose City (East Central) & Alum Rock PUMA
5,06,09904,Stanislaus County (Central)--Modesto City (East) PUMA
5,06,09902,Stanislaus County (Central)--Modesto City (West) PUMA
5,06,07703,"San Joaquin County (South)--Tracy, Manteca & Lathrop Cities PUMA"
5,06,07702,San Joaquin County (Central)--Stockton City (South) PUMA
5,06,07704,"San Joaquin County (North)--Lodi, Ripon & Escalon Cities PUMA"
5,06,07701,San Joaquin County (Central)--Stockton City (North) PUMA
31,42,03602,York County (North)--Weigelstown PUMA
31,42,02302,Cumberland County (East) PUMA
21,42,01600,Butler County PUMA
21,42,01300,"Venango, Jefferson, Clarion & Forest Counties PUMA"
35,42,03800,"Somerset, Bedford & Fulton Counties PUMA"
35,42,02100,Cambria County PUMA
45,42,01805,"Allegheny County (Southeast)--West Mifflin Borough, McKeesport City & Munhall Borough PUMA"
10,42,03003,Bucks County (Southeast)--Levittown PUMA
10,42,03002,Bucks County (Central) PUMA
10,42,03001,Bucks County (North) PUMA
30,42,02200,Blair & Huntingdon Counties--Altoona City PUMA
42,42,01702,Pittsburgh City (South) PUMA
42,42,01701,Pittsburgh City (North) PUMA
48,42,02500,Lebanon County PUMA
33,42,03701,Adams & Franklin (Southeast) Counties PUMA
33,42,03702,Franklin County (Outside Washington Township & Waynesboro Borough) PUMA
39,42,02003,Westmoreland County (East) PUMA
39,42,02002,Westmoreland County (Southwest)--Greensburg City PUMA
32,42,03900,Fayette County PUMA
29,42,02701,Berks County (Northwest)--Wyomissing Borough PUMA
29,42,02600,Schuylkill County PUMA
24,42,03102,Montgomery County (Northeast)--Lansdale Borough PUMA
41,42,01900,Indiana & Armstrong Counties PUMA
41,42,02001,Westmoreland County (Northwest)--Murrysville Municipality & New Kensington City PUMA
37,45,01203,Charleston (Northeast) & Berkeley (North & East) Counties--Mount Pleasant Town PUMA
40,45,01300,"Orangeburg, Colleton, Barnwell, Hampton, Bamberg & Allendale Counties PUMA"
38,51,51010,LENOWISCO & Cumberland Plateau Planning District Commissions PUMA
38,51,51040,New River Valley Planning District Commission PUMA
10,51,51235,Richmond City PUMA
15,51,51105,Southside Planning District Commission & Commonwealth Regional Council PUMA
24,51,51080,Central Shenandoah Planning District Commission (Southwest) PUMA
24,51,51087,Rappahannock-Rapidan Regional Commission PUMA
13,04,00700,Yuma County--Yuma City PUMA
2,04,00208,Tucson City (South) PUMA
17,49,03001,Tooele & Box Elder Counties PUMA
13,49,49001,"Utah County (West)--Saratoga Springs, Payson & Lehi (Southwest) Cities PUMA"
8,49,35008,"Salt Lake County (Southeast)--Sandy (North), Cottonwood Heights & Midvale Cities PUMA"
VIII,72,00902,"Trujillo Alto, Canóvanas, Loíza & Carolina (Sur) Municipios--Carr 852-Carr 185 PUMA"
VIII,72,01101,"Río Grande, Fajardo, Luquillo, Ceiba, Vieques & Culebra Municipios--Carr 3 (Noreste) PUMA"
VIII,72,00901,Carolina Municipio (Norte) PUMA
VII,72,01001,Caguas Municipio PUMA
VII,72,01102,"Humacao, Yabucoa & Naguabo Municipios--Carr 53 PUMA"
VII,72,01002,"Gurabo, San Lorenzo, Juncos & Las Piedras Municipios--Carr 30 PUMA"
I,72,00803,Guaynabo & Cataño Municipios PUMA
I,72,00806,San Juan Municipio (Sur) PUMA
I,72,00805,San Juan Municipio (Este) PUMA
I,72,00804,San Juan Municipio (Noroeste) PUMA
III,72,00301,"Arecibo, Barceloneta & Florida Municipios--Carr 2 (Norte) PUMA"
III,72,00501,"Vega Baja, Manatí, Morovis & Ciales Municipios--Carr 137-Carr 149 PUMA"
III,72,00503,Toa Alta & Vega Alta Municipios PUMA
14,40,00701,"Carter, Garvin, Murray, Love & Pontotoc (West) Counties PUMA"
1,40,00100,Northeast Oklahoma PUMA
38,40,00400,Southwest Oklahoma PUMA
18,40,01302,"Muskogee, Okmulgee, Wagoner (East) & McIntosh Counties PUMA"
18,40,01301,Rogers (Central) & Wagoner (West) Counties--Claremore City PUMA
8,40,01501,"Payne, Seminole, Creek (Southwest), Hughes & Okfuskee Counties--Stillwater City PUMA"
5,40,00300,Southeast Oklahoma PUMA
27,29,02400,"Butler, Ripley, Wayne, Madison, Iron, Reynolds & Carter Counties PUMA"
27,29,02200,"Cape Girardeau, Scott & Bollinger Counties PUMA"
34,29,00903,Platte County PUMA
6,29,01400,"Pulaski, Camden, Miller & Morgan Counties PUMA"
20,29,02601,"Christian, Greene (Outside Springfield City) & Webster Counties PUMA"
21,29,00800,"Johnson, Lafayette, Ray, Clinton & Caldwell Counties PUMA"
21,29,00700,"Pettis, Randolph, Saline, Cooper, Howard, Carroll & Chariton Counties PUMA"
