,st,lower_leg_district,poverty_base,poverty_reform,deep_poverty_base,deep_poverty_reform,pct_chg,pct_chg_deep
0,1.0,001,0.13725465121377314,0.13196037881998743,0.05905543457609284,0.053711836663110364,0.0385726264790832,0.11362525240641291
1,1.0,002,0.1346570738760115,0.12899637351978457,0.05724559815709527,0.05164714881942857,0.04203789814591652,0.07233175181418725
2,1.0,003,0.13780001757067128,0.13217966140921167,0.0578685466344734,0.0528850079219189,0.040786323982703376,0.04978817474596459
3,1.0,004,0.13742768621363613,0.12896988894278485,0.04678177959217965,0.043880048689147876,0.0615436198038242,0.09563890581558177
4,1.0,005,0.12093165442978594,0.11333477399983487,0.047682547379480335,0.040737480695947334,0.06281961878196164,0.12664310881744253
5,1.0,006,0.12920972008038506,0.11525557283264046,0.04359172968001379,0.038532703042453605,0.1079961108116582,0.09518684274863315
6,1.0,007,0.14230635210030215,0.13392086082187937,0.04850143379894963,0.04595469074786677,0.058925628790712115,0.06419124826963454
7,1.0,008,0.14303499730995145,0.13428455823177107,0.04647559169953269,0.04494826658603932,0.061176909446983146,0.05680549921270112
8,1.0,009,0.14364615379476123,0.13420861676880716,0.04731216333675761,0.044415413491331296,0.06569989363890824,0.17487059172270017
9,1.0,010,0.14991168411048478,0.1272717036295083,0.04917195817496064,0.046410490449286336,0.15102212089279737,0.07246477965830089
10,1.0,011,0.15260709768659012,0.139522865326819,0.047999921926255115,0.04216975599971411,0.08573803288391114,0.11587390607723345
11,1.0,012,0.14414431575739103,0.13412767956923705,0.04781316671746419,0.04242862948288124,0.06949033082243053,0.13709674849236123
12,1.0,013,0.2291393466374391,0.21837866184387625,0.08893382236771008,0.07806652198271291,0.046961313940504436,0.07526779698907124
13,1.0,014,0.1984290301715517,0.18697016586117615,0.07510195653298188,0.06653928827763547,0.0577479227735417,0.04768377424905579
14,1.0,015,0.12025023065066058,0.11259956867432397,0.04528654248432137,0.03820250813432611,0.0636228465836592,0.07649681472158024
15,1.0,016,0.18292895349161306,0.17175861133637865,0.07178102050647679,0.06269225366863676,0.061063828016413746,0.08467175638952334
16,1.0,017,0.20526747508194268,0.19620972880191737,0.08144854191306818,0.07191610972718297,0.04412655378748857,0.07653087287289397
17,1.0,018,0.13725465121377317,0.13196037881998743,0.05905543457609285,0.053711836663110364,0.0385726264790834,0.14162992954874049
18,1.0,019,0.14369109440332603,0.12276671608952779,0.04546690547473407,0.04248217599275168,0.14562056473079452,0.16371162474113712
19,1.0,020,0.17032811657982377,0.1444489674237592,0.06707554798041993,0.06301005174995962,0.15193703585594678,0.09537915947535318
20,1.0,021,0.1457281004014777,0.12901410237349462,0.05702472357548511,0.05279979299537047,0.1146930343697365,0.09281068221856045
21,1.0,022,0.142513626720148,0.1262376874246738,0.056089448029719866,0.04798801261367972,0.11420619676906421,0.10202993324512691
22,1.0,023,0.18759662299216054,0.1525519434241544,0.07041554739323504,0.06702209308700181,0.18680869095106586,0.09490702358104323
23,1.0,024,0.18759662299216054,0.1525519434241544,0.07041554739323502,0.06702209308700181,0.18680869095106586,0.06286730935692346
24,1.0,025,0.1427645519088696,0.11840076474751071,0.03689326311817344,0.03492251298432749,0.170657119261026,0.18948442610032323
25,1.0,026,0.15816668566043585,0.13580537658070688,0.0634502338589374,0.05157698814198224,0.14137812262018257,0.18322566526276432
26,1.0,027,0.1567967425500702,0.1355555638645763,0.06196029432726262,0.049839457050053805,0.1354695151189823,0.054604461773972775
27,1.0,028,0.1656036281537358,0.13459449852886005,0.055771673808442446,0.052608887396905016,0.18724909575102344,0.1327155146306131
28,1.0,029,0.16868548038553288,0.13856263026517307,0.05761052870484532,0.054035687844164036,0.17857405421921105,0.14677373980205105
29,1.0,030,0.16755182459849274,0.1422111187384432,0.05092203350612393,0.0467288572398367,0.15124100212441083,0.18877522646317377
30,1.0,031,0.1498849791917781,0.1398223513774443,0.056887415040349186,0.044924864035537464,0.06713566541887186,0.15453406099574782
31,1.0,032,0.1584923170267909,0.14063225771163204,0.051685051693767387,0.04443853820254209,0.11268722453051061,0.06506736772921443
32,1.0,033,0.1591622830017649,0.140286116294586,0.05530656244304132,0.04761682486869419,0.1185969838530752,0.11924567940933703
33,1.0,034,0.16682554091101554,0.14871608057821697,0.04793115059008767,0.04077032377880962,0.10855328407092123,0.12271140309095503
34,1.0,035,0.16008837671019335,0.14141923613639792,0.05410533604660434,0.046407879155952625,0.11661771427411009,0.11504230643894658
35,1.0,036,0.1625033531911747,0.14534298655960465,0.046772897011912395,0.040549904727423924,0.10560007713429762,0.0034259908121153323
36,1.0,037,0.15544373302121156,0.13755300027954173,0.05313258458003111,0.04615578690167926,0.11509459013846826,0.003425990812115591
37,1.0,038,0.18788686349238298,0.17450991582494088,0.0905178679536429,0.08602897114151797,0.07119682248559335,0.022598812709532005
38,1.0,039,0.16368056371339934,0.14294092848791987,0.056944975276843134,0.049472164850071144,0.12670798997121044,0.05935737061564869
39,1.0,040,0.15551931535952598,0.13916634249977555,0.04717675573775397,0.0407702205332296,0.10515075135166332,0.051055049975647436
40,1.0,041,0.09765469030250407,0.09120279117522165,0.03908057268527028,0.038228136110987875,0.06606850226339797,0.06778106618446447
41,1.0,042,0.14634363182000887,0.13306401967251666,0.05023678533065809,0.042910203195949466,0.09074267176739939,0.11464835622138987
42,1.0,043,0.09765469030250408,0.09120279117522168,0.039080572685270286,0.038228136110987875,0.06606850226339782,0.10413058724087508
43,1.0,044,0.1403233021573901,0.11782884609826864,0.043898735812210904,0.042284395523041245,0.1603044947865546,0.06723450676990282
