state_fip,puma,upper_leg_district,population,puma_pop,share_of_puma_pop
1,100.0,001,66381.4488335704,186031.99999999997,0.35682812007380665
1,100.0,004,6482.999999999998,186031.99999999997,0.03484884320977036
1,100.0,006,113167.55116642914,186031.99999999997,0.6083230367164206
1,200.0,001,68636.0399203605,194005.00000000064,0.3537849020404643
1,200.0,002,49004.6975212865,194005.00000000064,0.2525950234338617
1,200.0,003,25026.121422044307,194005.00000000064,0.1289973012141142
1,200.0,007,36132.82967945022,194005.00000000064,0.1862468992007943
1,200.0,008,15205.311456858371,194005.00000000064,0.07837587411076169
1,301.0,001,6973.425537563048,129184.99999999999,0.05398014891483569
1,301.0,002,103143.62380729549,129184.99999999999,0.7984179572496458
1,301.0,007,19067.950655141438,129184.99999999999,0.14760189383551836
1,302.0,002,3694.839199634445,101885.00000000025,0.036264800506791345
1,302.0,003,0.9925925925925926,101885.00000000025,9.742283874884333e-06
1,302.0,007,71501.94410611015,101885.00000000025,0.701790686618344
1,302.0,008,16786.21509041889,101885.00000000025,0.1647564910479349
1,302.0,009,9901.009011243901,101885.00000000025,0.09717827954305223
1,400.0,008,103852.3606609978,123162.00000000054,0.8432175562348561
1,400.0,009,12316.648761025655,123162.00000000054,0.10000364366464982
1,400.0,010,6992.990577976835,123162.00000000054,0.05677880010049207
1,500.0,007,16692.569740150604,127571.00000000003,0.13084925053617671
1,500.0,008,4971.577392097299,127571.00000000003,0.03897106232683994
1,500.0,009,105906.8528677523,127571.00000000003,0.8301796871369846
1,600.0,003,119213.00000000003,152270.99999999977,0.7829002239428401
1,600.0,004,29274.166613445945,152270.99999999977,0.19225043910820833
1,600.0,006,3783.8333865541085,152270.99999999977,0.024849336948953603
1,700.0,004,94773.22882818594,106636.99999999971,0.8887462028018999
1,700.0,005,11863.771171813816,106636.99999999971,0.11125379719810055
1,800.0,009,10875.274411008642,145670.00000000006,0.0746569260040409
1,800.0,011,74098.32414629665,145670.00000000006,0.5086725073542708
1,800.0,017,60696.40144269475,145670.00000000006,0.4166705666416882
1,900.0,010,102747.99999999983,102747.99999999983,1.0
1,1000.0,010,25903.00000000006,157189.99999999866,0.1647878363763616
1,1000.0,011,40248.870919312016,157189.99999999866,0.2560523628685817
1,1000.0,012,16852.770545294545,157189.99999999866,0.10721273964816266
1,1000.0,013,50899.99999999996,157189.99999999866,0.323811947324896
1,1000.0,015,23285.358535393385,157189.99999999866,0.1481351137820064
1,1100.0,012,114617.99999999993,114617.99999999993,1.0
1,1200.0,011,27044.355115525887,213431.99999999965,0.12671181039172164
1,1200.0,014,85996.29590288282,213431.99999999965,0.402921285950012
1,1200.0,015,63822.71622308383,213431.99999999965,0.2990306806059257
1,1200.0,016,36568.63275850738,213431.99999999965,0.17133622305234192
1,1301.0,018,32499.08612314221,92467.00000000051,0.35146685977853753
1,1301.0,019,43201.522760541404,92467.00000000051,0.4672101696880094
1,1301.0,020,16766.391116316296,92467.00000000051,0.18132297053344656
1,1302.0,015,3968.485239932645,104587.00000000003,0.03794434528127438
1,1302.0,018,61971.55326659285,104587.00000000003,0.5925359104534295
1,1302.0,020,38646.96149347453,104587.00000000003,0.3695197442652961
1,1303.0,015,46405.66436073997,172432.99999999942,0.26912287300424004
1,1303.0,016,96015.51693008133,172432.99999999942,0.5568279675588875
1,1303.0,018,20994.803175726993,172432.99999999942,0.12175629476797982
1,1303.0,020,9017.015533451638,172432.99999999942,0.052292864668895565
1,1304.0,005,2374.181093905426,177685.00000000108,0.013361741812226198
1,1304.0,015,6809.209476078931,177685.00000000108,0.03832180249362011
1,1304.0,017,79192.253560236,177685.00000000108,0.4456890202337593
1,1304.0,019,15557.636677977735,177685.00000000108,0.08755740033192244
1,1304.0,020,73751.7191918017,177685.00000000108,0.41507003512846474
1,1305.0,005,14390.94815746856,112508.00000000015,0.12791044332375068
1,1305.0,016,7724.088426400171,112508.00000000015,0.0686536817506325
1,1305.0,018,21224.310992803046,112508.00000000015,0.1886471272514223
1,1305.0,019,69168.65242332811,112508.00000000015,0.6147887476741922
1,1400.0,004,5054.486029267643,117115.9999999995,0.043157946218003215
1,1400.0,005,80604.00000000003,117115.9999999995,0.6882407186037806
1,1400.0,006,17572.51397073237,117115.9999999995,0.1500436658589129
1,1400.0,021,13884.999999999993,117115.9999999995,0.11855766931930779
1,1500.0,005,21799.52418152193,109506.9999999996,0.19906968670059455
1,1500.0,021,75208.69769863175,109506.9999999996,0.6867935172969035
