state_fip,puma,county_fip,population,puma_pop,share_of_puma_pop
1,100.0,33,54770.99999999995,186031.99999999997,0.29441708953298334
1,100.0,59,31465.999999999993,186031.99999999997,0.16914294314956566
1,100.0,77,92555.99999999994,186031.99999999997,0.4975273071299559
1,100.0,93,7238.999999999997,186031.99999999997,0.03891266018749462
1,200.0,83,94727.00000000026,194005.00000000064,0.4882709208525551
1,200.0,89,99277.99999999997,194005.00000000064,0.5117290791474428
1,301.0,89,129184.99999999999,129184.99999999999,1.0
1,302.0,89,101885.00000000025,101885.00000000025,1.0
1,400.0,49,71310.00000000012,123162.00000000054,0.5789935207287946
1,400.0,71,51851.99999999992,123162.00000000054,0.4210064792712013
1,500.0,89,31927.99999999995,127571.00000000003,0.25027631671774886
1,500.0,95,95643.00000000029,127571.00000000003,0.7497236832822528
1,600.0,79,33058.00000000001,152270.99999999977,0.21709977605716163
1,600.0,103,119213.00000000003,152270.99999999977,0.7829002239428401
1,700.0,43,82852.99999999983,106636.99999999971,0.776962967825427
1,700.0,133,23784.000000000004,106636.99999999971,0.22303703217457418
1,800.0,9,57680.99999999991,145670.00000000006,0.3959703439280558
1,800.0,115,87989.00000000032,145670.00000000006,0.6040296560719454
1,900.0,55,102747.99999999983,102747.99999999983,1.0
1,1000.0,19,25903.00000000006,157189.99999999866,0.1647878363763616
1,1000.0,27,13336.999999999989,157189.99999999866,0.08484636427253707
1,1000.0,29,14915.999999999973,157189.99999999866,0.09489153254023856
1,1000.0,111,22646.999999999975,157189.99999999866,0.14407405051212016
1,1000.0,121,80387.00000000022,157189.99999999866,0.5114002162987524
1,1100.0,15,114617.99999999993,114617.99999999993,1.0
1,1200.0,117,213431.99999999965,213431.99999999965,1.0
1,1301.0,73,92467.00000000051,92467.00000000051,1.0
1,1302.0,73,104587.00000000003,104587.00000000003,1.0
1,1303.0,73,172432.99999999942,172432.99999999942,1.0
1,1304.0,73,177685.00000000108,177685.00000000108,1.0
1,1305.0,73,112508.00000000015,112508.00000000015,1.0
1,1400.0,57,16494.000000000015,117115.9999999995,0.1408347279620213
1,1400.0,75,13884.999999999993,117115.9999999995,0.11855766931930779
1,1400.0,93,22626.999999999967,117115.9999999995,0.19320161207691572
