Senate District Number,STATEFIP_x,PUMA,PUMA Description_x,Assembly District Number,STATEFIP_y,PUMA Description_y,STATEFIP_y
23,39,00902,"Cuyahoga County (West)--Berea, Brook Park, Lakewood & Rocky River Cities PUMA",15,29,"Kansas City (North Central), Gladstone City & North Kansas City PUMA",29
23,39,00902,"Cuyahoga County (West)--Berea, Brook Park, Lakewood & Rocky River Cities PUMA",90,09,"Meriden, Wallingford & North Haven Towns PUMA",09
23,39,00902,"Cuyahoga County (West)--Berea, Brook Park, Lakewood & Rocky River Cities PUMA",14,39,"Cuyahoga County (West)--Berea, Brook Park, Lakewood & Rocky River Cities PUMA",39
23,39,00902,"Cuyahoga County (West)--Berea, Brook Park, Lakewood & Rocky River Cities PUMA",13,24,"Howard County (East)--Columbia (East), Ellicott City (Southeast) & Elkridge PUMA",24
28,41,00902,Jackson County (Outside Medford & Central Point Cities)--Ashland City PUMA,55,41,Jackson County (Outside Medford & Central Point Cities)--Ashland City PUMA,41
28,41,00902,Jackson County (Outside Medford & Central Point Cities)--Ashland City PUMA,16,34,Middlesex County (Southwest) PUMA,34
28,41,00902,Jackson County (Outside Medford & Central Point Cities)--Ashland City PUMA,38,72,"Trujillo Alto, Canóvanas, Loíza & Carolina (Sur) Municipios--Carr 852-Carr 185 PUMA",72
28,41,00902,Jackson County (Outside Medford & Central Point Cities)--Ashland City PUMA,51,12,Brevard County (East)--Beaches & Merritt Island PUMA,12
28,41,00902,Jackson County (Outside Medford & Central Point Cities)--Ashland City PUMA,137,36,Monroe County (Central)--Rochester City (East) PUMA,36
28,41,00902,Jackson County (Outside Medford & Central Point Cities)--Ashland City PUMA,15,29,"Kansas City (North Central), Gladstone City & North Kansas City PUMA",29
28,41,00902,Jackson County (Outside Medford & Central Point Cities)--Ashland City PUMA,90,09,"Meriden, Wallingford & North Haven Towns PUMA",09
28,41,00902,Jackson County (Outside Medford & Central Point Cities)--Ashland City PUMA,14,39,"Cuyahoga County (West)--Berea, Brook Park, Lakewood & Rocky River Cities PUMA",39
28,41,00902,Jackson County (Outside Medford & Central Point Cities)--Ashland City PUMA,13,24,"Howard County (East)--Columbia (East), Ellicott City (Southeast) & Elkridge PUMA",24
39,31,00902,Douglas County--Omaha City (Southwest) PUMA,55,41,Jackson County (Outside Medford & Central Point Cities)--Ashland City PUMA,41
39,31,00902,Douglas County--Omaha City (Southwest) PUMA,16,34,Middlesex County (Southwest) PUMA,34
39,31,00902,Douglas County--Omaha City (Southwest) PUMA,38,72,"Trujillo Alto, Canóvanas, Loíza & Carolina (Sur) Municipios--Carr 852-Carr 185 PUMA",72
39,31,00902,Douglas County--Omaha City (Southwest) PUMA,51,12,Brevard County (East)--Beaches & Merritt Island PUMA,12
39,31,00902,Douglas County--Omaha City (Southwest) PUMA,137,36,Monroe County (Central)--Rochester City (East) PUMA,36
39,31,00902,Douglas County--Omaha City (Southwest) PUMA,15,29,"Kansas City (North Central), Gladstone City & North Kansas City PUMA",29
39,31,00902,Douglas County--Omaha City (Southwest) PUMA,90,09,"Meriden, Wallingford & North Haven Towns PUMA",09
39,31,00902,Douglas County--Omaha City (Southwest) PUMA,14,39,"Cuyahoga County (West)--Berea, Brook Park, Lakewood & Rocky River Cities PUMA",39
39,31,00902,Douglas County--Omaha City (Southwest) PUMA,13,24,"Howard County (East)--Columbia (East), Ellicott City (Southeast) & Elkridge PUMA",24
17,29,00902,"Kansas City (North Central), Gladstone City & North Kansas City PUMA",55,41,Jackson County (Outside Medford & Central Point Cities)--Ashland City PUMA,41
17,29,00902,"Kansas City (North Central), Gladstone City & North Kansas City PUMA",16,34,Middlesex County (Southwest) PUMA,34
17,29,00902,"Kansas City (North Central), Gladstone City & North Kansas City PUMA",38,72,"Trujillo Alto, Canóvanas, Loíza & Carolina (Sur) Municipios--Carr 852-Carr 185 PUMA",72
