Senate District Number,STATEFIP_x,PUMA,PUMA Description_x,Assembly District Number,STATEFIP_y,PUMA Description_y,STATEFIP_y
50,37,02300,"Haywood, Madison, Swain, Graham & Jackson (North) Counties PUMA",125,36,Tompkins County PUMA,36
50,37,02300,"Haywood, Madison, Swain, Graham & Jackson (North) Counties PUMA",78,22,Regional Planning Commission 3--Jefferson Parish (North) PUMA,22
50,37,02300,"Haywood, Madison, Swain, Graham & Jackson (North) Counties PUMA",66,26,Van Buren & Cass Counties PUMA,26
25,29,02300,"Dunklin, Stoddard, New Madrid, Pemiscot & Mississippi Counties PUMA",72,21,Bluegrass Area Development District (Northeast) PUMA,21
25,29,02300,"Dunklin, Stoddard, New Madrid, Pemiscot & Mississippi Counties PUMA",46,47,Wilson County--Lebanon & Mount Juliet Cities PUMA,47
25,29,02300,"Dunklin, Stoddard, New Madrid, Pemiscot & Mississippi Counties PUMA",149,29,"Dunklin, Stoddard, New Madrid, Pemiscot & Mississippi Counties PUMA",29
25,29,02300,"Dunklin, Stoddard, New Madrid, Pemiscot & Mississippi Counties PUMA",119,37,"Haywood, Madison, Swain, Graham & Jackson (North) Counties PUMA",37
25,29,02300,"Dunklin, Stoddard, New Madrid, Pemiscot & Mississippi Counties PUMA",21,12,"Columbia, Levy, Bradford, Gilchrist, Dixie & Union Counties PUMA",12
25,29,02300,"Dunklin, Stoddard, New Madrid, Pemiscot & Mississippi Counties PUMA",90,01,"Coffee, Covington, Butler & Crenshaw Counties PUMA",01
25,29,02300,"Dunklin, Stoddard, New Madrid, Pemiscot & Mississippi Counties PUMA",84,19,"Des Moines, Lee, Henry & Louisa Counties PUMA",19
25,29,02300,"Dunklin, Stoddard, New Madrid, Pemiscot & Mississippi Counties PUMA",18,13,Three Rivers Regional Commission (Northwest)--Carroll County PUMA,13
25,29,02300,"Dunklin, Stoddard, New Madrid, Pemiscot & Mississippi Counties PUMA",20B,27,"Rice, Goodhue & Le Sueur Counties PUMA",27
25,29,02300,"Dunklin, Stoddard, New Madrid, Pemiscot & Mississippi Counties PUMA",2,06,Humboldt County PUMA,06
25,29,02300,"Dunklin, Stoddard, New Madrid, Pemiscot & Mississippi Counties PUMA",87,39,"Seneca, Crawford & Wyandot Counties PUMA",39
25,29,02300,"Dunklin, Stoddard, New Madrid, Pemiscot & Mississippi Counties PUMA",79,17,Kankakee County PUMA,17
25,29,02300,"Dunklin, Stoddard, New Madrid, Pemiscot & Mississippi Counties PUMA",125,36,Tompkins County PUMA,36
25,29,02300,"Dunklin, Stoddard, New Madrid, Pemiscot & Mississippi Counties PUMA",78,22,Regional Planning Commission 3--Jefferson Parish (North) PUMA,22
25,29,02300,"Dunklin, Stoddard, New Madrid, Pemiscot & Mississippi Counties PUMA",66,26,Van Buren & Cass Counties PUMA,26
27,21,02300,Bluegrass Area Development District (Northeast) PUMA,72,21,Bluegrass Area Development District (Northeast) PUMA,21
27,21,02300,Bluegrass Area Development District (Northeast) PUMA,46,47,Wilson County--Lebanon & Mount Juliet Cities PUMA,47
27,21,02300,Bluegrass Area Development District (Northeast) PUMA,149,29,"Dunklin, Stoddard, New Madrid, Pemiscot & Mississippi Counties PUMA",29
27,21,02300,Bluegrass Area Development District (Northeast) PUMA,119,37,"Haywood, Madison, Swain, Graham & Jackson (North) Counties PUMA",37
27,21,02300,Bluegrass Area Development District (Northeast) PUMA,21,12,"Columbia, Levy, Bradford, Gilchrist, Dixie & Union Counties PUMA",12
27,21,02300,Bluegrass Area Development District (Northeast) PUMA,90,01,"Coffee, Covington, Butler & Crenshaw Counties PUMA",01
27,21,02300,Bluegrass Area Development District (Northeast) PUMA,84,19,"Des Moines, Lee, Henry & Louisa Counties PUMA",19
27,21,02300,Bluegrass Area Development District (Northeast) PUMA,18,13,Three Rivers Regional Commission (Northwest)--Carroll County PUMA,13
27,21,02300,Bluegrass Area Development District (Northeast) PUMA,20B,27,"Rice, Goodhue & Le Sueur Counties PUMA",27
27,21,02300,Bluegrass Area Development District (Northeast) PUMA,2,06,Humboldt County PUMA,06
27,21,02300,Bluegrass Area Development District (Northeast) PUMA,87,39,"Seneca, Crawford & Wyandot Counties PUMA",39
27,21,02300,Bluegrass Area Development District (Northeast) PUMA,79,17,Kankakee County PUMA,17
27,21,02300,Bluegrass Area Development District (Northeast) PUMA,125,36,Tompkins County PUMA,36
27,21,02300,Bluegrass Area Development District (Northeast) PUMA,78,22,Regional Planning Commission 3--Jefferson Parish (North) PUMA,22
27,21,02300,Bluegrass Area Development District (Northeast) PUMA,66,26,Van Buren & Cass Counties PUMA,26
2,06,02300,Humboldt County PUMA,72,21,Bluegrass Area Development District (Northeast) PUMA,21
2,06,02300,Humboldt County PUMA,46,47,Wilson County--Lebanon & Mount Juliet Cities PUMA,47
2,06,02300,Humboldt County PUMA,149,29,"Dunklin, Stoddard, New Madrid, Pemiscot & Mississippi Counties PUMA",29
2,06,02300,Humboldt County PUMA,119,37,"Haywood, Madison, Swain, Graham & Jackson (North) Counties PUMA",37
2,06,02300,Humboldt County PUMA,21,12,"Columbia, Levy, Bradford, Gilchrist, Dixie & Union Counties PUMA",12
2,06,02300,Humboldt County PUMA,90,01,"Coffee, Covington, Butler & Crenshaw Counties PUMA",01
2,06,02300,Humboldt County PUMA,84,19,"Des Moines, Lee, Henry & Louisa Counties PUMA",19
2,06,02300,Humboldt County PUMA,18,13,Three Rivers Regional Commission (Northwest)--Carroll County PUMA,13
2,06,02300,Humboldt County PUMA,20B,27,"Rice, Goodhue & Le Sueur Counties PUMA",27
2,06,02300,Humboldt County PUMA,2,06,Humboldt County PUMA,06
2,06,02300,Humboldt County PUMA,87,39,"Seneca, Crawford & Wyandot Counties PUMA",39
2,06,02300,Humboldt County PUMA,79,17,Kankakee County PUMA,17
2,06,02300,Humboldt County PUMA,125,36,Tompkins County PUMA,36
2,06,02300,Humboldt County PUMA,78,22,Regional Planning Commission 3--Jefferson Parish (North) PUMA,22
2,06,02300,Humboldt County PUMA,66,26,Van Buren & Cass Counties PUMA,26
40,17,02300,Kankakee County PUMA,72,21,Bluegrass Area Development District (Northeast) PUMA,21
40,17,02300,Kankakee County PUMA,46,47,Wilson County--Lebanon & Mount Juliet Cities PUMA,47
40,17,02300,Kankakee County PUMA,149,29,"Dunklin, Stoddard, New Madrid, Pemiscot & Mississippi Counties PUMA",29
40,17,02300,Kankakee County PUMA,119,37,"Haywood, Madison, Swain, Graham & Jackson (North) Counties PUMA",37
40,17,02300,Kankakee County PUMA,21,12,"Columbia, Levy, Bradford, Gilchrist, Dixie & Union Counties PUMA",12
40,17,02300,Kankakee County PUMA,90,01,"Coffee, Covington, Butler & Crenshaw Counties PUMA",01
40,17,02300,Kankakee County PUMA,84,19,"Des Moines, Lee, Henry & Louisa Counties PUMA",19
40,17,02300,Kankakee County PUMA,18,13,Three Rivers Regional Commission (Northwest)--Carroll County PUMA,13
40,17,02300,Kankakee County PUMA,20B,27,"Rice, Goodhue & Le Sueur Counties PUMA",27
40,17,02300,Kankakee County PUMA,2,06,Humboldt County PUMA,06
40,17,02300,Kankakee County PUMA,87,39,"Seneca, Crawford & Wyandot Counties PUMA",39
40,17,02300,Kankakee County PUMA,79,17,Kankakee County PUMA,17
40,17,02300,Kankakee County PUMA,125,36,Tompkins County PUMA,36
40,17,02300,Kankakee County PUMA,78,22,Regional Planning Commission 3--Jefferson Parish (North) PUMA,22
40,17,02300,Kankakee County PUMA,66,26,Van Buren & Cass Counties PUMA,26
17,47,02300,Wilson County--Lebanon & Mount Juliet Cities PUMA,72,21,Bluegrass Area Development District (Northeast) PUMA,21
17,47,02300,Wilson County--Lebanon & Mount Juliet Cities PUMA,46,47,Wilson County--Lebanon & Mount Juliet Cities PUMA,47
17,47,02300,Wilson County--Lebanon & Mount Juliet Cities PUMA,149,29,"Dunklin, Stoddard, New Madrid, Pemiscot & Mississippi Counties PUMA",29
17,47,02300,Wilson County--Lebanon & Mount Juliet Cities PUMA,119,37,"Haywood, Madison, Swain, Graham & Jackson (North) Counties PUMA",37
17,47,02300,Wilson County--Lebanon & Mount Juliet Cities PUMA,21,12,"Columbia, Levy, Bradford, Gilchrist, Dixie & Union Counties PUMA",12
17,47,02300,Wilson County--Lebanon & Mount Juliet Cities PUMA,90,01,"Coffee, Covington, Butler & Crenshaw Counties PUMA",01
17,47,02300,Wilson County--Lebanon & Mount Juliet Cities PUMA,84,19,"Des Moines, Lee, Henry & Louisa Counties PUMA",19
17,47,02300,Wilson County--Lebanon & Mount Juliet Cities PUMA,18,13,Three Rivers Regional Commission (Northwest)--Carroll County PUMA,13
17,47,02300,Wilson County--Lebanon & Mount Juliet Cities PUMA,20B,27,"Rice, Goodhue & Le Sueur Counties PUMA",27
17,47,02300,Wilson County--Lebanon & Mount Juliet Cities PUMA,2,06,Humboldt County PUMA,06
17,47,02300,Wilson County--Lebanon & Mount Juliet Cities PUMA,87,39,"Seneca, Crawford & Wyandot Counties PUMA",39
17,47,02300,Wilson County--Lebanon & Mount Juliet Cities PUMA,79,17,Kankakee County PUMA,17
17,47,02300,Wilson County--Lebanon & Mount Juliet Cities PUMA,125,36,Tompkins County PUMA,36
17,47,02300,Wilson County--Lebanon & Mount Juliet Cities PUMA,78,22,Regional Planning Commission 3--Jefferson Parish (North) PUMA,22
17,47,02300,Wilson County--Lebanon & Mount Juliet Cities PUMA,66,26,Van Buren & Cass Counties PUMA,26
26,39,02300,"Seneca, Crawford & Wyandot Counties PUMA",72,21,Bluegrass Area Development District (Northeast) PUMA,21
26,39,02300,"Seneca, Crawford & Wyandot Counties PUMA",46,47,Wilson County--Lebanon & Mount Juliet Cities PUMA,47
26,39,02300,"Seneca, Crawford & Wyandot Counties PUMA",149,29,"Dunklin, Stoddard, New Madrid, Pemiscot & Mississippi Counties PUMA",29
26,39,02300,"Seneca, Crawford & Wyandot Counties PUMA",119,37,"Haywood, Madison, Swain, Graham & Jackson (North) Counties PUMA",37
26,39,02300,"Seneca, Crawford & Wyandot Counties PUMA",21,12,"Columbia, Levy, Bradford, Gilchrist, Dixie & Union Counties PUMA",12
26,39,02300,"Seneca, Crawford & Wyandot Counties PUMA",90,01,"Coffee, Covington, Butler & Crenshaw Counties PUMA",01
26,39,02300,"Seneca, Crawford & Wyandot Counties PUMA",84,19,"Des Moines, Lee, Henry & Louisa Counties PUMA",19
26,39,02300,"Seneca, Crawford & Wyandot Counties PUMA",18,13,Three Rivers Regional Commission (Northwest)--Carroll County PUMA,13
26,39,02300,"Seneca, Crawford & Wyandot Counties PUMA",20B,27,"Rice, Goodhue & Le Sueur Counties PUMA",27
26,39,02300,"Seneca, Crawford & Wyandot Counties PUMA",2,06,Humboldt County PUMA,06
26,39,02300,"Seneca, Crawford & Wyandot Counties PUMA",87,39,"Seneca, Crawford & Wyandot Counties PUMA",39
26,39,02300,"Seneca, Crawford & Wyandot Counties PUMA",79,17,Kankakee County PUMA,17
26,39,02300,"Seneca, Crawford & Wyandot Counties PUMA",125,36,Tompkins County PUMA,36
26,39,02300,"Seneca, Crawford & Wyandot Counties PUMA",78,22,Regional Planning Commission 3--Jefferson Parish (North) PUMA,22
26,39,02300,"Seneca, Crawford & Wyandot Counties PUMA",66,26,Van Buren & Cass Counties PUMA,26
30,13,02300,Three Rivers Regional Commission (Northwest)--Carroll County PUMA,72,21,Bluegrass Area Development District (Northeast) PUMA,21
30,13,02300,Three Rivers Regional Commission (Northwest)--Carroll County PUMA,46,47,Wilson County--Lebanon & Mount Juliet Cities PUMA,47
30,13,02300,Three Rivers Regional Commission (Northwest)--Carroll County PUMA,149,29,"Dunklin, Stoddard, New Madrid, Pemiscot & Mississippi Counties PUMA",29
30,13,02300,Three Rivers Regional Commission (Northwest)--Carroll County PUMA,119,37,"Haywood, Madison, Swain, Graham & Jackson (North) Counties PUMA",37
30,13,02300,Three Rivers Regional Commission (Northwest)--Carroll County PUMA,21,12,"Columbia, Levy, Bradford, Gilchrist, Dixie & Union Counties PUMA",12
30,13,02300,Three Rivers Regional Commission (Northwest)--Carroll County PUMA,90,01,"Coffee, Covington, Butler & Crenshaw Counties PUMA",01
30,13,02300,Three Rivers Regional Commission (Northwest)--Carroll County PUMA,84,19,"Des Moines, Lee, Henry & Louisa Counties PUMA",19
30,13,02300,Three Rivers Regional Commission (Northwest)--Carroll County PUMA,18,13,Three Rivers Regional Commission (Northwest)--Carroll County PUMA,13
30,13,02300,Three Rivers Regional Commission (Northwest)--Carroll County PUMA,20B,27,"Rice, Goodhue & Le Sueur Counties PUMA",27
30,13,02300,Three Rivers Regional Commission (Northwest)--Carroll County PUMA,2,06,Humboldt County PUMA,06
30,13,02300,Three Rivers Regional Commission (Northwest)--Carroll County PUMA,87,39,"Seneca, Crawford & Wyandot Counties PUMA",39
30,13,02300,Three Rivers Regional Commission (Northwest)--Carroll County PUMA,79,17,Kankakee County PUMA,17
30,13,02300,Three Rivers Regional Commission (Northwest)--Carroll County PUMA,125,36,Tompkins County PUMA,36
30,13,02300,Three Rivers Regional Commission (Northwest)--Carroll County PUMA,78,22,Regional Planning Commission 3--Jefferson Parish (North) PUMA,22
30,13,02300,Three Rivers Regional Commission (Northwest)--Carroll County PUMA,66,26,Van Buren & Cass Counties PUMA,26
10,22,02300,Regional Planning Commission 3--Jefferson Parish (North) PUMA,72,21,Bluegrass Area Development District (Northeast) PUMA,21
10,22,02300,Regional Planning Commission 3--Jefferson Parish (North) PUMA,46,47,Wilson County--Lebanon & Mount Juliet Cities PUMA,47
10,22,02300,Regional Planning Commission 3--Jefferson Parish (North) PUMA,149,29,"Dunklin, Stoddard, New Madrid, Pemiscot & Mississippi Counties PUMA",29
10,22,02300,Regional Planning Commission 3--Jefferson Parish (North) PUMA,119,37,"Haywood, Madison, Swain, Graham & Jackson (North) Counties PUMA",37
10,22,02300,Regional Planning Commission 3--Jefferson Parish (North) PUMA,21,12,"Columbia, Levy, Bradford, Gilchrist, Dixie & Union Counties PUMA",12
10,22,02300,Regional Planning Commission 3--Jefferson Parish (North) PUMA,90,01,"Coffee, Covington, Butler & Crenshaw Counties PUMA",01
10,22,02300,Regional Planning Commission 3--Jefferson Parish (North) PUMA,84,19,"Des Moines, Lee, Henry & Louisa Counties PUMA",19
10,22,02300,Regional Planning Commission 3--Jefferson Parish (North) PUMA,18,13,Three Rivers Regional Commission (Northwest)--Carroll County PUMA,13
10,22,02300,Regional Planning Commission 3--Jefferson Parish (North) PUMA,20B,27,"Rice, Goodhue & Le Sueur Counties PUMA",27
10,22,02300,Regional Planning Commission 3--Jefferson Parish (North) PUMA,2,06,Humboldt County PUMA,06
10,22,02300,Regional Planning Commission 3--Jefferson Parish (North) PUMA,87,39,"Seneca, Crawford & Wyandot Counties PUMA",39
10,22,02300,Regional Planning Commission 3--Jefferson Parish (North) PUMA,79,17,Kankakee County PUMA,17
10,22,02300,Regional Planning Commission 3--Jefferson Parish (North) PUMA,125,36,Tompkins County PUMA,36
10,22,02300,Regional Planning Commission 3--Jefferson Parish (North) PUMA,78,22,Regional Planning Commission 3--Jefferson Parish (North) PUMA,22
10,22,02300,Regional Planning Commission 3--Jefferson Parish (North) PUMA,66,26,Van Buren & Cass Counties PUMA,26
58,36,02300,Tompkins County PUMA,72,21,Bluegrass Area Development District (Northeast) PUMA,21
58,36,02300,Tompkins County PUMA,46,47,Wilson County--Lebanon & Mount Juliet Cities PUMA,47
58,36,02300,Tompkins County PUMA,149,29,"Dunklin, Stoddard, New Madrid, Pemiscot & Mississippi Counties PUMA",29
58,36,02300,Tompkins County PUMA,119,37,"Haywood, Madison, Swain, Graham & Jackson (North) Counties PUMA",37
58,36,02300,Tompkins County PUMA,21,12,"Columbia, Levy, Bradford, Gilchrist, Dixie & Union Counties PUMA",12
58,36,02300,Tompkins County PUMA,90,01,"Coffee, Covington, Butler & Crenshaw Counties PUMA",01
58,36,02300,Tompkins County PUMA,84,19,"Des Moines, Lee, Henry & Louisa Counties PUMA",19
58,36,02300,Tompkins County PUMA,18,13,Three Rivers Regional Commission (Northwest)--Carroll County PUMA,13
58,36,02300,Tompkins County PUMA,20B,27,"Rice, Goodhue & Le Sueur Counties PUMA",27
58,36,02300,Tompkins County PUMA,2,06,Humboldt County PUMA,06
58,36,02300,Tompkins County PUMA,87,39,"Seneca, Crawford & Wyandot Counties PUMA",39
58,36,02300,Tompkins County PUMA,79,17,Kankakee County PUMA,17
58,36,02300,Tompkins County PUMA,125,36,Tompkins County PUMA,36
58,36,02300,Tompkins County PUMA,78,22,Regional Planning Commission 3--Jefferson Parish (North) PUMA,22
58,36,02300,Tompkins County PUMA,66,26,Van Buren & Cass Counties PUMA,26
5,12,02300,"Columbia, Levy, Bradford, Gilchrist, Dixie & Union Counties PUMA",72,21,Bluegrass Area Development District (Northeast) PUMA,21
5,12,02300,"Columbia, Levy, Bradford, Gilchrist, Dixie & Union Counties PUMA",46,47,Wilson County--Lebanon & Mount Juliet Cities PUMA,47
5,12,02300,"Columbia, Levy, Bradford, Gilchrist, Dixie & Union Counties PUMA",149,29,"Dunklin, Stoddard, New Madrid, Pemiscot & Mississippi Counties PUMA",29
5,12,02300,"Columbia, Levy, Bradford, Gilchrist, Dixie & Union Counties PUMA",119,37,"Haywood, Madison, Swain, Graham & Jackson (North) Counties PUMA",37
5,12,02300,"Columbia, Levy, Bradford, Gilchrist, Dixie & Union Counties PUMA",21,12,"Columbia, Levy, Bradford, Gilchrist, Dixie & Union Counties PUMA",12
5,12,02300,"Columbia, Levy, Bradford, Gilchrist, Dixie & Union Counties PUMA",90,01,"Coffee, Covington, Butler & Crenshaw Counties PUMA",01
5,12,02300,"Columbia, Levy, Bradford, Gilchrist, Dixie & Union Counties PUMA",84,19,"Des Moines, Lee, Henry & Louisa Counties PUMA",19
5,12,02300,"Columbia, Levy, Bradford, Gilchrist, Dixie & Union Counties PUMA",18,13,Three Rivers Regional Commission (Northwest)--Carroll County PUMA,13
5,12,02300,"Columbia, Levy, Bradford, Gilchrist, Dixie & Union Counties PUMA",20B,27,"Rice, Goodhue & Le Sueur Counties PUMA",27
5,12,02300,"Columbia, Levy, Bradford, Gilchrist, Dixie & Union Counties PUMA",2,06,Humboldt County PUMA,06
5,12,02300,"Columbia, Levy, Bradford, Gilchrist, Dixie & Union Counties PUMA",87,39,"Seneca, Crawford & Wyandot Counties PUMA",39
5,12,02300,"Columbia, Levy, Bradford, Gilchrist, Dixie & Union Counties PUMA",79,17,Kankakee County PUMA,17
5,12,02300,"Columbia, Levy, Bradford, Gilchrist, Dixie & Union Counties PUMA",125,36,Tompkins County PUMA,36
5,12,02300,"Columbia, Levy, Bradford, Gilchrist, Dixie & Union Counties PUMA",78,22,Regional Planning Commission 3--Jefferson Parish (North) PUMA,22
5,12,02300,"Columbia, Levy, Bradford, Gilchrist, Dixie & Union Counties PUMA",66,26,Van Buren & Cass Counties PUMA,26
26,26,02300,Van Buren & Cass Counties PUMA,72,21,Bluegrass Area Development District (Northeast) PUMA,21
26,26,02300,Van Buren & Cass Counties PUMA,46,47,Wilson County--Lebanon & Mount Juliet Cities PUMA,47
26,26,02300,Van Buren & Cass Counties PUMA,149,29,"Dunklin, Stoddard, New Madrid, Pemiscot & Mississippi Counties PUMA",29
26,26,02300,Van Buren & Cass Counties PUMA,119,37,"Haywood, Madison, Swain, Graham & Jackson (North) Counties PUMA",37
26,26,02300,Van Buren & Cass Counties PUMA,21,12,"Columbia, Levy, Bradford, Gilchrist, Dixie & Union Counties PUMA",12
26,26,02300,Van Buren & Cass Counties PUMA,90,01,"Coffee, Covington, Butler & Crenshaw Counties PUMA",01
26,26,02300,Van Buren & Cass Counties PUMA,84,19,"Des Moines, Lee, Henry & Louisa Counties PUMA",19
26,26,02300,Van Buren & Cass Counties PUMA,18,13,Three Rivers Regional Commission (Northwest)--Carroll County PUMA,13
26,26,02300,Van Buren & Cass Counties PUMA,20B,27,"Rice, Goodhue & Le Sueur Counties PUMA",27
26,26,02300,Van Buren & Cass Counties PUMA,2,06,Humboldt County PUMA,06
26,26,02300,Van Buren & Cass Counties PUMA,87,39,"Seneca, Crawford & Wyandot Counties PUMA",39
26,26,02300,Van Buren & Cass Counties PUMA,79,17,Kankakee County PUMA,17
26,26,02300,Van Buren & Cass Counties PUMA,125,36,Tompkins County PUMA,36
26,26,02300,Van Buren & Cass Counties PUMA,78,22,Regional Planning Commission 3--Jefferson Parish (North) PUMA,22
26,26,02300,Van Buren & Cass Counties PUMA,66,26,Van Buren & Cass Counties PUMA,26
33,29,02500,"Howell, Texas, Wright, Douglas, Oregon, Ozark & Shannon Counties PUMA",113,37,Henderson & Transylvania Counties PUMA,37
33,29,02500,"Howell, Texas, Wright, Douglas, Oregon, Ozark & Shannon Counties PUMA",93,01,"Houston, Dale, Geneva & Henry Counties--Dothan City PUMA",01
33,29,02500,"Howell, Texas, Wright, Douglas, Oregon, Ozark & Shannon Counties PUMA",56,06,Imperial County--El Centro City PUMA,06
33,29,02500,"Howell, Texas, Wright, Douglas, Oregon, Ozark & Shannon Counties PUMA",148,36,Cattaraugus & Allegany Counties PUMA,36
33,29,02500,"Howell, Texas, Wright, Douglas, Oregon, Ozark & Shannon Counties PUMA",16,13,"Northwest Georgia Regional Commission (Southwest)--Floyd, Polk & Haralson Counties PUMA",13
33,29,02500,"Howell, Texas, Wright, Douglas, Oregon, Ozark & Shannon Counties PUMA",103,22,"Regional Planning Commission 9--St. Bernard, Jefferson (South) & Plaquemines Parishes PUMA",22
33,29,02500,"Howell, Texas, Wright, Douglas, Oregon, Ozark & Shannon Counties PUMA",27,55,Sheboygan County PUMA,55
33,29,02500,"Howell, Texas, Wright, Douglas, Oregon, Ozark & Shannon Counties PUMA",3,34,Salem & Cumberland (North) Counties--Bridgeton City PUMA,34
33,29,02500,"Howell, Texas, Wright, Douglas, Oregon, Ozark & Shannon Counties PUMA",57,18,Hancock & Shelby Counties PUMA,18
33,29,02500,"Howell, Texas, Wright, Douglas, Oregon, Ozark & Shannon Counties PUMA",102,42,Lebanon County PUMA,42
33,29,02500,"Howell, Texas, Wright, Douglas, Oregon, Ozark & Shannon Counties PUMA",26A,27,Olmsted County--Rochester City PUMA,27
33,29,02500,"Howell, Texas, Wright, Douglas, Oregon, Ozark & Shannon Counties PUMA",4,39,Allen County PUMA,39
33,29,02500,"Howell, Texas, Wright, Douglas, Oregon, Ozark & Shannon Counties PUMA",154,29,"Howell, Texas, Wright, Douglas, Oregon, Ozark & Shannon Counties PUMA",29
33,29,02500,"Howell, Texas, Wright, Douglas, Oregon, Ozark & Shannon Counties PUMA",60,21,Northern Kentucky Area Development District (Northwest)--Boone County PUMA,21
33,29,02500,"Howell, Texas, Wright, Douglas, Oregon, Ozark & Shannon Counties PUMA",57,26,Lenawee & Hillsdale Counties PUMA,26
17,26,02500,Lenawee & Hillsdale Counties PUMA,113,37,Henderson & Transylvania Counties PUMA,37
17,26,02500,Lenawee & Hillsdale Counties PUMA,93,01,"Houston, Dale, Geneva & Henry Counties--Dothan City PUMA",01
17,26,02500,Lenawee & Hillsdale Counties PUMA,56,06,Imperial County--El Centro City PUMA,06
17,26,02500,Lenawee & Hillsdale Counties PUMA,148,36,Cattaraugus & Allegany Counties PUMA,36
17,26,02500,Lenawee & Hillsdale Counties PUMA,16,13,"Northwest Georgia Regional Commission (Southwest)--Floyd, Polk & Haralson Counties PUMA",13
17,26,02500,Lenawee & Hillsdale Counties PUMA,103,22,"Regional Planning Commission 9--St. Bernard, Jefferson (South) & Plaquemines Parishes PUMA",22
17,26,02500,Lenawee & Hillsdale Counties PUMA,27,55,Sheboygan County PUMA,55
17,26,02500,Lenawee & Hillsdale Counties PUMA,3,34,Salem & Cumberland (North) Counties--Bridgeton City PUMA,34
17,26,02500,Lenawee & Hillsdale Counties PUMA,57,18,Hancock & Shelby Counties PUMA,18
17,26,02500,Lenawee & Hillsdale Counties PUMA,102,42,Lebanon County PUMA,42
17,26,02500,Lenawee & Hillsdale Counties PUMA,26A,27,Olmsted County--Rochester City PUMA,27
17,26,02500,Lenawee & Hillsdale Counties PUMA,4,39,Allen County PUMA,39
17,26,02500,Lenawee & Hillsdale Counties PUMA,154,29,"Howell, Texas, Wright, Douglas, Oregon, Ozark & Shannon Counties PUMA",29
17,26,02500,Lenawee & Hillsdale Counties PUMA,60,21,Northern Kentucky Area Development District (Northwest)--Boone County PUMA,21
17,26,02500,Lenawee & Hillsdale Counties PUMA,57,26,Lenawee & Hillsdale Counties PUMA,26
57,36,02500,Cattaraugus & Allegany Counties PUMA,113,37,Henderson & Transylvania Counties PUMA,37
57,36,02500,Cattaraugus & Allegany Counties PUMA,93,01,"Houston, Dale, Geneva & Henry Counties--Dothan City PUMA",01
57,36,02500,Cattaraugus & Allegany Counties PUMA,56,06,Imperial County--El Centro City PUMA,06
57,36,02500,Cattaraugus & Allegany Counties PUMA,148,36,Cattaraugus & Allegany Counties PUMA,36
57,36,02500,Cattaraugus & Allegany Counties PUMA,16,13,"Northwest Georgia Regional Commission (Southwest)--Floyd, Polk & Haralson Counties PUMA",13
57,36,02500,Cattaraugus & Allegany Counties PUMA,103,22,"Regional Planning Commission 9--St. Bernard, Jefferson (South) & Plaquemines Parishes PUMA",22
57,36,02500,Cattaraugus & Allegany Counties PUMA,27,55,Sheboygan County PUMA,55
57,36,02500,Cattaraugus & Allegany Counties PUMA,3,34,Salem & Cumberland (North) Counties--Bridgeton City PUMA,34
57,36,02500,Cattaraugus & Allegany Counties PUMA,57,18,Hancock & Shelby Counties PUMA,18
57,36,02500,Cattaraugus & Allegany Counties PUMA,102,42,Lebanon County PUMA,42
57,36,02500,Cattaraugus & Allegany Counties PUMA,26A,27,Olmsted County--Rochester City PUMA,27
57,36,02500,Cattaraugus & Allegany Counties PUMA,4,39,Allen County PUMA,39
57,36,02500,Cattaraugus & Allegany Counties PUMA,154,29,"Howell, Texas, Wright, Douglas, Oregon, Ozark & Shannon Counties PUMA",29
57,36,02500,Cattaraugus & Allegany Counties PUMA,60,21,Northern Kentucky Area Development District (Northwest)--Boone County PUMA,21
57,36,02500,Cattaraugus & Allegany Counties PUMA,57,26,Lenawee & Hillsdale Counties PUMA,26
40,06,02500,Imperial County--El Centro City PUMA,113,37,Henderson & Transylvania Counties PUMA,37
40,06,02500,Imperial County--El Centro City PUMA,93,01,"Houston, Dale, Geneva & Henry Counties--Dothan City PUMA",01
40,06,02500,Imperial County--El Centro City PUMA,56,06,Imperial County--El Centro City PUMA,06
40,06,02500,Imperial County--El Centro City PUMA,148,36,Cattaraugus & Allegany Counties PUMA,36
40,06,02500,Imperial County--El Centro City PUMA,16,13,"Northwest Georgia Regional Commission (Southwest)--Floyd, Polk & Haralson Counties PUMA",13
40,06,02500,Imperial County--El Centro City PUMA,103,22,"Regional Planning Commission 9--St. Bernard, Jefferson (South) & Plaquemines Parishes PUMA",22
40,06,02500,Imperial County--El Centro City PUMA,27,55,Sheboygan County PUMA,55
40,06,02500,Imperial County--El Centro City PUMA,3,34,Salem & Cumberland (North) Counties--Bridgeton City PUMA,34
40,06,02500,Imperial County--El Centro City PUMA,57,18,Hancock & Shelby Counties PUMA,18
40,06,02500,Imperial County--El Centro City PUMA,102,42,Lebanon County PUMA,42
40,06,02500,Imperial County--El Centro City PUMA,26A,27,Olmsted County--Rochester City PUMA,27
40,06,02500,Imperial County--El Centro City PUMA,4,39,Allen County PUMA,39
40,06,02500,Imperial County--El Centro City PUMA,154,29,"Howell, Texas, Wright, Douglas, Oregon, Ozark & Shannon Counties PUMA",29
40,06,02500,Imperial County--El Centro City PUMA,60,21,Northern Kentucky Area Development District (Northwest)--Boone County PUMA,21
40,06,02500,Imperial County--El Centro City PUMA,57,26,Lenawee & Hillsdale Counties PUMA,26
