state_fip,puma,lower_leg_district,population,puma_pop,share_of_puma_pop
1,100.0,001,43411.95666150325,186031.99999999997,0.2333574689381572
1,100.0,002,41708.54257251752,186031.99999999997,0.22420090399779355
1,100.0,003,42507.80386467401,186031.99999999997,0.22849726855957048
1,100.0,007,6585.98668010974,186031.99999999997,0.035402439795893935
1,100.0,017,7238.999999999997,186031.99999999997,0.03891266018749462
1,100.0,018,44578.710221195484,186031.99999999997,0.2396292585210904
1,200.0,002,6287.054771569754,194005.00000000064,0.03240666359923576
1,200.0,004,13375.196180690096,194005.00000000064,0.06894253334032655
1,200.0,005,50967.58233357681,194005.00000000064,0.2627127256182915
1,200.0,006,34168.142517441825,194005.00000000064,0.1761199067933389
1,200.0,010,14065.999999999996,194005.00000000064,0.0725032859977833
1,200.0,019,15201.640626382432,194005.00000000064,0.07835695279184754
1,200.0,020,492.70397111913366,194005.00000000064,0.0025396457365487075
1,200.0,021,26389.621038956513,194005.00000000064,0.13602546861656362
1,200.0,022,24714.15426121593,194005.00000000064,0.12738926450975926
1,200.0,025,8342.904299047495,194005.00000000064,0.04300355299630148
1,301.0,006,17877.908267222218,129184.99999999999,0.13838996994405092
1,301.0,010,21982.184242766074,129184.99999999999,0.1701605003891015
1,301.0,019,21410.226464820014,129184.99999999999,0.16573306858242068
1,301.0,021,205.9188741721854,129184.99999999999,0.0015939843958059018
1,301.0,025,42753.07315140826,129184.99999999999,0.33094456129897637
1,301.0,053,24955.688999611157,129184.99999999999,0.193177915389644
1,302.0,010,16510.786571419438,101885.00000000025,0.16205316358069782
1,302.0,019,9742.73322250019,101885.00000000025,0.0956248046572132
1,302.0,020,33165.33024615967,101885.00000000025,0.32551730133149714
1,302.0,021,22971.35086441708,101885.00000000025,0.22546352126826347
1,302.0,022,342.47855374287366,101885.00000000025,0.00336142271917233
1,302.0,053,19152.320541760728,101885.00000000025,0.18797978644315338
1,400.0,022,8891.73278265074,123162.00000000054,0.07219542377235431
1,400.0,023,44772.17401807095,123162.00000000054,0.3635226288796119
1,400.0,024,46517.85184971681,123162.00000000054,0.37769646359848497
1,400.0,026,6543.69792749026,123162.00000000054,0.053130818982236656
1,400.0,027,3266.4465790267764,123162.00000000054,0.026521545436309593
1,400.0,029,8261.64367756003,123162.00000000054,0.06707948618534933
1,400.0,039,4908.453165484313,123162.00000000054,0.03985363314564794
1,500.0,009,1206.2241771708684,127571.00000000003,0.00945531646824802
1,500.0,010,1718.5839810986367,127571.00000000003,0.013471588222234179
1,500.0,011,4275.11250149261,127571.00000000003,0.033511632749548166
1,500.0,020,14150.939720959808,127571.00000000003,0.11092599196494349
1,500.0,022,16058.476297941539,127571.00000000003,0.1258787365305715
1,500.0,026,40598.14566452615,127571.00000000003,0.3182396129569114
1,500.0,027,40854.219469293035,127571.00000000003,0.32024691716215303
1,500.0,034,8709.298187517405,127571.00000000003,0.06827020394539043
1,600.0,003,3783.8333865541085,152270.99999999977,0.024849336948953603
1,600.0,004,33931.579185444876,152270.99999999977,0.2228367790678785
1,600.0,007,32473.823324653917,152270.99999999977,0.21326334840287361
1,600.0,008,45021.295053434325,152270.99999999977,0.2956655899904407
1,600.0,009,32795.76470207126,152270.99999999977,0.2153776142671376
1,600.0,011,4264.704347841607,152270.99999999977,0.02800733132271814
1,700.0,007,4555.199603566398,106636.99999999971,0.042716876914827034
1,700.0,009,11688.555429856471,106636.99999999971,0.1096106926287921
1,700.0,011,24255.65156916225,106636.99999999971,0.22745999577222087
1,700.0,012,46908.79300098148,106636.99999999971,0.4398922794244175
1,700.0,014,12840.76035471502,106636.99999999971,0.12041561891946562
1,700.0,017,6388.040041718555,106636.99999999971,0.059904536340281256
1,800.0,011,14013.870874050066,145670.00000000006,0.09620286177009721
1,800.0,013,5621.429639882515,145670.00000000006,0.03859016708919141
1,800.0,027,2002.4739353685452,145670.00000000006,0.013746646086143642
1,800.0,030,19206.16367007699,145670.00000000006,0.1318470767493443
1,800.0,034,36043.22555069885,145670.00000000006,0.247430668982624
1,800.0,036,19830.586969635344,145670.00000000006,0.1361336374657468
1,800.0,050,48952.24936028776,145670.00000000006,0.33604894185685275
1,900.0,028,45031.04717354507,102747.99999999983,0.4382668973950359
1,900.0,029,30956.97534518196,102747.99999999983,0.3012902961145912
1,900.0,030,26759.977481272927,102747.99999999983,0.2604428064903742
1,1000.0,032,21294.168080336756,157189.99999999866,0.13546770201881123
1,1000.0,033,36881.49482119069,157189.99999999866,0.2346300325796234
1,1000.0,035,31001.734944223153,157189.99999999866,0.19722460044674228
1,1000.0,036,4546.60215424943,157189.99999999866,0.028924245526111513
1,1000.0,037,28829.61798794622,157189.99999999866,0.18340618352278432
1,1000.0,039,34636.38201205393,157189.99999999866,0.22034723590593694
1,1100.0,029,5085.812198041219,114617.99999999993,0.04437184559180253
1,1100.0,032,21834.38542447945,114617.99999999993,0.19049700242963116
1,1100.0,035,12584.66487886611,114617.99999999993,0.10979658412174456
1,1100.0,036,23285.071471599942,114617.99999999993,0.2031537059763733
1,1100.0,039,6030.37996168742,114617.99999999993,0.05261285279526273
1,1100.0,040,45797.68606532587,114617.99999999993,0.3995680090851864
1,1200.0,015,6885.543352021526,213431.99999999965,0.03226106372063016
1,1200.0,041,50742.3269974603,213431.99999999965,0.2377447008764402
1,1200.0,043,47808.535744793946,213431.99999999965,0.22399891180701126
1,1200.0,045,26918.693063972245,213431.99999999965,0.12612304183052347
1,1200.0,048,9878.824561403506,213431.99999999965,0.046285583049418655
1,1200.0,049,21598.466916368303,213431.99999999965,0.10119601051561311
1,1200.0,073,49599.60936398003,213431.99999999965,0.2323906882003641
1,1301.0,052,21460.41937371231,92467.00000000051,0.23208733249388638
1,1301.0,054,1563.3057288192556,92467.00000000051,0.01690663402964568
1,1301.0,055,30755.503180923,92467.00000000051,0.33261058735465443
1,1301.0,056,5166.271172917229,92467.00000000051,0.05587151278745066
1,1301.0,057,14055.620882606134,92467.00000000051,0.15200688767458723
1,1301.0,060,19465.87966102206,92467.00000000051,0.21051704565977
1,1302.0,045,200.92312172393707,104587.00000000003,0.0019211099058576784
1,1302.0,046,3.0794392523364484,104587.00000000003,2.9443805179768494e-05
1,1302.0,052,5936.742600813912,104587.00000000003,0.0567636761816852
1,1302.0,054,43476.00234932904,104587.00000000003,0.4156922213021602
1,1302.0,055,11686.281821459952,104587.00000000003,0.1117374226381859
1,1302.0,058,18682.556508143698,104587.00000000003,0.1786317277304416
1,1302.0,059,24045.529848065646,104587.00000000003,0.22990935630686068
1,1302.0,060,555.8843112114246,104587.00000000003,0.005315042129628199
1,1303.0,015,3561.973940236275,172432.99999999942,0.020657147647122575
1,1303.0,044,339.43764699050547,172432.99999999942,0.0019685190595217076
1,1303.0,045,21223.524413216175,172432.99999999942,0.12308273018051212
1,1303.0,046,48198.25148433653,172432.99999999942,0.2795187202237199
1,1303.0,047,44242.19979834637,172432.99999999942,0.25657617624437623
1,1303.0,048,37176.71427500102,172432.99999999942,0.21560092485197813
1,1303.0,052,15654.064554112554,172432.99999999942,0.09078346113628254
